published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-07-29,2013-07-29 11:00:00,700.0,704.2,700.0,700.54,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 11:10:00,700.54,701.08,700.54,701.08,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 11:20:00,701.08,701.62,701.08,701.62,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 11:30:00,701.62,702.17,701.62,702.17,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 11:40:00,702.17,702.71,702.17,702.71,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 11:50:00,702.71,703.25,702.71,703.25,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 12:00:00,703.25,703.79,703.25,703.79,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 12:10:00,703.79,704.33,703.79,704.33,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 12:20:00,704.33,704.88,704.33,704.88,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 12:30:00,704.88,705.42,704.88,705.42,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 12:40:00,705.42,705.96,705.42,705.96,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 12:50:00,705.96,706.5,705.96,706.5,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 13:00:00,706.5,714.0,700.0,707.04,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 13:10:00,707.04,707.58,707.04,707.58,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 13:20:00,707.58,708.12,707.58,708.12,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 13:30:00,708.12,708.67,708.12,708.67,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 13:40:00,708.67,709.21,708.67,709.21,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 13:50:00,709.21,709.75,709.21,709.75,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 14:00:00,709.75,710.29,709.75,710.29,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 14:10:00,710.29,710.83,710.29,710.83,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 14:20:00,710.83,711.38,710.83,711.38,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 14:30:00,711.38,711.92,711.38,711.92,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 14:40:00,711.92,712.46,711.92,712.46,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 14:50:00,712.46,713.0,712.46,713.0,0.08,504.16,357588.92,1
2013-07-29,2013-07-29 15:00:00,713.0,714.0,700.0,713.0,0.0,504.16,357588.92,0
2013-07-30,2013-07-30 11:00:00,713.0,720.8,712.1,713.83,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 11:10:00,713.83,714.67,713.83,714.67,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 11:20:00,714.67,715.5,714.67,715.5,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 11:30:00,715.5,716.33,715.5,716.33,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 11:40:00,716.33,717.17,716.33,717.17,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 11:50:00,717.17,718.0,717.17,718.0,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 12:00:00,718.0,718.83,718.0,718.83,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 12:10:00,718.83,719.67,718.83,719.67,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 12:20:00,719.67,720.5,719.67,720.5,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 12:30:00,720.5,721.33,720.5,721.33,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 12:40:00,721.33,722.17,721.33,722.17,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 12:50:00,722.17,723.0,722.17,723.0,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 13:00:00,723.0,739.0,710.0,723.83,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 13:10:00,723.83,724.67,723.83,724.67,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 13:20:00,724.67,725.5,724.67,725.5,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 13:30:00,725.5,726.33,725.5,726.33,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 13:40:00,726.33,727.17,726.33,727.17,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 13:50:00,727.17,728.0,727.17,728.0,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 14:00:00,728.0,728.83,728.0,728.83,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 14:10:00,728.83,729.67,728.83,729.67,0.12,475.52,343630.32,1
2013-07-30,2013-07-30 14:20:00,729.67,730.5,729.67,730.5,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 14:30:00,730.5,731.33,730.5,731.33,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 14:40:00,731.33,732.17,731.33,732.17,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 14:50:00,732.17,733.0,732.17,733.0,0.11,475.52,343630.32,1
2013-07-30,2013-07-30 15:00:00,733.0,739.0,710.0,733.0,0.0,475.52,343630.32,0
2013-07-31,2013-07-31 11:00:00,733.0,736.0,729.1,732.96,-0.01,641.8,471501.0,-1
2013-07-31,2013-07-31 11:10:00,732.96,732.96,732.92,732.92,-0.01,641.8,471501.0,-1
2013-07-31,2013-07-31 11:20:00,732.92,732.92,732.88,732.88,-0.01,641.8,471501.0,-1
2013-07-31,2013-07-31 11:30:00,732.88,732.88,732.83,732.83,-0.01,641.8,471501.0,-1
2013-07-31,2013-07-31 11:40:00,732.83,732.83,732.79,732.79,-0.01,641.8,471501.0,-1
2013-07-31,2013-07-31 11:50:00,732.79,732.79,732.75,732.75,-0.01,641.8,471501.0,-1
