published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-02-23,2023-02-23 11:00:00,232.2,232.2,226.5,231.52,-0.29,11070.32,2401154.76,-1
2023-02-23,2023-02-23 11:10:00,231.52,231.52,230.85,230.85,-0.29,11070.32,2401154.76,-1
2023-02-23,2023-02-23 11:20:00,230.85,230.85,230.17,230.17,-0.29,11070.32,2401154.76,-1
2023-02-23,2023-02-23 11:30:00,230.17,230.17,229.5,229.5,-0.29,11070.32,2401154.76,-1
2023-02-23,2023-02-23 11:40:00,229.5,229.5,228.82,228.82,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 11:50:00,228.82,228.82,228.15,228.15,-0.29,11070.32,2401154.76,-1
2023-02-23,2023-02-23 12:00:00,228.15,228.15,227.47,227.47,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 12:10:00,227.47,227.47,226.8,226.8,-0.29,11070.32,2401154.76,-1
2023-02-23,2023-02-23 12:20:00,226.8,226.8,226.12,226.12,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 12:30:00,226.12,226.12,225.45,225.45,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 12:40:00,225.45,225.45,224.78,224.78,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 12:50:00,224.78,224.78,224.1,224.1,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 13:00:00,224.1,232.2,213.2,223.42,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 13:10:00,223.42,223.42,222.75,222.75,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 13:20:00,222.75,222.75,222.07,222.07,-0.31,11070.32,2401154.76,-1
2023-02-23,2023-02-23 13:30:00,222.07,222.07,221.4,221.4,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 13:40:00,221.4,221.4,220.72,220.72,-0.31,11070.32,2401154.76,-1
2023-02-23,2023-02-23 13:50:00,220.72,220.72,220.05,220.05,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 14:00:00,220.05,220.05,219.38,219.38,-0.3,11070.32,2401154.76,-1
2023-02-23,2023-02-23 14:10:00,219.38,219.38,218.7,218.7,-0.31,11070.32,2401154.76,-1
2023-02-23,2023-02-23 14:20:00,218.7,218.7,218.03,218.03,-0.31,11070.32,2401154.76,-1
2023-02-23,2023-02-23 14:30:00,218.03,218.03,217.35,217.35,-0.31,11070.32,2401154.76,-1
2023-02-23,2023-02-23 14:40:00,217.35,217.35,216.68,216.68,-0.31,11070.32,2401154.76,-1
2023-02-23,2023-02-23 14:50:00,216.68,216.68,216.0,216.0,-0.31,11070.32,2401154.76,-1
2023-02-23,2023-02-23 15:00:00,216.0,232.2,213.2,216.0,0.0,11070.32,2401154.76,0
2023-02-26,2023-02-26 11:00:00,212.0,212.0,209.6,211.81,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 11:10:00,211.81,211.81,211.62,211.62,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 11:20:00,211.62,211.62,211.44,211.44,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 11:30:00,211.44,211.44,211.25,211.25,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 11:40:00,211.25,211.25,211.06,211.06,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 11:50:00,211.06,211.06,210.88,210.88,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 12:00:00,210.88,210.88,210.69,210.69,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 12:10:00,210.69,210.69,210.5,210.5,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 12:20:00,210.5,210.5,210.31,210.31,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 12:30:00,210.31,210.31,210.12,210.12,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 12:40:00,210.12,210.12,209.94,209.94,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 12:50:00,209.94,209.94,209.75,209.75,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 13:00:00,209.75,212.0,204.0,209.56,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 13:10:00,209.56,209.56,209.38,209.38,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 13:20:00,209.38,209.38,209.19,209.19,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 13:30:00,209.19,209.19,209.0,209.0,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 13:40:00,209.0,209.0,208.81,208.81,-0.09,5184.96,1070418.13,-1
2023-02-26,2023-02-26 13:50:00,208.81,208.81,208.62,208.62,-0.09,5184.96,1070418.13,-1
