published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-20,2023-03-20 11:00:00,107.1,108.36,107.1,107.27,0.16,1.2,131.04,1
2023-03-20,2023-03-20 11:10:00,107.27,107.45,107.27,107.45,0.17,1.2,131.04,1
2023-03-20,2023-03-20 11:20:00,107.45,107.62,107.45,107.62,0.16,1.2,131.04,1
2023-03-20,2023-03-20 11:30:00,107.62,107.8,107.62,107.8,0.17,1.2,131.04,1
2023-03-20,2023-03-20 11:40:00,107.8,107.97,107.8,107.97,0.16,1.2,131.04,1
2023-03-20,2023-03-20 11:50:00,107.97,108.15,107.97,108.15,0.17,1.2,131.04,1
2023-03-20,2023-03-20 12:00:00,108.15,108.32,108.15,108.32,0.16,1.2,131.04,1
2023-03-20,2023-03-20 12:10:00,108.32,108.5,108.32,108.5,0.17,1.2,131.04,1
2023-03-20,2023-03-20 12:20:00,108.5,108.67,108.5,108.67,0.16,1.2,131.04,1
2023-03-20,2023-03-20 12:30:00,108.67,108.85,108.67,108.85,0.17,1.2,131.04,1
2023-03-20,2023-03-20 12:40:00,108.85,109.02,108.85,109.02,0.16,1.2,131.04,1
2023-03-20,2023-03-20 12:50:00,109.02,109.2,109.02,109.2,0.17,1.2,131.04,1
2023-03-20,2023-03-20 13:00:00,109.2,111.3,107.1,109.38,0.16,1.2,131.04,1
2023-03-20,2023-03-20 13:10:00,109.38,109.55,109.38,109.55,0.16,1.2,131.04,1
2023-03-20,2023-03-20 13:20:00,109.55,109.72,109.55,109.72,0.16,1.2,131.04,1
2023-03-20,2023-03-20 13:30:00,109.72,109.9,109.72,109.9,0.16,1.2,131.04,1
2023-03-20,2023-03-20 13:40:00,109.9,110.08,109.9,110.08,0.16,1.2,131.04,1
2023-03-20,2023-03-20 13:50:00,110.08,110.25,110.08,110.25,0.15,1.2,131.04,1
2023-03-20,2023-03-20 14:00:00,110.25,110.42,110.25,110.42,0.15,1.2,131.04,1
2023-03-20,2023-03-20 14:10:00,110.42,110.6,110.42,110.6,0.16,1.2,131.04,1
2023-03-20,2023-03-20 14:20:00,110.6,110.77,110.6,110.77,0.15,1.2,131.04,1
2023-03-20,2023-03-20 14:30:00,110.77,110.95,110.77,110.95,0.16,1.2,131.04,1
2023-03-20,2023-03-20 14:40:00,110.95,111.12,110.95,111.12,0.15,1.2,131.04,1
2023-03-20,2023-03-20 14:50:00,111.12,111.3,111.12,111.3,0.16,1.2,131.04,1
2023-03-20,2023-03-20 15:00:00,111.3,111.3,107.1,111.3,0.0,1.2,131.04,0
2023-03-22,2023-03-22 11:00:00,113.5,116.17,113.5,113.87,0.33,2.0,235.96,1
2023-03-22,2023-03-22 11:10:00,113.87,114.24,113.87,114.24,0.32,2.0,235.96,1
2023-03-22,2023-03-22 11:20:00,114.24,114.61,114.24,114.61,0.32,2.0,235.96,1
2023-03-22,2023-03-22 11:30:00,114.61,114.98,114.61,114.98,0.32,2.0,235.96,1
2023-03-22,2023-03-22 11:40:00,114.98,115.35,114.98,115.35,0.32,2.0,235.96,1
2023-03-22,2023-03-22 11:50:00,115.35,115.72,115.35,115.72,0.32,2.0,235.96,1
2023-03-22,2023-03-22 12:00:00,115.72,116.1,115.72,116.1,0.33,2.0,235.96,1
2023-03-22,2023-03-22 12:10:00,116.1,116.47,116.1,116.47,0.32,2.0,235.96,1
2023-03-22,2023-03-22 12:20:00,116.47,116.84,116.47,116.84,0.32,2.0,235.96,1
2023-03-22,2023-03-22 12:30:00,116.84,117.21,116.84,117.21,0.32,2.0,235.96,1
2023-03-22,2023-03-22 12:40:00,117.21,117.58,117.21,117.58,0.32,2.0,235.96,1
2023-03-22,2023-03-22 12:50:00,117.58,117.95,117.58,117.95,0.31,2.0,235.96,1
2023-03-22,2023-03-22 13:00:00,117.95,122.4,113.5,118.32,0.31,2.0,235.96,1
2023-03-22,2023-03-22 13:10:00,118.32,118.69,118.32,118.69,0.31,2.0,235.96,1
2023-03-22,2023-03-22 13:20:00,118.69,119.06,118.69,119.06,0.31,2.0,235.96,1
2023-03-22,2023-03-22 13:30:00,119.06,119.43,119.06,119.43,0.31,2.0,235.96,1
2023-03-22,2023-03-22 13:40:00,119.43,119.8,119.43,119.8,0.31,2.0,235.96,1
2023-03-22,2023-03-22 13:50:00,119.8,120.18,119.8,120.18,0.32,2.0,235.96,1
2023-03-22,2023-03-22 14:00:00,120.18,120.55,120.18,120.55,0.31,2.0,235.96,1
2023-03-22,2023-03-22 14:10:00,120.55,120.92,120.55,120.92,0.31,2.0,235.96,1
2023-03-22,2023-03-22 14:20:00,120.92,121.29,120.92,121.29,0.31,2.0,235.96,1
2023-03-22,2023-03-22 14:30:00,121.29,121.66,121.29,121.66,0.31,2.0,235.96,1
2023-03-22,2023-03-22 14:40:00,121.66,122.03,121.66,122.03,0.3,2.0,235.96,1
2023-03-22,2023-03-22 14:50:00,122.03,122.4,122.03,122.4,0.3,2.0,235.96,1
2023-03-22,2023-03-22 15:00:00,122.4,122.4,113.5,122.4,0.0,2.0,235.96,0
2023-03-23,2023-03-23 11:00:00,124.8,127.74,124.8,125.21,0.33,401.2,52035.64,1
2023-03-23,2023-03-23 11:10:00,125.21,125.62,125.21,125.62,0.33,401.2,52035.64,1
2023-03-23,2023-03-23 11:20:00,125.62,126.02,125.62,126.02,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 11:30:00,126.02,126.43,126.02,126.43,0.33,401.2,52035.64,1
2023-03-23,2023-03-23 11:40:00,126.43,126.84,126.43,126.84,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 11:50:00,126.84,127.25,126.84,127.25,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 12:00:00,127.25,127.66,127.25,127.66,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 12:10:00,127.66,128.07,127.66,128.07,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 12:20:00,128.07,128.47,128.07,128.47,0.31,401.2,52035.64,1
2023-03-23,2023-03-23 12:30:00,128.47,128.88,128.47,128.88,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 12:40:00,128.88,129.29,128.88,129.29,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 12:50:00,129.29,129.7,129.29,129.7,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 13:00:00,129.7,134.6,124.8,130.11,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 13:10:00,130.11,130.52,130.11,130.52,0.32,401.2,52035.64,1
2023-03-23,2023-03-23 13:20:00,130.52,130.92,130.52,130.92,0.31,401.2,52035.64,1
