published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-13,2026-08-13 11:00:00,1150.0,1150.0,1149.33,1149.33,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 11:10:00,1149.33,1149.33,1148.67,1148.67,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 11:20:00,1148.67,1148.67,1148.0,1148.0,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 11:30:00,1148.0,1148.0,1147.33,1147.33,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 11:40:00,1147.33,1147.33,1146.67,1146.67,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 11:50:00,1146.67,1146.67,1146.0,1146.0,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 12:00:00,1146.0,1146.0,1145.33,1145.33,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 12:10:00,1145.33,1145.33,1144.67,1144.67,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 12:20:00,1144.67,1144.67,1144.0,1144.0,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 12:30:00,1144.0,1144.0,1143.33,1143.33,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 12:40:00,1143.33,1143.33,1142.67,1142.67,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 12:50:00,1142.67,1142.67,1142.0,1142.0,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 13:00:00,1142.0,1150.0,1141.33,1141.33,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 13:10:00,1141.33,1141.33,1140.67,1140.67,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 13:20:00,1140.67,1140.67,1140.0,1140.0,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 13:30:00,1140.0,1140.0,1139.33,1139.33,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 13:40:00,1139.33,1139.33,1138.67,1138.67,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 13:50:00,1138.67,1138.67,1138.0,1138.0,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 14:00:00,1138.0,1138.0,1137.33,1137.33,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 14:10:00,1137.33,1137.33,1136.67,1136.67,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 14:20:00,1136.67,1136.67,1136.0,1136.0,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 14:30:00,1136.0,1136.0,1135.33,1135.33,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 14:40:00,1135.33,1135.33,1134.67,1134.67,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 14:50:00,1134.67,1134.67,1134.0,1134.0,-0.06,0.04,45.36,-1
2026-08-13,2026-08-13 15:00:00,1134.0,1150.0,1134.0,1134.0,0.0,0.04,45.36,0
2026-08-13,2026-08-13 14:45:00,1150.0,1150.0,1150.0,1134.0,-1.39,1.0,1134.0,-1
