published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-05-19,2024-05-19 11:00:00,599.6,613.7,599.6,599.8,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:01:00,599.8,599.99,599.8,599.99,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:02:00,599.99,600.19,599.99,600.19,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:03:00,600.19,600.38,600.19,600.38,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:04:00,600.38,600.58,600.38,600.58,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:05:00,600.58,600.77,600.58,600.77,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:06:00,600.77,600.97,600.77,600.97,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:07:00,600.97,601.17,600.97,601.17,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:08:00,601.17,601.36,601.17,601.36,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:09:00,601.36,601.56,601.36,601.56,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:10:00,601.56,601.75,601.56,601.75,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:11:00,601.75,601.95,601.75,601.95,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:12:00,601.95,602.15,601.95,602.15,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:13:00,602.15,602.34,602.15,602.34,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:14:00,602.34,602.54,602.34,602.54,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:15:00,602.54,602.73,602.54,602.73,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:16:00,602.73,602.93,602.73,602.93,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:17:00,602.93,603.12,602.93,603.12,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:18:00,603.12,603.32,603.12,603.32,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:19:00,603.32,603.52,603.32,603.52,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:20:00,603.52,603.71,603.52,603.71,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:21:00,603.71,603.91,603.71,603.91,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:22:00,603.91,604.1,603.91,604.1,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:23:00,604.1,604.3,604.1,604.3,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:24:00,604.3,604.5,604.3,604.5,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:25:00,604.5,604.69,604.5,604.69,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:26:00,604.69,604.89,604.69,604.89,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:27:00,604.89,605.08,604.89,605.08,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:28:00,605.08,605.28,605.08,605.28,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:29:00,605.28,605.48,605.28,605.48,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:30:00,605.48,605.67,605.48,605.67,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:31:00,605.67,605.87,605.67,605.87,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:32:00,605.87,606.06,605.87,606.06,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:33:00,606.06,606.26,606.06,606.26,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:34:00,606.26,606.45,606.26,606.45,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:35:00,606.45,606.65,606.45,606.65,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:36:00,606.65,606.85,606.65,606.85,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:37:00,606.85,607.04,606.85,607.04,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:38:00,607.04,607.24,607.04,607.24,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:39:00,607.24,607.43,607.24,607.43,0.03,3.59,2313.12,1
2024-05-19,2024-05-19 11:40:00,607.43,607.63,607.43,607.63,0.03,3.59,2313.12,1
