published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-06-29,2020-06-29 11:00:00,424.0,426.4,411.4,422.25,-0.41,391.16,150454.72,-1
2020-06-29,2020-06-29 11:10:00,422.25,422.25,420.5,420.5,-0.41,391.16,150454.72,-1
2020-06-29,2020-06-29 11:20:00,420.5,420.5,418.75,418.75,-0.42,391.16,150454.72,-1
2020-06-29,2020-06-29 11:30:00,418.75,418.75,417.0,417.0,-0.42,391.16,150454.72,-1
2020-06-29,2020-06-29 11:40:00,417.0,417.0,415.25,415.25,-0.42,391.16,150454.72,-1
2020-06-29,2020-06-29 11:50:00,415.25,415.25,413.5,413.5,-0.42,391.16,150454.72,-1
2020-06-29,2020-06-29 12:00:00,413.5,413.5,411.75,411.75,-0.42,391.16,150454.72,-1
2020-06-29,2020-06-29 12:10:00,411.75,411.75,410.0,410.0,-0.43,391.16,150454.72,-1
2020-06-29,2020-06-29 12:20:00,410.0,410.0,408.25,408.25,-0.43,391.16,150454.72,-1
2020-06-29,2020-06-29 12:30:00,408.25,408.25,406.5,406.5,-0.43,391.16,150454.72,-1
2020-06-29,2020-06-29 12:40:00,406.5,406.5,404.75,404.75,-0.43,391.16,150454.72,-1
2020-06-29,2020-06-29 12:50:00,404.75,404.75,403.0,403.0,-0.43,391.16,150454.72,-1
2020-06-29,2020-06-29 13:00:00,403.0,432.0,382.0,401.25,-0.43,391.16,150454.72,-1
2020-06-29,2020-06-29 13:10:00,401.25,401.25,399.5,399.5,-0.44,391.16,150454.72,-1
2020-06-29,2020-06-29 13:20:00,399.5,399.5,397.75,397.75,-0.44,391.16,150454.72,-1
2020-06-29,2020-06-29 13:30:00,397.75,397.75,396.0,396.0,-0.44,391.16,150454.72,-1
2020-06-29,2020-06-29 13:40:00,396.0,396.0,394.25,394.25,-0.44,391.16,150454.72,-1
2020-06-29,2020-06-29 13:50:00,394.25,394.25,392.5,392.5,-0.44,391.16,150454.72,-1
2020-06-29,2020-06-29 14:00:00,392.5,392.5,390.75,390.75,-0.45,391.16,150454.72,-1
2020-06-29,2020-06-29 14:10:00,390.75,390.75,389.0,389.0,-0.45,391.16,150454.72,-1
2020-06-29,2020-06-29 14:20:00,389.0,389.0,387.25,387.25,-0.45,391.16,150454.72,-1
2020-06-29,2020-06-29 14:30:00,387.25,387.25,385.5,385.5,-0.45,391.16,150454.72,-1
2020-06-29,2020-06-29 14:40:00,385.5,385.5,383.75,383.75,-0.45,391.16,150454.72,-1
2020-06-29,2020-06-29 14:50:00,383.75,383.75,382.0,382.0,-0.46,391.16,150454.72,-1
2020-06-29,2020-06-29 15:00:00,382.0,432.0,382.0,382.0,0.0,391.16,150454.72,0
2020-06-30,2020-06-30 11:00:00,363.0,363.0,357.3,362.21,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 11:10:00,362.21,362.21,361.42,361.42,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 11:20:00,361.42,361.42,360.62,360.62,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 11:30:00,360.62,360.62,359.83,359.83,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 11:40:00,359.83,359.83,359.04,359.04,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 11:50:00,359.04,359.04,358.25,358.25,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 12:00:00,358.25,358.25,357.46,357.46,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 12:10:00,357.46,357.46,356.67,356.67,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 12:20:00,356.67,356.67,355.88,355.88,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 12:30:00,355.88,355.88,355.08,355.08,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 12:40:00,355.08,355.08,354.29,354.29,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 12:50:00,354.29,354.29,353.5,353.5,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 13:00:00,353.5,363.0,344.0,352.71,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 13:10:00,352.71,352.71,351.92,351.92,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 13:20:00,351.92,351.92,351.12,351.12,-0.23,815.2,280663.6,-1
2020-06-30,2020-06-30 13:30:00,351.12,351.12,350.33,350.33,-0.22,815.2,280663.6,-1
2020-06-30,2020-06-30 13:40:00,350.33,350.33,349.54,349.54,-0.23,815.2,280663.6,-1
2020-06-30,2020-06-30 13:50:00,349.54,349.54,348.75,348.75,-0.23,815.2,280663.6,-1
2020-06-30,2020-06-30 14:00:00,348.75,348.75,347.96,347.96,-0.23,815.2,280663.6,-1
2020-06-30,2020-06-30 14:10:00,347.96,347.96,347.17,347.17,-0.23,815.2,280663.6,-1
2020-06-30,2020-06-30 14:20:00,347.17,347.17,346.38,346.38,-0.23,815.2,280663.6,-1
2020-06-30,2020-06-30 14:30:00,346.38,346.38,345.58,345.58,-0.23,815.2,280663.6,-1
2020-06-30,2020-06-30 14:40:00,345.58,345.58,344.79,344.79,-0.23,815.2,280663.6,-1
2020-06-30,2020-06-30 14:50:00,344.79,344.79,344.0,344.0,-0.23,815.2,280663.6,-1
2020-06-30,2020-06-30 15:00:00,344.0,363.0,344.0,344.0,0.0,815.2,280663.6,0
2020-07-01,2020-07-01 11:00:00,327.0,342.3,323.4,329.12,0.65,1640.44,590473.0,1
2020-07-01,2020-07-01 11:10:00,329.12,331.25,329.12,331.25,0.65,1640.44,590473.0,1
2020-07-01,2020-07-01 11:20:00,331.25,333.38,331.25,333.38,0.64,1640.44,590473.0,1
2020-07-01,2020-07-01 11:30:00,333.38,335.5,333.38,335.5,0.64,1640.44,590473.0,1
2020-07-01,2020-07-01 11:40:00,335.5,337.62,335.5,337.62,0.63,1640.44,590473.0,1
2020-07-01,2020-07-01 11:50:00,337.62,339.75,337.62,339.75,0.63,1640.44,590473.0,1
2020-07-01,2020-07-01 12:00:00,339.75,341.88,339.75,341.88,0.63,1640.44,590473.0,1
2020-07-01,2020-07-01 12:10:00,341.88,344.0,341.88,344.0,0.62,1640.44,590473.0,1
2020-07-01,2020-07-01 12:20:00,344.0,346.12,344.0,346.12,0.62,1640.44,590473.0,1
2020-07-01,2020-07-01 12:30:00,346.12,348.25,346.12,348.25,0.62,1640.44,590473.0,1
2020-07-01,2020-07-01 12:40:00,348.25,350.38,348.25,350.38,0.61,1640.44,590473.0,1
2020-07-01,2020-07-01 12:50:00,350.38,352.5,350.38,352.5,0.61,1640.44,590473.0,1
2020-07-01,2020-07-01 13:00:00,352.5,378.0,315.0,354.62,0.6,1640.44,590473.0,1
2020-07-01,2020-07-01 13:10:00,354.62,356.75,354.62,356.75,0.6,1640.44,590473.0,1
2020-07-01,2020-07-01 13:20:00,356.75,358.88,356.75,358.88,0.6,1640.44,590473.0,1
2020-07-01,2020-07-01 13:30:00,358.88,361.0,358.88,361.0,0.59,1640.44,590473.0,1
2020-07-01,2020-07-01 13:40:00,361.0,363.12,361.0,363.12,0.59,1640.44,590473.0,1
2020-07-01,2020-07-01 13:50:00,363.12,365.25,363.12,365.25,0.59,1640.44,590473.0,1
2020-07-01,2020-07-01 14:00:00,365.25,367.38,365.25,367.38,0.58,1640.44,590473.0,1
2020-07-01,2020-07-01 14:10:00,367.38,369.5,367.38,369.5,0.58,1640.44,590473.0,1
2020-07-01,2020-07-01 14:20:00,369.5,371.62,369.5,371.62,0.57,1640.44,590473.0,1
2020-07-01,2020-07-01 14:30:00,371.62,373.75,371.62,373.75,0.57,1640.44,590473.0,1
2020-07-01,2020-07-01 14:40:00,373.75,375.88,373.75,375.88,0.57,1640.44,590473.0,1
2020-07-01,2020-07-01 14:50:00,375.88,378.0,375.88,378.0,0.56,1640.44,590473.0,1
2020-07-01,2020-07-01 15:00:00,378.0,378.0,315.0,378.0,0.0,1640.44,590473.0,0
2020-07-02,2020-07-02 11:00:00,396.0,401.7,387.6,395.46,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 11:10:00,395.46,395.46,394.92,394.92,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 11:20:00,394.92,394.92,394.38,394.38,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 11:30:00,394.38,394.38,393.83,393.83,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 11:40:00,393.83,393.83,393.29,393.29,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 11:50:00,393.29,393.29,392.75,392.75,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 12:00:00,392.75,392.75,392.21,392.21,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 12:10:00,392.21,392.21,391.67,391.67,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 12:20:00,391.67,391.67,391.12,391.12,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 12:30:00,391.12,391.12,390.58,390.58,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 12:40:00,390.58,390.58,390.04,390.04,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 12:50:00,390.04,390.04,389.5,389.5,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 13:00:00,389.5,415.0,368.0,388.96,-0.14,6097.96,2427284.96,-1
2020-07-02,2020-07-02 13:10:00,388.96,388.96,388.42,388.42,-0.14,6097.96,2427284.96,-1
