published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-08-06,2023-08-06 11:00:00,250.4,257.9,250.4,251.44,0.42,2481.32,682972.33,1
2023-08-06,2023-08-06 11:10:00,251.44,252.48,251.44,252.48,0.41,2481.32,682972.33,1
2023-08-06,2023-08-06 11:20:00,252.48,253.53,252.48,253.53,0.42,2481.32,682972.33,1
2023-08-06,2023-08-06 11:30:00,253.53,254.57,253.53,254.57,0.41,2481.32,682972.33,1
2023-08-06,2023-08-06 11:40:00,254.57,255.61,254.57,255.61,0.41,2481.32,682972.33,1
2023-08-06,2023-08-06 11:50:00,255.61,256.65,255.61,256.65,0.41,2481.32,682972.33,1
2023-08-06,2023-08-06 12:00:00,256.65,257.69,256.65,257.69,0.41,2481.32,682972.33,1
2023-08-06,2023-08-06 12:10:00,257.69,258.73,257.69,258.73,0.4,2481.32,682972.33,1
2023-08-06,2023-08-06 12:20:00,258.73,259.77,258.73,259.77,0.4,2481.32,682972.33,1
2023-08-06,2023-08-06 12:30:00,259.77,260.82,259.77,260.82,0.4,2481.32,682972.33,1
2023-08-06,2023-08-06 12:40:00,260.82,261.86,260.82,261.86,0.4,2481.32,682972.33,1
2023-08-06,2023-08-06 12:50:00,261.86,262.9,261.86,262.9,0.4,2481.32,682972.33,1
2023-08-06,2023-08-06 13:00:00,262.9,275.4,250.4,263.94,0.4,2481.32,682972.33,1
2023-08-06,2023-08-06 13:10:00,263.94,264.98,263.94,264.98,0.39,2481.32,682972.33,1
2023-08-06,2023-08-06 13:20:00,264.98,266.02,264.98,266.02,0.39,2481.32,682972.33,1
2023-08-06,2023-08-06 13:30:00,266.02,267.07,266.02,267.07,0.39,2481.32,682972.33,1
2023-08-06,2023-08-06 13:40:00,267.07,268.11,267.07,268.11,0.39,2481.32,682972.33,1
2023-08-06,2023-08-06 13:50:00,268.11,269.15,268.11,269.15,0.39,2481.32,682972.33,1
2023-08-06,2023-08-06 14:00:00,269.15,270.19,269.15,270.19,0.39,2481.32,682972.33,1
2023-08-06,2023-08-06 14:10:00,270.19,271.23,270.19,271.23,0.38,2481.32,682972.33,1
2023-08-06,2023-08-06 14:20:00,271.23,272.27,271.23,272.27,0.38,2481.32,682972.33,1
2023-08-06,2023-08-06 14:30:00,272.27,273.32,272.27,273.32,0.39,2481.32,682972.33,1
2023-08-06,2023-08-06 14:40:00,273.32,274.36,273.32,274.36,0.38,2481.32,682972.33,1
2023-08-06,2023-08-06 14:50:00,274.36,275.4,274.36,275.4,0.38,2481.32,682972.33,1
2023-08-06,2023-08-06 15:00:00,275.4,275.4,250.4,275.4,0.0,2481.32,682972.33,0
2023-08-07,2023-08-07 11:00:00,280.8,287.43,279.06,281.72,0.33,11116.96,3300762.97,1
2023-08-07,2023-08-07 11:10:00,281.72,282.64,281.72,282.64,0.33,11116.96,3300762.97,1
2023-08-07,2023-08-07 11:20:00,282.64,283.56,282.64,283.56,0.33,11116.96,3300762.97,1
2023-08-07,2023-08-07 11:30:00,283.56,284.48,283.56,284.48,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 11:40:00,284.48,285.4,284.48,285.4,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 11:50:00,285.4,286.32,285.4,286.32,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 12:00:00,286.32,287.25,286.32,287.25,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 12:10:00,287.25,288.17,287.25,288.17,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 12:20:00,288.17,289.09,288.17,289.09,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 12:30:00,289.09,290.01,289.09,290.01,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 12:40:00,290.01,290.93,290.01,290.93,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 12:50:00,290.93,291.85,290.93,291.85,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 13:00:00,291.85,302.9,275.0,292.77,0.32,11116.96,3300762.97,1
2023-08-07,2023-08-07 13:10:00,292.77,293.69,292.77,293.69,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 13:20:00,293.69,294.61,293.69,294.61,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 13:30:00,294.61,295.53,294.61,295.53,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 13:40:00,295.53,296.45,295.53,296.45,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 13:50:00,296.45,297.38,296.45,297.38,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 14:00:00,297.38,298.3,297.38,298.3,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 14:10:00,298.3,299.22,298.3,299.22,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 14:20:00,299.22,300.14,299.22,300.14,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 14:30:00,300.14,301.06,300.14,301.06,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 14:40:00,301.06,301.98,301.06,301.98,0.31,11116.96,3300762.97,1
2023-08-07,2023-08-07 14:50:00,301.98,302.9,301.98,302.9,0.3,11116.96,3300762.97,1
2023-08-07,2023-08-07 15:00:00,302.9,302.9,275.0,302.9,0.0,11116.96,3300762.97,0
2023-08-08,2023-08-08 11:00:00,308.9,316.16,308.9,309.91,0.33,2447.88,809455.19,1
2023-08-08,2023-08-08 11:10:00,309.91,310.92,309.91,310.92,0.33,2447.88,809455.19,1
2023-08-08,2023-08-08 11:20:00,310.92,311.92,310.92,311.92,0.32,2447.88,809455.19,1
2023-08-08,2023-08-08 11:30:00,311.92,312.93,311.92,312.93,0.32,2447.88,809455.19,1
2023-08-08,2023-08-08 11:40:00,312.93,313.94,312.93,313.94,0.32,2447.88,809455.19,1
2023-08-08,2023-08-08 11:50:00,313.94,314.95,313.94,314.95,0.32,2447.88,809455.19,1
2023-08-08,2023-08-08 12:00:00,314.95,315.96,314.95,315.96,0.32,2447.88,809455.19,1
2023-08-08,2023-08-08 12:10:00,315.96,316.97,315.96,316.97,0.32,2447.88,809455.19,1
2023-08-08,2023-08-08 12:20:00,316.97,317.98,316.97,317.98,0.32,2447.88,809455.19,1
2023-08-08,2023-08-08 12:30:00,317.98,318.98,317.98,318.98,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 12:40:00,318.98,319.99,318.98,319.99,0.32,2447.88,809455.19,1
2023-08-08,2023-08-08 12:50:00,319.99,321.0,319.99,321.0,0.32,2447.88,809455.19,1
2023-08-08,2023-08-08 13:00:00,321.0,333.1,308.9,322.01,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 13:10:00,322.01,323.02,322.01,323.02,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 13:20:00,323.02,324.02,323.02,324.02,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 13:30:00,324.02,325.03,324.02,325.03,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 13:40:00,325.03,326.04,325.03,326.04,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 13:50:00,326.04,327.05,326.04,327.05,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 14:00:00,327.05,328.06,327.05,328.06,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 14:10:00,328.06,329.07,328.06,329.07,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 14:20:00,329.07,330.08,329.07,330.08,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 14:30:00,330.08,331.08,330.08,331.08,0.3,2447.88,809455.19,1
2023-08-08,2023-08-08 14:40:00,331.08,332.09,331.08,332.09,0.31,2447.88,809455.19,1
2023-08-08,2023-08-08 14:50:00,332.09,333.1,332.09,333.1,0.3,2447.88,809455.19,1
2023-08-08,2023-08-08 15:00:00,333.1,333.1,308.9,333.1,0.0,2447.88,809455.19,0
2023-08-09,2023-08-09 11:00:00,339.7,344.2,327.73,338.32,-0.41,9655.52,3023961.58,-1
2023-08-09,2023-08-09 11:10:00,338.32,338.32,336.95,336.95,-0.4,9655.52,3023961.58,-1
2023-08-09,2023-08-09 11:20:00,336.95,336.95,335.57,335.57,-0.41,9655.52,3023961.58,-1
2023-08-09,2023-08-09 11:30:00,335.57,335.57,334.2,334.2,-0.41,9655.52,3023961.58,-1
2023-08-09,2023-08-09 11:40:00,334.2,334.2,332.82,332.82,-0.41,9655.52,3023961.58,-1
2023-08-09,2023-08-09 11:50:00,332.82,332.82,331.45,331.45,-0.41,9655.52,3023961.58,-1
2023-08-09,2023-08-09 12:00:00,331.45,331.45,330.07,330.07,-0.42,9655.52,3023961.58,-1
2023-08-09,2023-08-09 12:10:00,330.07,330.07,328.7,328.7,-0.42,9655.52,3023961.58,-1
2023-08-09,2023-08-09 12:20:00,328.7,328.7,327.32,327.32,-0.42,9655.52,3023961.58,-1
2023-08-09,2023-08-09 12:30:00,327.32,327.32,325.95,325.95,-0.42,9655.52,3023961.58,-1
2023-08-09,2023-08-09 12:40:00,325.95,325.95,324.57,324.57,-0.42,9655.52,3023961.58,-1
2023-08-09,2023-08-09 12:50:00,324.57,324.57,323.2,323.2,-0.42,9655.52,3023961.58,-1
2023-08-09,2023-08-09 13:00:00,323.2,354.7,299.8,321.82,-0.43,9655.52,3023961.58,-1
2023-08-09,2023-08-09 13:10:00,321.82,321.82,320.45,320.45,-0.43,9655.52,3023961.58,-1
2023-08-09,2023-08-09 13:20:00,320.45,320.45,319.07,319.07,-0.43,9655.52,3023961.58,-1
2023-08-09,2023-08-09 13:30:00,319.07,319.07,317.7,317.7,-0.43,9655.52,3023961.58,-1
2023-08-09,2023-08-09 13:40:00,317.7,317.7,316.32,316.32,-0.43,9655.52,3023961.58,-1
2023-08-09,2023-08-09 13:50:00,316.32,316.32,314.95,314.95,-0.43,9655.52,3023961.58,-1
2023-08-09,2023-08-09 14:00:00,314.95,314.95,313.57,313.57,-0.44,9655.52,3023961.58,-1
2023-08-09,2023-08-09 14:10:00,313.57,313.57,312.2,312.2,-0.44,9655.52,3023961.58,-1
2023-08-09,2023-08-09 14:20:00,312.2,312.2,310.82,310.82,-0.44,9655.52,3023961.58,-1
2023-08-09,2023-08-09 14:30:00,310.82,310.82,309.45,309.45,-0.44,9655.52,3023961.58,-1
2023-08-09,2023-08-09 14:40:00,309.45,309.45,308.07,308.07,-0.45,9655.52,3023961.58,-1
2023-08-09,2023-08-09 14:50:00,308.07,308.07,306.7,306.7,-0.44,9655.52,3023961.58,-1
2023-08-09,2023-08-09 15:00:00,306.7,354.7,299.8,306.7,0.0,9655.52,3023961.58,0
2023-08-10,2023-08-10 11:00:00,307.0,307.9,303.4,306.58,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 11:10:00,306.58,306.58,306.17,306.17,-0.13,5323.2,1591583.91,-1
2023-08-10,2023-08-10 11:20:00,306.17,306.17,305.75,305.75,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 11:30:00,305.75,305.75,305.33,305.33,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 11:40:00,305.33,305.33,304.92,304.92,-0.13,5323.2,1591583.91,-1
2023-08-10,2023-08-10 11:50:00,304.92,304.92,304.5,304.5,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 12:00:00,304.5,304.5,304.08,304.08,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 12:10:00,304.08,304.08,303.67,303.67,-0.13,5323.2,1591583.91,-1
2023-08-10,2023-08-10 12:20:00,303.67,303.67,303.25,303.25,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 12:30:00,303.25,303.25,302.83,302.83,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 12:40:00,302.83,302.83,302.42,302.42,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 12:50:00,302.42,302.42,302.0,302.0,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 13:00:00,302.0,310.0,295.0,301.58,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 13:10:00,301.58,301.58,301.17,301.17,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 13:20:00,301.17,301.17,300.75,300.75,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 13:30:00,300.75,300.75,300.33,300.33,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 13:40:00,300.33,300.33,299.92,299.92,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 13:50:00,299.92,299.92,299.5,299.5,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 14:00:00,299.5,299.5,299.08,299.08,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 14:10:00,299.08,299.08,298.67,298.67,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 14:20:00,298.67,298.67,298.25,298.25,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 14:30:00,298.25,298.25,297.83,297.83,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 14:40:00,297.83,297.83,297.42,297.42,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 14:50:00,297.42,297.42,297.0,297.0,-0.14,5323.2,1591583.91,-1
2023-08-10,2023-08-10 15:00:00,297.0,310.0,295.0,297.0,0.0,5323.2,1591583.91,0
2023-08-13,2023-08-13 11:00:00,297.0,297.6,291.48,296.38,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 11:10:00,296.38,296.38,295.75,295.75,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 11:20:00,295.75,295.75,295.12,295.12,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 11:30:00,295.12,295.12,294.5,294.5,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 11:40:00,294.5,294.5,293.88,293.88,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 11:50:00,293.88,293.88,293.25,293.25,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 12:00:00,293.25,293.25,292.62,292.62,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 12:10:00,292.62,292.62,292.0,292.0,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 12:20:00,292.0,292.0,291.38,291.38,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 12:30:00,291.38,291.38,290.75,290.75,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 12:40:00,290.75,290.75,290.12,290.12,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 12:50:00,290.12,290.12,289.5,289.5,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 13:00:00,289.5,299.0,278.6,288.88,-0.21,4359.28,1243739.77,-1
2023-08-13,2023-08-13 13:10:00,288.88,288.88,288.25,288.25,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 13:20:00,288.25,288.25,287.62,287.62,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 13:30:00,287.62,287.62,287.0,287.0,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 13:40:00,287.0,287.0,286.38,286.38,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 13:50:00,286.38,286.38,285.75,285.75,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 14:00:00,285.75,285.75,285.12,285.12,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 14:10:00,285.12,285.12,284.5,284.5,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 14:20:00,284.5,284.5,283.88,283.88,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 14:30:00,283.88,283.88,283.25,283.25,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 14:40:00,283.25,283.25,282.62,282.62,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 14:50:00,282.62,282.62,282.0,282.0,-0.22,4359.28,1243739.77,-1
2023-08-13,2023-08-13 15:00:00,282.0,299.0,278.6,282.0,0.0,4359.28,1243739.77,0
2023-08-14,2023-08-14 11:00:00,276.5,285.05,276.5,277.31,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 11:10:00,277.31,278.12,277.31,278.12,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 11:20:00,278.12,278.94,278.12,278.94,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 11:30:00,278.94,279.75,278.94,279.75,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 11:40:00,279.75,280.56,279.75,280.56,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 11:50:00,280.56,281.38,280.56,281.38,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 12:00:00,281.38,282.19,281.38,282.19,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 12:10:00,282.19,283.0,282.19,283.0,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 12:20:00,283.0,283.81,283.0,283.81,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 12:30:00,283.81,284.62,283.81,284.62,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 12:40:00,284.62,285.44,284.62,285.44,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 12:50:00,285.44,286.25,285.44,286.25,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 13:00:00,286.25,305.0,276.5,287.06,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 13:10:00,287.06,287.88,287.06,287.88,0.29,3303.2,974534.82,1
2023-08-14,2023-08-14 13:20:00,287.88,288.69,287.88,288.69,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 13:30:00,288.69,289.5,288.69,289.5,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 13:40:00,289.5,290.31,289.5,290.31,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 13:50:00,290.31,291.12,290.31,291.12,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 14:00:00,291.12,291.94,291.12,291.94,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 14:10:00,291.94,292.75,291.94,292.75,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 14:20:00,292.75,293.56,292.75,293.56,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 14:30:00,293.56,294.38,293.56,294.38,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 14:40:00,294.38,295.19,294.38,295.19,0.28,3303.2,974534.82,1
2023-08-14,2023-08-14 14:50:00,295.19,296.0,295.19,296.0,0.27,3303.2,974534.82,1
2023-08-14,2023-08-14 15:00:00,296.0,305.0,276.5,296.0,0.0,3303.2,974534.82,0
2023-08-15,2023-08-15 11:00:00,291.0,291.6,288.9,290.75,-0.09,1692.16,486977.05,-1
2023-08-15,2023-08-15 11:10:00,290.75,290.75,290.5,290.5,-0.09,1692.16,486977.05,-1
2023-08-15,2023-08-15 11:20:00,290.5,290.5,290.25,290.25,-0.09,1692.16,486977.05,-1
