published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-21,2023-12-21 11:00:00,208.8,215.04,208.8,208.89,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:01:00,208.89,208.97,208.89,208.97,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:02:00,208.97,209.06,208.97,209.06,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:03:00,209.06,209.15,209.06,209.15,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:04:00,209.15,209.23,209.15,209.23,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:05:00,209.23,209.32,209.23,209.32,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:06:00,209.32,209.41,209.32,209.41,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:07:00,209.41,209.49,209.41,209.49,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:08:00,209.49,209.58,209.49,209.58,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:09:00,209.58,209.67,209.58,209.67,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:10:00,209.67,209.75,209.67,209.75,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:11:00,209.75,209.84,209.75,209.84,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:12:00,209.84,209.93,209.84,209.93,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:13:00,209.93,210.01,209.93,210.01,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:14:00,210.01,210.1,210.01,210.1,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:15:00,210.1,210.19,210.1,210.19,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:16:00,210.19,210.27,210.19,210.27,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:17:00,210.27,210.36,210.27,210.36,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:18:00,210.36,210.45,210.36,210.45,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:19:00,210.45,210.53,210.45,210.53,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:20:00,210.53,210.62,210.53,210.62,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:21:00,210.62,210.71,210.62,210.71,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:22:00,210.71,210.79,210.71,210.79,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:23:00,210.79,210.88,210.79,210.88,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:24:00,210.88,210.97,210.88,210.97,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:25:00,210.97,211.05,210.97,211.05,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:26:00,211.05,211.14,211.05,211.14,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:27:00,211.14,211.23,211.14,211.23,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:28:00,211.23,211.31,211.23,211.31,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:29:00,211.31,211.4,211.31,211.4,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:30:00,211.4,211.49,211.4,211.49,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:31:00,211.49,211.57,211.49,211.57,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:32:00,211.57,211.66,211.57,211.66,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:33:00,211.66,211.75,211.66,211.75,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:34:00,211.75,211.83,211.75,211.83,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:35:00,211.83,211.92,211.83,211.92,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:36:00,211.92,212.01,211.92,212.01,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:37:00,212.01,212.09,212.01,212.09,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:38:00,212.09,212.18,212.09,212.18,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:39:00,212.18,212.27,212.18,212.27,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:40:00,212.27,212.35,212.27,212.35,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:41:00,212.35,212.44,212.35,212.44,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:42:00,212.44,212.53,212.44,212.53,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:43:00,212.53,212.61,212.53,212.61,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:44:00,212.61,212.7,212.61,212.7,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:45:00,212.7,212.79,212.7,212.79,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:46:00,212.79,212.87,212.79,212.87,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:47:00,212.87,212.96,212.87,212.96,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:48:00,212.96,213.05,212.96,213.05,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:49:00,213.05,213.13,213.05,213.13,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:50:00,213.13,213.22,213.13,213.22,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:51:00,213.22,213.31,213.22,213.31,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:52:00,213.31,213.39,213.31,213.39,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:53:00,213.39,213.48,213.39,213.48,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:54:00,213.48,213.57,213.48,213.57,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:55:00,213.57,213.65,213.57,213.65,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:56:00,213.65,213.74,213.65,213.74,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:57:00,213.74,213.83,213.74,213.83,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:58:00,213.83,213.91,213.83,213.91,0.04,4.13,941.37,1
2023-12-21,2023-12-21 11:59:00,213.91,214.0,213.91,214.0,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:00:00,214.0,214.09,214.0,214.09,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:01:00,214.09,214.17,214.09,214.17,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:02:00,214.17,214.26,214.17,214.26,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:03:00,214.26,214.35,214.26,214.35,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:04:00,214.35,214.43,214.35,214.43,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:05:00,214.43,214.52,214.43,214.52,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:06:00,214.52,214.61,214.52,214.61,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:07:00,214.61,214.69,214.61,214.69,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:08:00,214.69,214.78,214.69,214.78,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:09:00,214.78,214.87,214.78,214.87,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:10:00,214.87,214.95,214.87,214.95,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:11:00,214.95,215.04,214.95,215.04,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:12:00,215.04,215.13,215.04,215.13,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:13:00,215.13,215.21,215.13,215.21,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:14:00,215.21,215.3,215.21,215.3,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:15:00,215.3,215.39,215.3,215.39,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:16:00,215.39,215.47,215.39,215.47,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:17:00,215.47,215.56,215.47,215.56,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:18:00,215.56,215.65,215.56,215.65,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:19:00,215.65,215.73,215.65,215.73,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:20:00,215.73,215.82,215.73,215.82,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:21:00,215.82,215.91,215.82,215.91,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:22:00,215.91,215.99,215.91,215.99,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:23:00,215.99,216.08,215.99,216.08,0.04,4.13,941.37,1
2023-12-21,2023-12-21 12:24:00,216.08,216.17,216.08,216.17,0.04,4.13,941.37,1
