published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-10-17,2011-10-17 11:00:00,68.0,68.0,67.7,67.96,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 11:10:00,67.96,67.96,67.92,67.92,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 11:20:00,67.92,67.92,67.88,67.88,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 11:30:00,67.88,67.88,67.83,67.83,-0.07,8.4,562.8,-1
2011-10-17,2011-10-17 11:40:00,67.83,67.83,67.79,67.79,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 11:50:00,67.79,67.79,67.75,67.75,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 12:00:00,67.75,67.75,67.71,67.71,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 12:10:00,67.71,67.71,67.67,67.67,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 12:20:00,67.67,67.67,67.62,67.62,-0.07,8.4,562.8,-1
2011-10-17,2011-10-17 12:30:00,67.62,67.62,67.58,67.58,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 12:40:00,67.58,67.58,67.54,67.54,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 12:50:00,67.54,67.54,67.5,67.5,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 13:00:00,67.5,67.5,67.0,67.46,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 13:10:00,67.46,67.46,67.42,67.42,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 13:20:00,67.42,67.42,67.38,67.38,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 13:30:00,67.38,67.38,67.33,67.33,-0.07,8.4,562.8,-1
2011-10-17,2011-10-17 13:40:00,67.33,67.33,67.29,67.29,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 13:50:00,67.29,67.29,67.25,67.25,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 14:00:00,67.25,67.25,67.21,67.21,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 14:10:00,67.21,67.21,67.17,67.17,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 14:20:00,67.17,67.17,67.12,67.12,-0.07,8.4,562.8,-1
2011-10-17,2011-10-17 14:30:00,67.12,67.12,67.08,67.08,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 14:40:00,67.08,67.08,67.04,67.04,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 14:50:00,67.04,67.04,67.0,67.0,-0.06,8.4,562.8,-1
2011-10-17,2011-10-17 15:00:00,67.0,67.0,67.0,67.0,0.0,8.4,562.8,0
2011-10-19,2011-10-19 11:00:00,67.0,67.0,65.5,66.79,-0.31,27.6,1761.2,-1
2011-10-19,2011-10-19 11:10:00,66.79,66.79,66.58,66.58,-0.31,27.6,1761.2,-1
2011-10-19,2011-10-19 11:20:00,66.58,66.58,66.38,66.38,-0.3,27.6,1761.2,-1
2011-10-19,2011-10-19 11:30:00,66.38,66.38,66.17,66.17,-0.32,27.6,1761.2,-1
2011-10-19,2011-10-19 11:40:00,66.17,66.17,65.96,65.96,-0.32,27.6,1761.2,-1
2011-10-19,2011-10-19 11:50:00,65.96,65.96,65.75,65.75,-0.32,27.6,1761.2,-1
2011-10-19,2011-10-19 12:00:00,65.75,65.75,65.54,65.54,-0.32,27.6,1761.2,-1
2011-10-19,2011-10-19 12:10:00,65.54,65.54,65.33,65.33,-0.32,27.6,1761.2,-1
2011-10-19,2011-10-19 12:20:00,65.33,65.33,65.12,65.12,-0.32,27.6,1761.2,-1
2011-10-19,2011-10-19 12:30:00,65.12,65.12,64.92,64.92,-0.31,27.6,1761.2,-1
2011-10-19,2011-10-19 12:40:00,64.92,64.92,64.71,64.71,-0.32,27.6,1761.2,-1
2011-10-19,2011-10-19 12:50:00,64.71,64.71,64.5,64.5,-0.32,27.6,1761.2,-1
2011-10-19,2011-10-19 13:00:00,64.5,66.0,62.0,64.29,-0.33,27.6,1761.2,-1
2011-10-19,2011-10-19 13:10:00,64.29,64.29,64.08,64.08,-0.33,27.6,1761.2,-1
2011-10-19,2011-10-19 13:20:00,64.08,64.08,63.88,63.88,-0.31,27.6,1761.2,-1
2011-10-19,2011-10-19 13:30:00,63.88,63.88,63.67,63.67,-0.33,27.6,1761.2,-1
2011-10-19,2011-10-19 13:40:00,63.67,63.67,63.46,63.46,-0.33,27.6,1761.2,-1
2011-10-19,2011-10-19 13:50:00,63.46,63.46,63.25,63.25,-0.33,27.6,1761.2,-1
2011-10-19,2011-10-19 14:00:00,63.25,63.25,63.04,63.04,-0.33,27.6,1761.2,-1
2011-10-19,2011-10-19 14:10:00,63.04,63.04,62.83,62.83,-0.33,27.6,1761.2,-1
2011-10-19,2011-10-19 14:20:00,62.83,62.83,62.62,62.62,-0.33,27.6,1761.2,-1
2011-10-19,2011-10-19 14:30:00,62.62,62.62,62.42,62.42,-0.32,27.6,1761.2,-1
2011-10-19,2011-10-19 14:40:00,62.42,62.42,62.21,62.21,-0.34,27.6,1761.2,-1
2011-10-19,2011-10-19 14:50:00,62.21,62.21,62.0,62.0,-0.34,27.6,1761.2,-1
2011-10-19,2011-10-19 15:00:00,62.0,66.0,62.0,62.0,0.0,27.6,1761.2,0
2011-10-20,2011-10-20 11:00:00,62.0,62.3,62.0,62.04,0.06,0.8,50.4,1
2011-10-20,2011-10-20 11:10:00,62.04,62.08,62.04,62.08,0.06,0.8,50.4,1
2011-10-20,2011-10-20 11:20:00,62.08,62.12,62.08,62.12,0.06,0.8,50.4,1
2011-10-20,2011-10-20 11:30:00,62.12,62.17,62.12,62.17,0.08,0.8,50.4,1
2011-10-20,2011-10-20 11:40:00,62.17,62.21,62.17,62.21,0.06,0.8,50.4,1
2011-10-20,2011-10-20 11:50:00,62.21,62.25,62.21,62.25,0.06,0.8,50.4,1
2011-10-20,2011-10-20 12:00:00,62.25,62.29,62.25,62.29,0.06,0.8,50.4,1
2011-10-20,2011-10-20 12:10:00,62.29,62.33,62.29,62.33,0.06,0.8,50.4,1
2011-10-20,2011-10-20 12:20:00,62.33,62.38,62.33,62.38,0.08,0.8,50.4,1
2011-10-20,2011-10-20 12:30:00,62.38,62.42,62.38,62.42,0.06,0.8,50.4,1
2011-10-20,2011-10-20 12:40:00,62.42,62.46,62.42,62.46,0.06,0.8,50.4,1
2011-10-20,2011-10-20 12:50:00,62.46,62.5,62.46,62.5,0.06,0.8,50.4,1
2011-10-20,2011-10-20 13:00:00,62.5,63.0,62.5,62.54,0.06,0.8,50.4,1
2011-10-20,2011-10-20 13:10:00,62.54,62.58,62.54,62.58,0.06,0.8,50.4,1
2011-10-20,2011-10-20 13:20:00,62.58,62.62,62.58,62.62,0.06,0.8,50.4,1
2011-10-20,2011-10-20 13:30:00,62.62,62.67,62.62,62.67,0.08,0.8,50.4,1
2011-10-20,2011-10-20 13:40:00,62.67,62.71,62.67,62.71,0.06,0.8,50.4,1
2011-10-20,2011-10-20 13:50:00,62.71,62.75,62.71,62.75,0.06,0.8,50.4,1
2011-10-20,2011-10-20 14:00:00,62.75,62.79,62.75,62.79,0.06,0.8,50.4,1
2011-10-20,2011-10-20 14:10:00,62.79,62.83,62.79,62.83,0.06,0.8,50.4,1
2011-10-20,2011-10-20 14:20:00,62.83,62.88,62.83,62.88,0.08,0.8,50.4,1
2011-10-20,2011-10-20 14:30:00,62.88,62.92,62.88,62.92,0.06,0.8,50.4,1
2011-10-20,2011-10-20 14:40:00,62.92,62.96,62.92,62.96,0.06,0.8,50.4,1
2011-10-20,2011-10-20 14:50:00,62.96,63.0,62.96,63.0,0.06,0.8,50.4,1
2011-10-20,2011-10-20 15:00:00,63.0,63.0,63.0,63.0,0.0,0.8,50.4,0
2011-10-23,2011-10-23 11:00:00,63.0,63.0,62.4,62.92,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 11:10:00,62.92,62.92,62.83,62.83,-0.14,10.4,646.0,-1
2011-10-23,2011-10-23 11:20:00,62.83,62.83,62.75,62.75,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 11:30:00,62.75,62.75,62.67,62.67,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 11:40:00,62.67,62.67,62.58,62.58,-0.14,10.4,646.0,-1
2011-10-23,2011-10-23 11:50:00,62.58,62.58,62.5,62.5,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 12:00:00,62.5,62.5,62.42,62.42,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 12:10:00,62.42,62.42,62.33,62.33,-0.14,10.4,646.0,-1
2011-10-23,2011-10-23 12:20:00,62.33,62.33,62.25,62.25,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 12:30:00,62.25,62.25,62.17,62.17,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 12:40:00,62.17,62.17,62.08,62.08,-0.14,10.4,646.0,-1
2011-10-23,2011-10-23 12:50:00,62.08,62.08,62.0,62.0,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 13:00:00,62.0,63.0,61.0,61.92,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 13:10:00,61.92,61.92,61.83,61.83,-0.15,10.4,646.0,-1
2011-10-23,2011-10-23 13:20:00,61.83,61.83,61.75,61.75,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 13:30:00,61.75,61.75,61.67,61.67,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 13:40:00,61.67,61.67,61.58,61.58,-0.15,10.4,646.0,-1
2011-10-23,2011-10-23 13:50:00,61.58,61.58,61.5,61.5,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 14:00:00,61.5,61.5,61.42,61.42,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 14:10:00,61.42,61.42,61.33,61.33,-0.15,10.4,646.0,-1
2011-10-23,2011-10-23 14:20:00,61.33,61.33,61.25,61.25,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 14:30:00,61.25,61.25,61.17,61.17,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 14:40:00,61.17,61.17,61.08,61.08,-0.15,10.4,646.0,-1
2011-10-23,2011-10-23 14:50:00,61.08,61.08,61.0,61.0,-0.13,10.4,646.0,-1
2011-10-23,2011-10-23 15:00:00,61.0,63.0,61.0,61.0,0.0,10.4,646.0,0
2011-10-24,2011-10-24 11:00:00,61.0,61.9,61.0,61.08,0.13,11.6,734.4,1
2011-10-24,2011-10-24 11:10:00,61.08,61.17,61.08,61.17,0.15,11.6,734.4,1
2011-10-24,2011-10-24 11:20:00,61.17,61.25,61.17,61.25,0.13,11.6,734.4,1
2011-10-24,2011-10-24 11:30:00,61.25,61.33,61.25,61.33,0.13,11.6,734.4,1
