published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-19,2023-12-19 11:00:00,598.0,598.0,581.2,597.62,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 11:10:00,597.62,597.62,597.25,597.25,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 11:20:00,597.25,597.25,596.88,596.88,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 11:30:00,596.88,596.88,596.5,596.5,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 11:40:00,596.5,596.5,596.12,596.12,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 11:50:00,596.12,596.12,595.75,595.75,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 12:00:00,595.75,595.75,595.38,595.38,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 12:10:00,595.38,595.38,595.0,595.0,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 12:20:00,595.0,595.0,594.62,594.62,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 12:30:00,594.62,594.62,594.25,594.25,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 12:40:00,594.25,594.25,593.88,593.88,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 12:50:00,593.88,593.88,593.5,593.5,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 13:00:00,593.5,598.0,542.0,593.12,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 13:10:00,593.12,593.12,592.75,592.75,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 13:20:00,592.75,592.75,592.38,592.38,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 13:30:00,592.38,592.38,592.0,592.0,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 13:40:00,592.0,592.0,591.62,591.62,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 13:50:00,591.62,591.62,591.25,591.25,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 14:00:00,591.25,591.25,590.88,590.88,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 14:10:00,590.88,590.88,590.5,590.5,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 14:20:00,590.5,590.5,590.12,590.12,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 14:30:00,590.12,590.12,589.75,589.75,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 14:40:00,589.75,589.75,589.38,589.38,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 14:50:00,589.38,589.38,589.0,589.0,-0.06,3271.16,1853122.71,-1
2023-12-19,2023-12-19 15:00:00,589.0,598.0,542.0,589.0,0.0,3271.16,1853122.71,0
2023-12-20,2023-12-20 11:00:00,589.0,606.64,566.8,590.04,0.18,2341.44,1417304.78,1
2023-12-20,2023-12-20 11:10:00,590.04,591.08,590.04,591.08,0.18,2341.44,1417304.78,1
2023-12-20,2023-12-20 11:20:00,591.08,592.11,591.08,592.11,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 11:30:00,592.11,593.15,592.11,593.15,0.18,2341.44,1417304.78,1
2023-12-20,2023-12-20 11:40:00,593.15,594.19,593.15,594.19,0.18,2341.44,1417304.78,1
2023-12-20,2023-12-20 11:50:00,594.19,595.23,594.19,595.23,0.18,2341.44,1417304.78,1
2023-12-20,2023-12-20 12:00:00,595.23,596.26,595.23,596.26,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 12:10:00,596.26,597.3,596.26,597.3,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 12:20:00,597.3,598.34,597.3,598.34,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 12:30:00,598.34,599.38,598.34,599.38,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 12:40:00,599.38,600.41,599.38,600.41,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 12:50:00,600.41,601.45,600.41,601.45,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 13:00:00,601.45,647.8,515.0,602.49,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 13:10:00,602.49,603.52,602.49,603.52,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 13:20:00,603.52,604.56,603.52,604.56,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 13:30:00,604.56,605.6,604.56,605.6,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 13:40:00,605.6,606.64,605.6,606.64,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 13:50:00,606.64,607.67,606.64,607.67,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 14:00:00,607.67,608.71,607.67,608.71,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 14:10:00,608.71,609.75,608.71,609.75,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 14:20:00,609.75,610.79,609.75,610.79,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 14:30:00,610.79,611.82,610.79,611.82,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 14:40:00,611.82,612.86,611.82,612.86,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 14:50:00,612.86,613.9,612.86,613.9,0.17,2341.44,1417304.78,1
2023-12-20,2023-12-20 15:00:00,613.9,647.8,515.0,613.9,0.0,2341.44,1417304.78,0
2023-12-21,2023-12-21 11:00:00,615.0,615.6,606.0,614.45,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 11:10:00,614.45,614.45,613.9,613.9,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 11:20:00,613.9,613.9,613.35,613.35,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 11:30:00,613.35,613.35,612.8,612.8,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 11:40:00,612.8,612.8,612.25,612.25,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 11:50:00,612.25,612.25,611.7,611.7,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 12:00:00,611.7,611.7,611.15,611.15,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 12:10:00,611.15,611.15,610.6,610.6,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 12:20:00,610.6,610.6,610.05,610.05,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 12:30:00,610.05,610.05,609.5,609.5,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 12:40:00,609.5,609.5,608.95,608.95,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 12:50:00,608.95,608.95,608.4,608.4,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 13:00:00,608.4,617.0,585.0,607.85,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 13:10:00,607.85,607.85,607.3,607.3,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 13:20:00,607.3,607.3,606.75,606.75,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 13:30:00,606.75,606.75,606.2,606.2,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 13:40:00,606.2,606.2,605.65,605.65,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 13:50:00,605.65,605.65,605.1,605.1,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 14:00:00,605.1,605.1,604.55,604.55,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 14:10:00,604.55,604.55,604.0,604.0,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 14:20:00,604.0,604.0,603.45,603.45,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 14:30:00,603.45,603.45,602.9,602.9,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 14:40:00,602.9,602.9,602.35,602.35,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 14:50:00,602.35,602.35,601.8,601.8,-0.09,947.8,565427.93,-1
2023-12-21,2023-12-21 15:00:00,601.8,617.0,585.0,601.8,0.0,947.8,565427.93,0
2023-12-24,2023-12-24 11:00:00,610.0,613.0,598.9,609.17,-0.14,2664.4,1598489.62,-1
2023-12-24,2023-12-24 11:10:00,609.17,609.17,608.33,608.33,-0.14,2664.4,1598489.62,-1
2023-12-24,2023-12-24 11:20:00,608.33,608.33,607.5,607.5,-0.14,2664.4,1598489.62,-1
2023-12-24,2023-12-24 11:30:00,607.5,607.5,606.67,606.67,-0.14,2664.4,1598489.62,-1
