published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-08-01,2019-08-01 11:00:00,133.0,134.2,132.4,133.08,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 11:10:00,133.08,133.17,133.08,133.17,0.07,29.2,3870.8,1
2019-08-01,2019-08-01 11:20:00,133.17,133.25,133.17,133.25,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 11:30:00,133.25,133.33,133.25,133.33,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 11:40:00,133.33,133.42,133.33,133.42,0.07,29.2,3870.8,1
2019-08-01,2019-08-01 11:50:00,133.42,133.5,133.42,133.5,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 12:00:00,133.5,133.58,133.5,133.58,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 12:10:00,133.58,133.67,133.58,133.67,0.07,29.2,3870.8,1
2019-08-01,2019-08-01 12:20:00,133.67,133.75,133.67,133.75,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 12:30:00,133.75,133.83,133.75,133.83,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 12:40:00,133.83,133.92,133.83,133.92,0.07,29.2,3870.8,1
2019-08-01,2019-08-01 12:50:00,133.92,134.0,133.92,134.0,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 13:00:00,134.0,137.0,131.0,134.08,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 13:10:00,134.08,134.17,134.08,134.17,0.07,29.2,3870.8,1
2019-08-01,2019-08-01 13:20:00,134.17,134.25,134.17,134.25,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 13:30:00,134.25,134.33,134.25,134.33,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 13:40:00,134.33,134.42,134.33,134.42,0.07,29.2,3870.8,1
2019-08-01,2019-08-01 13:50:00,134.42,134.5,134.42,134.5,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 14:00:00,134.5,134.58,134.5,134.58,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 14:10:00,134.58,134.67,134.58,134.67,0.07,29.2,3870.8,1
2019-08-01,2019-08-01 14:20:00,134.67,134.75,134.67,134.75,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 14:30:00,134.75,134.83,134.75,134.83,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 14:40:00,134.83,134.92,134.83,134.92,0.07,29.2,3870.8,1
2019-08-01,2019-08-01 14:50:00,134.92,135.0,134.92,135.0,0.06,29.2,3870.8,1
2019-08-01,2019-08-01 15:00:00,135.0,137.0,131.0,135.0,0.0,29.2,3870.8,0
2019-08-04,2019-08-04 11:00:00,133.0,133.0,132.1,132.92,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 11:10:00,132.92,132.92,132.83,132.83,-0.07,74.4,9748.4,-1
2019-08-04,2019-08-04 11:20:00,132.83,132.83,132.75,132.75,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 11:30:00,132.75,132.75,132.67,132.67,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 11:40:00,132.67,132.67,132.58,132.58,-0.07,74.4,9748.4,-1
2019-08-04,2019-08-04 11:50:00,132.58,132.58,132.5,132.5,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 12:00:00,132.5,132.5,132.42,132.42,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 12:10:00,132.42,132.42,132.33,132.33,-0.07,74.4,9748.4,-1
2019-08-04,2019-08-04 12:20:00,132.33,132.33,132.25,132.25,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 12:30:00,132.25,132.25,132.17,132.17,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 12:40:00,132.17,132.17,132.08,132.08,-0.07,74.4,9748.4,-1
2019-08-04,2019-08-04 12:50:00,132.08,132.08,132.0,132.0,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 13:00:00,132.0,133.0,130.0,131.92,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 13:10:00,131.92,131.92,131.83,131.83,-0.07,74.4,9748.4,-1
2019-08-04,2019-08-04 13:20:00,131.83,131.83,131.75,131.75,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 13:30:00,131.75,131.75,131.67,131.67,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 13:40:00,131.67,131.67,131.58,131.58,-0.07,74.4,9748.4,-1
2019-08-04,2019-08-04 13:50:00,131.58,131.58,131.5,131.5,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 14:00:00,131.5,131.5,131.42,131.42,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 14:10:00,131.42,131.42,131.33,131.33,-0.07,74.4,9748.4,-1
2019-08-04,2019-08-04 14:20:00,131.33,131.33,131.25,131.25,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 14:30:00,131.25,131.25,131.17,131.17,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 14:40:00,131.17,131.17,131.08,131.08,-0.07,74.4,9748.4,-1
2019-08-04,2019-08-04 14:50:00,131.08,131.08,131.0,131.0,-0.06,74.4,9748.4,-1
2019-08-04,2019-08-04 15:00:00,131.0,133.0,130.0,131.0,0.0,74.4,9748.4,0
2019-08-05,2019-08-05 11:00:00,129.0,129.9,129.0,129.12,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 11:10:00,129.12,129.25,129.12,129.25,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 11:20:00,129.25,129.38,129.25,129.38,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 11:30:00,129.38,129.5,129.38,129.5,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 11:40:00,129.5,129.62,129.5,129.62,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 11:50:00,129.62,129.75,129.62,129.75,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 12:00:00,129.75,129.88,129.75,129.88,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 12:10:00,129.88,130.0,129.88,130.0,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 12:20:00,130.0,130.12,130.0,130.12,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 12:30:00,130.12,130.25,130.12,130.25,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 12:40:00,130.25,130.38,130.25,130.38,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 12:50:00,130.38,130.5,130.38,130.5,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 13:00:00,130.5,132.0,129.0,130.62,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 13:10:00,130.62,130.75,130.62,130.75,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 13:20:00,130.75,130.88,130.75,130.88,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 13:30:00,130.88,131.0,130.88,131.0,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 13:40:00,131.0,131.12,131.0,131.12,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 13:50:00,131.12,131.25,131.12,131.25,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 14:00:00,131.25,131.38,131.25,131.38,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 14:10:00,131.38,131.5,131.38,131.5,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 14:20:00,131.5,131.62,131.5,131.62,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 14:30:00,131.62,131.75,131.62,131.75,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 14:40:00,131.75,131.88,131.75,131.88,0.1,38.8,5068.4,1
2019-08-05,2019-08-05 14:50:00,131.88,132.0,131.88,132.0,0.09,38.8,5068.4,1
2019-08-05,2019-08-05 15:00:00,132.0,132.0,129.0,132.0,0.0,38.8,5068.4,0
2019-08-06,2019-08-06 11:00:00,130.0,130.9,129.4,130.12,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 11:10:00,130.12,130.25,130.12,130.25,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 11:20:00,130.25,130.38,130.25,130.38,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 11:30:00,130.38,130.5,130.38,130.5,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 11:40:00,130.5,130.62,130.5,130.62,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 11:50:00,130.62,130.75,130.62,130.75,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 12:00:00,130.75,130.88,130.75,130.88,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 12:10:00,130.88,131.0,130.88,131.0,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 12:20:00,131.0,131.12,131.0,131.12,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 12:30:00,131.12,131.25,131.12,131.25,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 12:40:00,131.25,131.38,131.25,131.38,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 12:50:00,131.38,131.5,131.38,131.5,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 13:00:00,131.5,133.0,128.0,131.62,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 13:10:00,131.62,131.75,131.62,131.75,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 13:20:00,131.75,131.88,131.75,131.88,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 13:30:00,131.88,132.0,131.88,132.0,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 13:40:00,132.0,132.12,132.0,132.12,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 13:50:00,132.12,132.25,132.12,132.25,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 14:00:00,132.25,132.38,132.25,132.38,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 14:10:00,132.38,132.5,132.38,132.5,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 14:20:00,132.5,132.62,132.5,132.62,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 14:30:00,132.62,132.75,132.62,132.75,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 14:40:00,132.75,132.88,132.75,132.88,0.1,33.6,4368.8,1
2019-08-06,2019-08-06 14:50:00,132.88,133.0,132.88,133.0,0.09,33.6,4368.8,1
2019-08-06,2019-08-06 15:00:00,133.0,133.0,128.0,133.0,0.0,33.6,4368.8,0
2019-08-07,2019-08-07 11:00:00,131.0,132.8,130.1,131.25,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 11:10:00,131.25,131.5,131.25,131.5,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 11:20:00,131.5,131.75,131.5,131.75,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 11:30:00,131.75,132.0,131.75,132.0,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 11:40:00,132.0,132.25,132.0,132.25,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 11:50:00,132.25,132.5,132.25,132.5,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 12:00:00,132.5,132.75,132.5,132.75,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 12:10:00,132.75,133.0,132.75,133.0,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 12:20:00,133.0,133.25,133.0,133.25,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 12:30:00,133.25,133.5,133.25,133.5,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 12:40:00,133.5,133.75,133.5,133.75,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 12:50:00,133.75,134.0,133.75,134.0,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 13:00:00,134.0,137.0,128.0,134.25,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 13:10:00,134.25,134.5,134.25,134.5,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 13:20:00,134.5,134.75,134.5,134.75,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 13:30:00,134.75,135.0,134.75,135.0,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 13:40:00,135.0,135.25,135.0,135.25,0.19,42.4,5497.6,1
2019-08-07,2019-08-07 13:50:00,135.25,135.5,135.25,135.5,0.18,42.4,5497.6,1
2019-08-07,2019-08-07 14:00:00,135.5,135.75,135.5,135.75,0.18,42.4,5497.6,1
2019-08-07,2019-08-07 14:10:00,135.75,136.0,135.75,136.0,0.18,42.4,5497.6,1
2019-08-07,2019-08-07 14:20:00,136.0,136.25,136.0,136.25,0.18,42.4,5497.6,1
2019-08-07,2019-08-07 14:30:00,136.25,136.5,136.25,136.5,0.18,42.4,5497.6,1
2019-08-07,2019-08-07 14:40:00,136.5,136.75,136.5,136.75,0.18,42.4,5497.6,1
2019-08-07,2019-08-07 14:50:00,136.75,137.0,136.75,137.0,0.18,42.4,5497.6,1
2019-08-07,2019-08-07 15:00:00,137.0,137.0,128.0,137.0,0.0,42.4,5497.6,0
2019-08-11,2019-08-11 11:00:00,135.0,135.0,132.3,134.62,-0.28,34.8,4430.4,-1
2019-08-11,2019-08-11 11:10:00,134.62,134.62,134.25,134.25,-0.27,34.8,4430.4,-1
2019-08-11,2019-08-11 11:20:00,134.25,134.25,133.88,133.88,-0.28,34.8,4430.4,-1
2019-08-11,2019-08-11 11:30:00,133.88,133.88,133.5,133.5,-0.28,34.8,4430.4,-1
2019-08-11,2019-08-11 11:40:00,133.5,133.5,133.12,133.12,-0.28,34.8,4430.4,-1
2019-08-11,2019-08-11 11:50:00,133.12,133.12,132.75,132.75,-0.28,34.8,4430.4,-1
2019-08-11,2019-08-11 12:00:00,132.75,132.75,132.38,132.38,-0.28,34.8,4430.4,-1
2019-08-11,2019-08-11 12:10:00,132.38,132.38,132.0,132.0,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 12:20:00,132.0,132.0,131.62,131.62,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 12:30:00,131.62,131.62,131.25,131.25,-0.28,34.8,4430.4,-1
2019-08-11,2019-08-11 12:40:00,131.25,131.25,130.88,130.88,-0.28,34.8,4430.4,-1
2019-08-11,2019-08-11 12:50:00,130.88,130.88,130.5,130.5,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 13:00:00,130.5,135.0,126.0,130.12,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 13:10:00,130.12,130.12,129.75,129.75,-0.28,34.8,4430.4,-1
2019-08-11,2019-08-11 13:20:00,129.75,129.75,129.38,129.38,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 13:30:00,129.38,129.38,129.0,129.0,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 13:40:00,129.0,129.0,128.62,128.62,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 13:50:00,128.62,128.62,128.25,128.25,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 14:00:00,128.25,128.25,127.88,127.88,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 14:10:00,127.88,127.88,127.5,127.5,-0.3,34.8,4430.4,-1
2019-08-11,2019-08-11 14:20:00,127.5,127.5,127.12,127.12,-0.3,34.8,4430.4,-1
2019-08-11,2019-08-11 14:30:00,127.12,127.12,126.75,126.75,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 14:40:00,126.75,126.75,126.38,126.38,-0.29,34.8,4430.4,-1
2019-08-11,2019-08-11 14:50:00,126.38,126.38,126.0,126.0,-0.3,34.8,4430.4,-1
2019-08-11,2019-08-11 15:00:00,126.0,135.0,126.0,126.0,0.0,34.8,4430.4,0
2019-08-12,2019-08-12 11:00:00,125.0,125.6,124.7,125.04,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 11:10:00,125.04,125.08,125.04,125.08,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 11:20:00,125.08,125.12,125.08,125.12,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 11:30:00,125.12,125.17,125.12,125.17,0.04,74.4,9357.6,1
2019-08-12,2019-08-12 11:40:00,125.17,125.21,125.17,125.21,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 11:50:00,125.21,125.25,125.21,125.25,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 12:00:00,125.25,125.29,125.25,125.29,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 12:10:00,125.29,125.33,125.29,125.33,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 12:20:00,125.33,125.38,125.33,125.38,0.04,74.4,9357.6,1
2019-08-12,2019-08-12 12:30:00,125.38,125.42,125.38,125.42,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 12:40:00,125.42,125.46,125.42,125.46,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 12:50:00,125.46,125.5,125.46,125.5,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 13:00:00,125.5,127.0,124.0,125.54,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 13:10:00,125.54,125.58,125.54,125.58,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 13:20:00,125.58,125.62,125.58,125.62,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 13:30:00,125.62,125.67,125.62,125.67,0.04,74.4,9357.6,1
2019-08-12,2019-08-12 13:40:00,125.67,125.71,125.67,125.71,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 13:50:00,125.71,125.75,125.71,125.75,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 14:00:00,125.75,125.79,125.75,125.79,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 14:10:00,125.79,125.83,125.79,125.83,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 14:20:00,125.83,125.88,125.83,125.88,0.04,74.4,9357.6,1
2019-08-12,2019-08-12 14:30:00,125.88,125.92,125.88,125.92,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 14:40:00,125.92,125.96,125.92,125.96,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 14:50:00,125.96,126.0,125.96,126.0,0.03,74.4,9357.6,1
2019-08-12,2019-08-12 15:00:00,126.0,127.0,124.0,126.0,0.0,74.4,9357.6,0
2019-08-13,2019-08-13 11:00:00,125.0,125.3,123.2,124.88,-0.1,336.0,41022.4,-1
2019-08-13,2019-08-13 11:10:00,124.88,124.88,124.75,124.75,-0.1,336.0,41022.4,-1
2019-08-13,2019-08-13 11:20:00,124.75,124.75,124.62,124.62,-0.1,336.0,41022.4,-1
2019-08-13,2019-08-13 11:30:00,124.62,124.62,124.5,124.5,-0.1,336.0,41022.4,-1
