published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-10-16,2022-10-16 11:00:00,284.1,290.61,275.58,282.92,-0.42,943.12,253050.86,-1
2022-10-16,2022-10-16 11:10:00,282.92,282.92,281.73,281.73,-0.42,943.12,253050.86,-1
2022-10-16,2022-10-16 11:20:00,281.73,281.73,280.55,280.55,-0.42,943.12,253050.86,-1
2022-10-16,2022-10-16 11:30:00,280.55,280.55,279.37,279.37,-0.42,943.12,253050.86,-1
2022-10-16,2022-10-16 11:40:00,279.37,279.37,278.18,278.18,-0.43,943.12,253050.86,-1
2022-10-16,2022-10-16 11:50:00,278.18,278.18,277.0,277.0,-0.42,943.12,253050.86,-1
2022-10-16,2022-10-16 12:00:00,277.0,277.0,275.82,275.82,-0.43,943.12,253050.86,-1
2022-10-16,2022-10-16 12:10:00,275.82,275.82,274.63,274.63,-0.43,943.12,253050.86,-1
2022-10-16,2022-10-16 12:20:00,274.63,274.63,273.45,273.45,-0.43,943.12,253050.86,-1
2022-10-16,2022-10-16 12:30:00,273.45,273.45,272.27,272.27,-0.43,943.12,253050.86,-1
2022-10-16,2022-10-16 12:40:00,272.27,272.27,271.08,271.08,-0.44,943.12,253050.86,-1
2022-10-16,2022-10-16 12:50:00,271.08,271.08,269.9,269.9,-0.44,943.12,253050.86,-1
2022-10-16,2022-10-16 13:00:00,269.9,305.8,255.7,268.72,-0.44,943.12,253050.86,-1
2022-10-16,2022-10-16 13:10:00,268.72,268.72,267.53,267.53,-0.44,943.12,253050.86,-1
2022-10-16,2022-10-16 13:20:00,267.53,267.53,266.35,266.35,-0.44,943.12,253050.86,-1
2022-10-16,2022-10-16 13:30:00,266.35,266.35,265.17,265.17,-0.44,943.12,253050.86,-1
2022-10-16,2022-10-16 13:40:00,265.17,265.17,263.98,263.98,-0.45,943.12,253050.86,-1
2022-10-16,2022-10-16 13:50:00,263.98,263.98,262.8,262.8,-0.45,943.12,253050.86,-1
2022-10-16,2022-10-16 14:00:00,262.8,262.8,261.62,261.62,-0.45,943.12,253050.86,-1
2022-10-16,2022-10-16 14:10:00,261.62,261.62,260.43,260.43,-0.45,943.12,253050.86,-1
2022-10-16,2022-10-16 14:20:00,260.43,260.43,259.25,259.25,-0.45,943.12,253050.86,-1
2022-10-16,2022-10-16 14:30:00,259.25,259.25,258.07,258.07,-0.46,943.12,253050.86,-1
2022-10-16,2022-10-16 14:40:00,258.07,258.07,256.88,256.88,-0.46,943.12,253050.86,-1
2022-10-16,2022-10-16 14:50:00,256.88,256.88,255.7,255.7,-0.46,943.12,253050.86,-1
2022-10-16,2022-10-16 15:00:00,255.7,305.8,255.7,255.7,0.0,943.12,253050.86,0
2022-10-17,2022-10-17 11:00:00,256.0,256.0,248.26,254.93,-0.42,296.68,68427.54,-1
2022-10-17,2022-10-17 11:10:00,254.93,254.93,253.85,253.85,-0.42,296.68,68427.54,-1
2022-10-17,2022-10-17 11:20:00,253.85,253.85,252.78,252.78,-0.42,296.68,68427.54,-1
2022-10-17,2022-10-17 11:30:00,252.78,252.78,251.7,251.7,-0.43,296.68,68427.54,-1
2022-10-17,2022-10-17 11:40:00,251.7,251.7,250.62,250.62,-0.43,296.68,68427.54,-1
2022-10-17,2022-10-17 11:50:00,250.62,250.62,249.55,249.55,-0.43,296.68,68427.54,-1
2022-10-17,2022-10-17 12:00:00,249.55,249.55,248.47,248.47,-0.43,296.68,68427.54,-1
2022-10-17,2022-10-17 12:10:00,248.47,248.47,247.4,247.4,-0.43,296.68,68427.54,-1
2022-10-17,2022-10-17 12:20:00,247.4,247.4,246.32,246.32,-0.44,296.68,68427.54,-1
2022-10-17,2022-10-17 12:30:00,246.32,246.32,245.25,245.25,-0.43,296.68,68427.54,-1
