published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-22,2021-06-22 11:00:00,10.0,10.21,10.0,10.02,0.2,4187.6,43562.48,1
2021-06-22,2021-06-22 11:10:00,10.02,10.05,10.02,10.05,0.3,4187.6,43562.48,1
2021-06-22,2021-06-22 11:20:00,10.05,10.07,10.05,10.07,0.2,4187.6,43562.48,1
2021-06-22,2021-06-22 11:30:00,10.07,10.1,10.07,10.1,0.3,4187.6,43562.48,1
2021-06-22,2021-06-22 11:40:00,10.1,10.12,10.1,10.12,0.2,4187.6,43562.48,1
2021-06-22,2021-06-22 11:50:00,10.12,10.14,10.12,10.14,0.2,4187.6,43562.48,1
2021-06-22,2021-06-22 12:00:00,10.14,10.17,10.14,10.17,0.3,4187.6,43562.48,1
2021-06-22,2021-06-22 12:10:00,10.17,10.19,10.17,10.19,0.2,4187.6,43562.48,1
2021-06-22,2021-06-22 12:20:00,10.19,10.21,10.19,10.21,0.2,4187.6,43562.48,1
2021-06-22,2021-06-22 12:30:00,10.21,10.24,10.21,10.24,0.29,4187.6,43562.48,1
2021-06-22,2021-06-22 12:40:00,10.24,10.26,10.24,10.26,0.2,4187.6,43562.48,1
2021-06-22,2021-06-22 12:50:00,10.26,10.29,10.26,10.29,0.29,4187.6,43562.48,1
2021-06-22,2021-06-22 13:00:00,10.29,10.71,10.0,10.31,0.19,4187.6,43562.48,1
2021-06-22,2021-06-22 13:10:00,10.31,10.33,10.31,10.33,0.19,4187.6,43562.48,1
2021-06-22,2021-06-22 13:20:00,10.33,10.36,10.33,10.36,0.29,4187.6,43562.48,1
2021-06-22,2021-06-22 13:30:00,10.36,10.38,10.36,10.38,0.19,4187.6,43562.48,1
2021-06-22,2021-06-22 13:40:00,10.38,10.4,10.38,10.4,0.19,4187.6,43562.48,1
2021-06-22,2021-06-22 13:50:00,10.4,10.43,10.4,10.43,0.29,4187.6,43562.48,1
2021-06-22,2021-06-22 14:00:00,10.43,10.45,10.43,10.45,0.19,4187.6,43562.48,1
2021-06-22,2021-06-22 14:10:00,10.45,10.47,10.45,10.47,0.19,4187.6,43562.48,1
2021-06-22,2021-06-22 14:20:00,10.47,10.5,10.47,10.5,0.29,4187.6,43562.48,1
2021-06-22,2021-06-22 14:30:00,10.5,10.52,10.5,10.52,0.19,4187.6,43562.48,1
2021-06-22,2021-06-22 14:40:00,10.52,10.55,10.52,10.55,0.29,4187.6,43562.48,1
2021-06-22,2021-06-22 14:50:00,10.55,10.57,10.55,10.57,0.19,4187.6,43562.48,1
2021-06-22,2021-06-22 15:00:00,10.57,10.71,10.0,10.57,0.0,4187.6,43562.48,0
2021-06-23,2021-06-23 11:00:00,10.6,10.6,10.49,10.59,-0.09,1835.2,19077.04,-1
2021-06-23,2021-06-23 11:10:00,10.59,10.59,10.58,10.58,-0.09,1835.2,19077.04,-1
2021-06-23,2021-06-23 11:20:00,10.58,10.58,10.57,10.57,-0.09,1835.2,19077.04,-1
2021-06-23,2021-06-23 11:30:00,10.57,10.57,10.56,10.56,-0.09,1835.2,19077.04,-1
2021-06-23,2021-06-23 11:40:00,10.56,10.56,10.55,10.55,-0.09,1835.2,19077.04,-1
2021-06-23,2021-06-23 11:50:00,10.55,10.55,10.54,10.54,-0.09,1835.2,19077.04,-1
2021-06-23,2021-06-23 12:00:00,10.54,10.54,10.53,10.53,-0.09,1835.2,19077.04,-1
2021-06-23,2021-06-23 12:10:00,10.53,10.53,10.52,10.52,-0.09,1835.2,19077.04,-1
2021-06-23,2021-06-23 12:20:00,10.52,10.52,10.51,10.51,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 12:30:00,10.51,10.51,10.5,10.5,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 12:40:00,10.5,10.5,10.49,10.49,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 12:50:00,10.49,10.49,10.47,10.47,-0.19,1835.2,19077.04,-1
2021-06-23,2021-06-23 13:00:00,10.47,10.6,10.23,10.46,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 13:10:00,10.46,10.46,10.45,10.45,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 13:20:00,10.45,10.45,10.44,10.44,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 13:30:00,10.44,10.44,10.43,10.43,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 13:40:00,10.43,10.43,10.42,10.42,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 13:50:00,10.42,10.42,10.41,10.41,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 14:00:00,10.41,10.41,10.4,10.4,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 14:10:00,10.4,10.4,10.39,10.39,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 14:20:00,10.39,10.39,10.38,10.38,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 14:30:00,10.38,10.38,10.37,10.37,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 14:40:00,10.37,10.37,10.36,10.36,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 14:50:00,10.36,10.36,10.35,10.35,-0.1,1835.2,19077.04,-1
2021-06-23,2021-06-23 15:00:00,10.35,10.6,10.23,10.35,0.0,1835.2,19077.04,0
2021-06-24,2021-06-24 11:00:00,10.15,10.26,10.15,10.16,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 11:10:00,10.16,10.16,10.16,10.16,0.0,1776.0,18460.2,0
2021-06-24,2021-06-24 11:20:00,10.16,10.17,10.16,10.17,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 11:30:00,10.17,10.18,10.17,10.18,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 11:40:00,10.18,10.19,10.18,10.19,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 11:50:00,10.19,10.19,10.19,10.19,0.0,1776.0,18460.2,0
2021-06-24,2021-06-24 12:00:00,10.19,10.2,10.19,10.2,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 12:10:00,10.2,10.21,10.2,10.21,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 12:20:00,10.21,10.21,10.21,10.21,0.0,1776.0,18460.2,0
2021-06-24,2021-06-24 12:30:00,10.21,10.22,10.21,10.22,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 12:40:00,10.22,10.23,10.22,10.23,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 12:50:00,10.23,10.23,10.23,10.23,0.0,1776.0,18460.2,0
2021-06-24,2021-06-24 13:00:00,10.23,10.5,10.15,10.24,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 13:10:00,10.24,10.25,10.24,10.25,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 13:20:00,10.25,10.26,10.25,10.26,0.1,1776.0,18460.2,1
2021-06-24,2021-06-24 13:30:00,10.26,10.26,10.26,10.26,0.0,1776.0,18460.2,0
