published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-27,2025-05-27 11:00:00,289.3,297.97,289.3,290.5,0.41,4.8,1469.88,1
2025-05-27,2025-05-27 11:10:00,290.5,291.71,290.5,291.71,0.42,4.8,1469.88,1
2025-05-27,2025-05-27 11:20:00,291.71,292.91,291.71,292.91,0.41,4.8,1469.88,1
2025-05-27,2025-05-27 11:30:00,292.91,294.12,292.91,294.12,0.41,4.8,1469.88,1
2025-05-27,2025-05-27 11:40:00,294.12,295.32,294.12,295.32,0.41,4.8,1469.88,1
2025-05-27,2025-05-27 11:50:00,295.32,296.52,295.32,296.52,0.41,4.8,1469.88,1
2025-05-27,2025-05-27 12:00:00,296.52,297.73,296.52,297.73,0.41,4.8,1469.88,1
2025-05-27,2025-05-27 12:10:00,297.73,298.93,297.73,298.93,0.4,4.8,1469.88,1
2025-05-27,2025-05-27 12:20:00,298.93,300.14,298.93,300.14,0.4,4.8,1469.88,1
2025-05-27,2025-05-27 12:30:00,300.14,301.34,300.14,301.34,0.4,4.8,1469.88,1
2025-05-27,2025-05-27 12:40:00,301.34,302.55,301.34,302.55,0.4,4.8,1469.88,1
2025-05-27,2025-05-27 12:50:00,302.55,303.75,302.55,303.75,0.4,4.8,1469.88,1
2025-05-27,2025-05-27 13:00:00,303.75,318.2,289.3,304.95,0.4,4.8,1469.88,1
2025-05-27,2025-05-27 13:10:00,304.95,306.16,304.95,306.16,0.4,4.8,1469.88,1
2025-05-27,2025-05-27 13:20:00,306.16,307.36,306.16,307.36,0.39,4.8,1469.88,1
2025-05-27,2025-05-27 13:30:00,307.36,308.57,307.36,308.57,0.39,4.8,1469.88,1
2025-05-27,2025-05-27 13:40:00,308.57,309.77,308.57,309.77,0.39,4.8,1469.88,1
2025-05-27,2025-05-27 13:50:00,309.77,310.98,309.77,310.98,0.39,4.8,1469.88,1
2025-05-27,2025-05-27 14:00:00,310.98,312.18,310.98,312.18,0.39,4.8,1469.88,1
2025-05-27,2025-05-27 14:10:00,312.18,313.38,312.18,313.38,0.38,4.8,1469.88,1
2025-05-27,2025-05-27 14:20:00,313.38,314.59,313.38,314.59,0.39,4.8,1469.88,1
2025-05-27,2025-05-27 14:30:00,314.59,315.79,314.59,315.79,0.38,4.8,1469.88,1
2025-05-27,2025-05-27 14:40:00,315.79,317.0,315.79,317.0,0.38,4.8,1469.88,1
2025-05-27,2025-05-27 14:50:00,317.0,318.2,317.0,318.2,0.38,4.8,1469.88,1
2025-05-27,2025-05-27 15:00:00,318.2,318.2,289.3,318.2,0.0,4.8,1469.88,0
2025-05-28,2025-05-28 11:00:00,321.3,329.91,321.3,322.5,0.37,5.6,1917.16,1
2025-05-28,2025-05-28 11:10:00,322.5,323.69,322.5,323.69,0.37,5.6,1917.16,1
2025-05-28,2025-05-28 11:20:00,323.69,324.89,323.69,324.89,0.37,5.6,1917.16,1
2025-05-28,2025-05-28 11:30:00,324.89,326.08,324.89,326.08,0.37,5.6,1917.16,1
2025-05-28,2025-05-28 11:40:00,326.08,327.28,326.08,327.28,0.37,5.6,1917.16,1
2025-05-28,2025-05-28 11:50:00,327.28,328.48,327.28,328.48,0.37,5.6,1917.16,1
2025-05-28,2025-05-28 12:00:00,328.48,329.67,328.48,329.67,0.36,5.6,1917.16,1
2025-05-28,2025-05-28 12:10:00,329.67,330.87,329.67,330.87,0.36,5.6,1917.16,1
2025-05-28,2025-05-28 12:20:00,330.87,332.06,330.87,332.06,0.36,5.6,1917.16,1
2025-05-28,2025-05-28 12:30:00,332.06,333.26,332.06,333.26,0.36,5.6,1917.16,1
2025-05-28,2025-05-28 12:40:00,333.26,334.45,333.26,334.45,0.36,5.6,1917.16,1
2025-05-28,2025-05-28 12:50:00,334.45,335.65,334.45,335.65,0.36,5.6,1917.16,1
2025-05-28,2025-05-28 13:00:00,335.65,350.0,321.3,336.85,0.36,5.6,1917.16,1
2025-05-28,2025-05-28 13:10:00,336.85,338.04,336.85,338.04,0.35,5.6,1917.16,1
2025-05-28,2025-05-28 13:20:00,338.04,339.24,338.04,339.24,0.35,5.6,1917.16,1
2025-05-28,2025-05-28 13:30:00,339.24,340.43,339.24,340.43,0.35,5.6,1917.16,1
2025-05-28,2025-05-28 13:40:00,340.43,341.63,340.43,341.63,0.35,5.6,1917.16,1
2025-05-28,2025-05-28 13:50:00,341.63,342.82,341.63,342.82,0.35,5.6,1917.16,1
2025-05-28,2025-05-28 14:00:00,342.82,344.02,342.82,344.02,0.35,5.6,1917.16,1
2025-05-28,2025-05-28 14:10:00,344.02,345.22,344.02,345.22,0.35,5.6,1917.16,1
2025-05-28,2025-05-28 14:20:00,345.22,346.41,345.22,346.41,0.34,5.6,1917.16,1
2025-05-28,2025-05-28 14:30:00,346.41,347.61,346.41,347.61,0.35,5.6,1917.16,1
2025-05-28,2025-05-28 14:40:00,347.61,348.8,347.61,348.8,0.34,5.6,1917.16,1
2025-05-28,2025-05-28 14:50:00,348.8,350.0,348.8,350.0,0.34,5.6,1917.16,1
2025-05-28,2025-05-28 15:00:00,350.0,350.0,321.3,350.0,0.0,5.6,1917.16,0
2025-06-02,2025-06-02 11:00:00,357.0,365.4,357.0,358.17,0.33,10.8,4130.44,1
2025-06-02,2025-06-02 11:10:00,358.17,359.33,358.17,359.33,0.32,10.8,4130.44,1
2025-06-02,2025-06-02 11:20:00,359.33,360.5,359.33,360.5,0.33,10.8,4130.44,1
2025-06-02,2025-06-02 11:30:00,360.5,361.67,360.5,361.67,0.32,10.8,4130.44,1
2025-06-02,2025-06-02 11:40:00,361.67,362.83,361.67,362.83,0.32,10.8,4130.44,1
2025-06-02,2025-06-02 11:50:00,362.83,364.0,362.83,364.0,0.32,10.8,4130.44,1
2025-06-02,2025-06-02 12:00:00,364.0,365.17,364.0,365.17,0.32,10.8,4130.44,1
2025-06-02,2025-06-02 12:10:00,365.17,366.33,365.17,366.33,0.32,10.8,4130.44,1
2025-06-02,2025-06-02 12:20:00,366.33,367.5,366.33,367.5,0.32,10.8,4130.44,1
