published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-05-09,2018-05-09 11:00:00,210.0,211.2,208.5,209.96,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 11:10:00,209.96,209.96,209.92,209.92,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 11:20:00,209.92,209.92,209.88,209.88,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 11:30:00,209.88,209.88,209.83,209.83,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 11:40:00,209.83,209.83,209.79,209.79,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 11:50:00,209.79,209.79,209.75,209.75,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 12:00:00,209.75,209.75,209.71,209.71,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 12:10:00,209.71,209.71,209.67,209.67,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 12:20:00,209.67,209.67,209.62,209.62,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 12:30:00,209.62,209.62,209.58,209.58,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 12:40:00,209.58,209.58,209.54,209.54,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 12:50:00,209.54,209.54,209.5,209.5,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 13:00:00,209.5,214.0,205.0,209.46,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 13:10:00,209.46,209.46,209.42,209.42,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 13:20:00,209.42,209.42,209.38,209.38,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 13:30:00,209.38,209.38,209.33,209.33,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 13:40:00,209.33,209.33,209.29,209.29,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 13:50:00,209.29,209.29,209.25,209.25,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 14:00:00,209.25,209.25,209.21,209.21,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 14:10:00,209.21,209.21,209.17,209.17,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 14:20:00,209.17,209.17,209.12,209.12,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 14:30:00,209.12,209.12,209.08,209.08,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 14:40:00,209.08,209.08,209.04,209.04,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 14:50:00,209.04,209.04,209.0,209.0,-0.02,160.8,33372.4,-1
2018-05-09,2018-05-09 15:00:00,209.0,214.0,205.0,209.0,0.0,160.8,33372.4,0
2018-05-10,2018-05-10 11:00:00,208.0,208.6,207.7,207.96,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 11:10:00,207.96,207.96,207.92,207.92,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 11:20:00,207.92,207.92,207.88,207.88,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 11:30:00,207.88,207.88,207.83,207.83,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 11:40:00,207.83,207.83,207.79,207.79,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 11:50:00,207.79,207.79,207.75,207.75,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 12:00:00,207.75,207.75,207.71,207.71,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 12:10:00,207.71,207.71,207.67,207.67,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 12:20:00,207.67,207.67,207.62,207.62,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 12:30:00,207.62,207.62,207.58,207.58,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 12:40:00,207.58,207.58,207.54,207.54,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 12:50:00,207.54,207.54,207.5,207.5,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 13:00:00,207.5,210.0,207.0,207.46,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 13:10:00,207.46,207.46,207.42,207.42,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 13:20:00,207.42,207.42,207.38,207.38,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 13:30:00,207.38,207.38,207.33,207.33,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 13:40:00,207.33,207.33,207.29,207.29,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 13:50:00,207.29,207.29,207.25,207.25,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 14:00:00,207.25,207.25,207.21,207.21,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 14:10:00,207.21,207.21,207.17,207.17,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 14:20:00,207.17,207.17,207.12,207.12,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 14:30:00,207.12,207.12,207.08,207.08,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 14:40:00,207.08,207.08,207.04,207.04,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 14:50:00,207.04,207.04,207.0,207.0,-0.02,119.6,24852.8,-1
2018-05-10,2018-05-10 15:00:00,207.0,210.0,207.0,207.0,0.0,119.6,24852.8,0
2018-05-14,2018-05-14 11:00:00,211.0,212.8,209.8,210.88,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 11:10:00,210.88,210.88,210.75,210.75,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 11:20:00,210.75,210.75,210.62,210.62,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 11:30:00,210.62,210.62,210.5,210.5,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 11:40:00,210.5,210.5,210.38,210.38,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 11:50:00,210.38,210.38,210.25,210.25,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 12:00:00,210.25,210.25,210.12,210.12,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 12:10:00,210.12,210.12,210.0,210.0,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 12:20:00,210.0,210.0,209.88,209.88,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 12:30:00,209.88,209.88,209.75,209.75,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 12:40:00,209.75,209.75,209.62,209.62,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 12:50:00,209.62,209.62,209.5,209.5,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 13:00:00,209.5,217.0,207.0,209.38,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 13:10:00,209.38,209.38,209.25,209.25,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 13:20:00,209.25,209.25,209.12,209.12,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 13:30:00,209.12,209.12,209.0,209.0,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 13:40:00,209.0,209.0,208.88,208.88,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 13:50:00,208.88,208.88,208.75,208.75,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 14:00:00,208.75,208.75,208.62,208.62,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 14:10:00,208.62,208.62,208.5,208.5,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 14:20:00,208.5,208.5,208.38,208.38,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 14:30:00,208.38,208.38,208.25,208.25,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 14:40:00,208.25,208.25,208.12,208.12,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 14:50:00,208.12,208.12,208.0,208.0,-0.06,151.2,32067.6,-1
2018-05-14,2018-05-14 15:00:00,208.0,217.0,207.0,208.0,0.0,151.2,32067.6,0
2018-05-15,2018-05-15 11:00:00,205.0,210.1,205.0,205.33,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 11:10:00,205.33,205.67,205.33,205.67,0.17,237.92,51939.04,1
2018-05-15,2018-05-15 11:20:00,205.67,206.0,205.67,206.0,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 11:30:00,206.0,206.33,206.0,206.33,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 11:40:00,206.33,206.67,206.33,206.67,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 11:50:00,206.67,207.0,206.67,207.0,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 12:00:00,207.0,207.33,207.0,207.33,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 12:10:00,207.33,207.67,207.33,207.67,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 12:20:00,207.67,208.0,207.67,208.0,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 12:30:00,208.0,208.33,208.0,208.33,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 12:40:00,208.33,208.67,208.33,208.67,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 12:50:00,208.67,209.0,208.67,209.0,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 13:00:00,209.0,222.0,205.0,209.33,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 13:10:00,209.33,209.67,209.33,209.67,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 13:20:00,209.67,210.0,209.67,210.0,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 13:30:00,210.0,210.33,210.0,210.33,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 13:40:00,210.33,210.67,210.33,210.67,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 13:50:00,210.67,211.0,210.67,211.0,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 14:00:00,211.0,211.33,211.0,211.33,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 14:10:00,211.33,211.67,211.33,211.67,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 14:20:00,211.67,212.0,211.67,212.0,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 14:30:00,212.0,212.33,212.0,212.33,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 14:40:00,212.33,212.67,212.33,212.67,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 14:50:00,212.67,213.0,212.67,213.0,0.16,237.92,51939.04,1
2018-05-15,2018-05-15 15:00:00,213.0,222.0,205.0,213.0,0.0,237.92,51939.04,0
2018-05-16,2018-05-16 11:00:00,215.0,217.7,215.0,215.25,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 11:10:00,215.25,215.5,215.25,215.5,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 11:20:00,215.5,215.75,215.5,215.75,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 11:30:00,215.75,216.0,215.75,216.0,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 11:40:00,216.0,216.25,216.0,216.25,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 11:50:00,216.25,216.5,216.25,216.5,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 12:00:00,216.5,216.75,216.5,216.75,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 12:10:00,216.75,217.0,216.75,217.0,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 12:20:00,217.0,217.25,217.0,217.25,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 12:30:00,217.25,217.5,217.25,217.5,0.12,148.8,32755.2,1
2018-05-16,2018-05-16 12:40:00,217.5,217.75,217.5,217.75,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 12:50:00,217.75,218.0,217.75,218.0,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 13:00:00,218.0,224.0,215.0,218.25,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 13:10:00,218.25,218.5,218.25,218.5,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 13:20:00,218.5,218.75,218.5,218.75,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 13:30:00,218.75,219.0,218.75,219.0,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 13:40:00,219.0,219.25,219.0,219.25,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 13:50:00,219.25,219.5,219.25,219.5,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 14:00:00,219.5,219.75,219.5,219.75,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 14:10:00,219.75,220.0,219.75,220.0,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 14:20:00,220.0,220.25,220.0,220.25,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 14:30:00,220.25,220.5,220.25,220.5,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 14:40:00,220.5,220.75,220.5,220.75,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 14:50:00,220.75,221.0,220.75,221.0,0.11,148.8,32755.2,1
2018-05-16,2018-05-16 15:00:00,221.0,224.0,215.0,221.0,0.0,148.8,32755.2,0
2018-05-17,2018-05-17 11:00:00,221.0,224.6,220.7,221.33,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 11:10:00,221.33,221.67,221.33,221.67,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 11:20:00,221.67,222.0,221.67,222.0,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 11:30:00,222.0,222.33,222.0,222.33,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 11:40:00,222.33,222.67,222.33,222.67,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 11:50:00,222.67,223.0,222.67,223.0,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 12:00:00,223.0,223.33,223.0,223.33,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 12:10:00,223.33,223.67,223.33,223.67,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 12:20:00,223.67,224.0,223.67,224.0,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 12:30:00,224.0,224.33,224.0,224.33,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 12:40:00,224.33,224.67,224.33,224.67,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 12:50:00,224.67,225.0,224.67,225.0,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 13:00:00,225.0,233.0,220.0,225.33,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 13:10:00,225.33,225.67,225.33,225.67,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 13:20:00,225.67,226.0,225.67,226.0,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 13:30:00,226.0,226.33,226.0,226.33,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 13:40:00,226.33,226.67,226.33,226.67,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 13:50:00,226.67,227.0,226.67,227.0,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 14:00:00,227.0,227.33,227.0,227.33,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 14:10:00,227.33,227.67,227.33,227.67,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 14:20:00,227.67,228.0,227.67,228.0,0.14,329.68,75671.12,1
2018-05-17,2018-05-17 14:30:00,228.0,228.33,228.0,228.33,0.14,329.68,75671.12,1
2018-05-17,2018-05-17 14:40:00,228.33,228.67,228.33,228.67,0.15,329.68,75671.12,1
2018-05-17,2018-05-17 14:50:00,228.67,229.0,228.67,229.0,0.14,329.68,75671.12,1
2018-05-17,2018-05-17 15:00:00,229.0,233.0,220.0,229.0,0.0,329.68,75671.12,0
2018-05-20,2018-05-20 11:00:00,233.0,233.6,230.6,233.04,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 11:10:00,233.04,233.08,233.04,233.08,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 11:20:00,233.08,233.12,233.08,233.12,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 11:30:00,233.12,233.17,233.12,233.17,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 11:40:00,233.17,233.21,233.17,233.21,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 11:50:00,233.21,233.25,233.21,233.25,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 12:00:00,233.25,233.29,233.25,233.29,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 12:10:00,233.29,233.33,233.29,233.33,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 12:20:00,233.33,233.38,233.33,233.38,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 12:30:00,233.38,233.42,233.38,233.42,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 12:40:00,233.42,233.46,233.42,233.46,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 12:50:00,233.46,233.5,233.46,233.5,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 13:00:00,233.5,235.0,225.0,233.54,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 13:10:00,233.54,233.58,233.54,233.58,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 13:20:00,233.58,233.62,233.58,233.62,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 13:30:00,233.62,233.67,233.62,233.67,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 13:40:00,233.67,233.71,233.67,233.71,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 13:50:00,233.71,233.75,233.71,233.75,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 14:00:00,233.75,233.79,233.75,233.79,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 14:10:00,233.79,233.83,233.79,233.83,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 14:20:00,233.83,233.88,233.83,233.88,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 14:30:00,233.88,233.92,233.88,233.92,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 14:40:00,233.92,233.96,233.92,233.96,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 14:50:00,233.96,234.0,233.96,234.0,0.02,143.6,33134.8,1
2018-05-20,2018-05-20 15:00:00,234.0,235.0,225.0,234.0,0.0,143.6,33134.8,0
2018-05-21,2018-05-21 11:00:00,235.0,237.4,233.5,234.96,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 11:10:00,234.96,234.96,234.92,234.92,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 11:20:00,234.92,234.92,234.88,234.88,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 11:30:00,234.88,234.88,234.83,234.83,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 11:40:00,234.83,234.83,234.79,234.79,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 11:50:00,234.79,234.79,234.75,234.75,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 12:00:00,234.75,234.75,234.71,234.71,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 12:10:00,234.71,234.71,234.67,234.67,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 12:20:00,234.67,234.67,234.62,234.62,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 12:30:00,234.62,234.62,234.58,234.58,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 12:40:00,234.58,234.58,234.54,234.54,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 12:50:00,234.54,234.54,234.5,234.5,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 13:00:00,234.5,243.0,230.0,234.46,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 13:10:00,234.46,234.46,234.42,234.42,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 13:20:00,234.42,234.42,234.38,234.38,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 13:30:00,234.38,234.38,234.33,234.33,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 13:40:00,234.33,234.33,234.29,234.29,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 13:50:00,234.29,234.29,234.25,234.25,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 14:00:00,234.25,234.25,234.21,234.21,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 14:10:00,234.21,234.21,234.17,234.17,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 14:20:00,234.17,234.17,234.12,234.12,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 14:30:00,234.12,234.12,234.08,234.08,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 14:40:00,234.08,234.08,234.04,234.04,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 14:50:00,234.04,234.04,234.0,234.0,-0.02,202.0,47949.2,-1
2018-05-21,2018-05-21 15:00:00,234.0,243.0,230.0,234.0,0.0,202.0,47949.2,0
2018-05-22,2018-05-22 11:00:00,238.0,238.0,235.6,237.75,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 11:10:00,237.75,237.75,237.5,237.5,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 11:20:00,237.5,237.5,237.25,237.25,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 11:30:00,237.25,237.25,237.0,237.0,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 11:40:00,237.0,237.0,236.75,236.75,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 11:50:00,236.75,236.75,236.5,236.5,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 12:00:00,236.5,236.5,236.25,236.25,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 12:10:00,236.25,236.25,236.0,236.0,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 12:20:00,236.0,236.0,235.75,235.75,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 12:30:00,235.75,235.75,235.5,235.5,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 12:40:00,235.5,235.5,235.25,235.25,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 12:50:00,235.25,235.25,235.0,235.0,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 13:00:00,235.0,238.0,230.0,234.75,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 13:10:00,234.75,234.75,234.5,234.5,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 13:20:00,234.5,234.5,234.25,234.25,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 13:30:00,234.25,234.25,234.0,234.0,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 13:40:00,234.0,234.0,233.75,233.75,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 13:50:00,233.75,233.75,233.5,233.5,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 14:00:00,233.5,233.5,233.25,233.25,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 14:10:00,233.25,233.25,233.0,233.0,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 14:20:00,233.0,233.0,232.75,232.75,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 14:30:00,232.75,232.75,232.5,232.5,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 14:40:00,232.5,232.5,232.25,232.25,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 14:50:00,232.25,232.25,232.0,232.0,-0.11,44.8,10435.4,-1
2018-05-22,2018-05-22 15:00:00,232.0,238.0,230.0,232.0,0.0,44.8,10435.4,0
2018-05-23,2018-05-23 11:00:00,228.0,231.0,227.4,227.96,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 11:10:00,227.96,227.96,227.92,227.92,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 11:20:00,227.92,227.92,227.88,227.88,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 11:30:00,227.88,227.88,227.83,227.83,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 11:40:00,227.83,227.83,227.79,227.79,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 11:50:00,227.79,227.79,227.75,227.75,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 12:00:00,227.75,227.75,227.71,227.71,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 12:10:00,227.71,227.71,227.67,227.67,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 12:20:00,227.67,227.67,227.62,227.62,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 12:30:00,227.62,227.62,227.58,227.58,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 12:40:00,227.58,227.58,227.54,227.54,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 12:50:00,227.54,227.54,227.5,227.5,-0.02,68.8,15672.8,-1
2018-05-23,2018-05-23 13:00:00,227.5,238.0,226.0,227.46,-0.02,68.8,15672.8,-1
