published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-08-04,2025-08-04 11:00:00,1000.0,1000.0,994.63,999.25,-0.07,1.4,1382.1,-1
2025-08-04,2025-08-04 11:10:00,999.25,999.25,998.51,998.51,-0.07,1.4,1382.1,-1
2025-08-04,2025-08-04 11:20:00,998.51,998.51,997.76,997.76,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 11:30:00,997.76,997.76,997.02,997.02,-0.07,1.4,1382.1,-1
2025-08-04,2025-08-04 11:40:00,997.02,997.02,996.27,996.27,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 11:50:00,996.27,996.27,995.52,995.52,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 12:00:00,995.52,995.52,994.78,994.78,-0.07,1.4,1382.1,-1
2025-08-04,2025-08-04 12:10:00,994.78,994.78,994.03,994.03,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 12:20:00,994.03,994.03,993.29,993.29,-0.07,1.4,1382.1,-1
2025-08-04,2025-08-04 12:30:00,993.29,993.29,992.54,992.54,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 12:40:00,992.54,992.54,991.8,991.8,-0.07,1.4,1382.1,-1
2025-08-04,2025-08-04 12:50:00,991.8,991.8,991.05,991.05,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 13:00:00,991.05,1000.0,982.1,990.3,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 13:10:00,990.3,990.3,989.56,989.56,-0.07,1.4,1382.1,-1
2025-08-04,2025-08-04 13:20:00,989.56,989.56,988.81,988.81,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 13:30:00,988.81,988.81,988.07,988.07,-0.07,1.4,1382.1,-1
2025-08-04,2025-08-04 13:40:00,988.07,988.07,987.32,987.32,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 13:50:00,987.32,987.32,986.58,986.58,-0.07,1.4,1382.1,-1
2025-08-04,2025-08-04 14:00:00,986.58,986.58,985.83,985.83,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 14:10:00,985.83,985.83,985.08,985.08,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 14:20:00,985.08,985.08,984.34,984.34,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 14:30:00,984.34,984.34,983.59,983.59,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 14:40:00,983.59,983.59,982.85,982.85,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 14:50:00,982.85,982.85,982.1,982.1,-0.08,1.4,1382.1,-1
2025-08-04,2025-08-04 15:00:00,982.1,1000.0,982.1,982.1,0.0,1.4,1382.1,0
2025-08-05,2025-08-05 11:00:00,967.6,976.12,967.6,968.53,0.1,8.4,8253.3,1
2025-08-05,2025-08-05 11:10:00,968.53,969.47,968.53,969.47,0.1,8.4,8253.3,1
2025-08-05,2025-08-05 11:20:00,969.47,970.4,969.47,970.4,0.1,8.4,8253.3,1
