published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-06-22,2015-06-22 11:00:00,5100.0,5130.6,5100.0,5104.25,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 11:10:00,5104.25,5108.5,5104.25,5108.5,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 11:20:00,5108.5,5112.75,5108.5,5112.75,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 11:30:00,5112.75,5117.0,5112.75,5117.0,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 11:40:00,5117.0,5121.25,5117.0,5121.25,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 11:50:00,5121.25,5125.5,5121.25,5125.5,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 12:00:00,5125.5,5129.75,5125.5,5129.75,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 12:10:00,5129.75,5134.0,5129.75,5134.0,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 12:20:00,5134.0,5138.25,5134.0,5138.25,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 12:30:00,5138.25,5142.5,5138.25,5142.5,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 12:40:00,5142.5,5146.75,5142.5,5146.75,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 12:50:00,5146.75,5151.0,5146.75,5151.0,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 13:00:00,5151.0,5202.0,5151.0,5155.25,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 13:10:00,5155.25,5159.5,5155.25,5159.5,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 13:20:00,5159.5,5163.75,5159.5,5163.75,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 13:30:00,5163.75,5168.0,5163.75,5168.0,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 13:40:00,5168.0,5172.25,5168.0,5172.25,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 13:50:00,5172.25,5176.5,5172.25,5176.5,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 14:00:00,5176.5,5180.75,5176.5,5180.75,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 14:10:00,5180.75,5185.0,5180.75,5185.0,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 14:20:00,5185.0,5189.25,5185.0,5189.25,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 14:30:00,5189.25,5193.5,5189.25,5193.5,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 14:40:00,5193.5,5197.75,5193.5,5197.75,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 14:50:00,5197.75,5202.0,5197.75,5202.0,0.08,0.44,2288.88,1
2015-06-22,2015-06-22 15:00:00,5202.0,5202.0,5202.0,5202.0,0.0,0.44,2288.88,0
2015-06-23,2015-06-23 11:00:00,5202.0,5202.0,5170.8,5197.67,-0.08,8.56,43638.88,-1
2015-06-23,2015-06-23 11:10:00,5197.67,5197.67,5193.33,5193.33,-0.08,8.56,43638.88,-1
2015-06-23,2015-06-23 11:20:00,5193.33,5193.33,5189.0,5189.0,-0.08,8.56,43638.88,-1
2015-06-23,2015-06-23 11:30:00,5189.0,5189.0,5184.67,5184.67,-0.08,8.56,43638.88,-1
2015-06-23,2015-06-23 11:40:00,5184.67,5184.67,5180.33,5180.33,-0.08,8.56,43638.88,-1
2015-06-23,2015-06-23 11:50:00,5180.33,5180.33,5176.0,5176.0,-0.08,8.56,43638.88,-1
2015-06-23,2015-06-23 12:00:00,5176.0,5176.0,5171.67,5171.67,-0.08,8.56,43638.88,-1
2015-06-23,2015-06-23 12:10:00,5171.67,5171.67,5167.33,5167.33,-0.08,8.56,43638.88,-1
