published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-07-02,2015-07-02 11:00:00,4150.0,4150.0,4148.5,4149.79,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 11:10:00,4149.79,4149.79,4149.58,4149.58,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 11:20:00,4149.58,4149.58,4149.38,4149.38,-0.0,4.0,16580.0,-1
2015-07-02,2015-07-02 11:30:00,4149.38,4149.38,4149.17,4149.17,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 11:40:00,4149.17,4149.17,4148.96,4148.96,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 11:50:00,4148.96,4148.96,4148.75,4148.75,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 12:00:00,4148.75,4148.75,4148.54,4148.54,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 12:10:00,4148.54,4148.54,4148.33,4148.33,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 12:20:00,4148.33,4148.33,4148.12,4148.12,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 12:30:00,4148.12,4148.12,4147.92,4147.92,-0.0,4.0,16580.0,-1
2015-07-02,2015-07-02 12:40:00,4147.92,4147.92,4147.71,4147.71,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 12:50:00,4147.71,4147.71,4147.5,4147.5,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 13:00:00,4147.5,4147.5,4145.0,4147.29,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 13:10:00,4147.29,4147.29,4147.08,4147.08,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 13:20:00,4147.08,4147.08,4146.88,4146.88,-0.0,4.0,16580.0,-1
2015-07-02,2015-07-02 13:30:00,4146.88,4146.88,4146.67,4146.67,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 13:40:00,4146.67,4146.67,4146.46,4146.46,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 13:50:00,4146.46,4146.46,4146.25,4146.25,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 14:00:00,4146.25,4146.25,4146.04,4146.04,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 14:10:00,4146.04,4146.04,4145.83,4145.83,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 14:20:00,4145.83,4145.83,4145.62,4145.62,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 14:30:00,4145.62,4145.62,4145.42,4145.42,-0.0,4.0,16580.0,-1
2015-07-02,2015-07-02 14:40:00,4145.42,4145.42,4145.21,4145.21,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 14:50:00,4145.21,4145.21,4145.0,4145.0,-0.01,4.0,16580.0,-1
2015-07-02,2015-07-02 15:00:00,4145.0,4145.0,4145.0,4145.0,0.0,4.0,16580.0,0
2015-07-30,2015-07-30 11:00:00,4145.0,4145.0,4101.5,4138.96,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 11:10:00,4138.96,4138.96,4132.92,4132.92,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 11:20:00,4132.92,4132.92,4126.88,4126.88,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 11:30:00,4126.88,4126.88,4120.83,4120.83,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 11:40:00,4120.83,4120.83,4114.79,4114.79,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 11:50:00,4114.79,4114.79,4108.75,4108.75,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 12:00:00,4108.75,4108.75,4102.71,4102.71,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 12:10:00,4102.71,4102.71,4096.67,4096.67,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 12:20:00,4096.67,4096.67,4090.62,4090.62,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 12:30:00,4090.62,4090.62,4084.58,4084.58,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 12:40:00,4084.58,4084.58,4078.54,4078.54,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 12:50:00,4078.54,4078.54,4072.5,4072.5,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 13:00:00,4072.5,4072.5,4000.0,4066.46,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 13:10:00,4066.46,4066.46,4060.42,4060.42,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 13:20:00,4060.42,4060.42,4054.38,4054.38,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 13:30:00,4054.38,4054.38,4048.33,4048.33,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 13:40:00,4048.33,4048.33,4042.29,4042.29,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 13:50:00,4042.29,4042.29,4036.25,4036.25,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 14:00:00,4036.25,4036.25,4030.21,4030.21,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 14:10:00,4030.21,4030.21,4024.17,4024.17,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 14:20:00,4024.17,4024.17,4018.12,4018.12,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 14:30:00,4018.12,4018.12,4012.08,4012.08,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 14:40:00,4012.08,4012.08,4006.04,4006.04,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 14:50:00,4006.04,4006.04,4000.0,4000.0,-0.15,25.52,102113.8,-1
2015-07-30,2015-07-30 15:00:00,4000.0,4065.0,4000.0,4000.0,0.0,25.52,102113.8,0
2015-08-03,2015-08-03 11:00:00,4000.0,4000.0,3976.0,3996.67,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 11:10:00,3996.67,3996.67,3993.33,3993.33,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 11:20:00,3993.33,3993.33,3990.0,3990.0,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 11:30:00,3990.0,3990.0,3986.67,3986.67,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 11:40:00,3986.67,3986.67,3983.33,3983.33,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 11:50:00,3983.33,3983.33,3980.0,3980.0,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 12:00:00,3980.0,3980.0,3976.67,3976.67,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 12:10:00,3976.67,3976.67,3973.33,3973.33,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 12:20:00,3973.33,3973.33,3970.0,3970.0,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 12:30:00,3970.0,3970.0,3966.67,3966.67,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 12:40:00,3966.67,3966.67,3963.33,3963.33,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 12:50:00,3963.33,3963.33,3960.0,3960.0,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 13:00:00,3960.0,3960.0,3920.0,3956.67,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 13:10:00,3956.67,3956.67,3953.33,3953.33,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 13:20:00,3953.33,3953.33,3950.0,3950.0,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 13:30:00,3950.0,3950.0,3946.67,3946.67,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 13:40:00,3946.67,3946.67,3943.33,3943.33,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 13:50:00,3943.33,3943.33,3940.0,3940.0,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 14:00:00,3940.0,3940.0,3936.67,3936.67,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 14:10:00,3936.67,3936.67,3933.33,3933.33,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 14:20:00,3933.33,3933.33,3930.0,3930.0,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 14:30:00,3930.0,3930.0,3926.67,3926.67,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 14:40:00,3926.67,3926.67,3923.33,3923.33,-0.09,0.52,2038.4,-1
2015-08-03,2015-08-03 14:50:00,3923.33,3923.33,3920.0,3920.0,-0.08,0.52,2038.4,-1
2015-08-03,2015-08-03 15:00:00,3920.0,3920.0,3920.0,3920.0,0.0,0.52,2038.4,0
2015-08-10,2015-08-10 11:00:00,3920.0,3920.0,3896.6,3916.75,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 11:10:00,3916.75,3916.75,3913.5,3913.5,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 11:20:00,3913.5,3913.5,3910.25,3910.25,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 11:30:00,3910.25,3910.25,3907.0,3907.0,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 11:40:00,3907.0,3907.0,3903.75,3903.75,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 11:50:00,3903.75,3903.75,3900.5,3900.5,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 12:00:00,3900.5,3900.5,3897.25,3897.25,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 12:10:00,3897.25,3897.25,3894.0,3894.0,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 12:20:00,3894.0,3894.0,3890.75,3890.75,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 12:30:00,3890.75,3890.75,3887.5,3887.5,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 12:40:00,3887.5,3887.5,3884.25,3884.25,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 12:50:00,3884.25,3884.25,3881.0,3881.0,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 13:00:00,3881.0,3881.0,3842.0,3877.75,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 13:10:00,3877.75,3877.75,3874.5,3874.5,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 13:20:00,3874.5,3874.5,3871.25,3871.25,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 13:30:00,3871.25,3871.25,3868.0,3868.0,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 13:40:00,3868.0,3868.0,3864.75,3864.75,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 13:50:00,3864.75,3864.75,3861.5,3861.5,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 14:00:00,3861.5,3861.5,3858.25,3858.25,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 14:10:00,3858.25,3858.25,3855.0,3855.0,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 14:20:00,3855.0,3855.0,3851.75,3851.75,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 14:30:00,3851.75,3851.75,3848.5,3848.5,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 14:40:00,3848.5,3848.5,3845.25,3845.25,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 14:50:00,3845.25,3845.25,3842.0,3842.0,-0.08,0.52,1997.84,-1
2015-08-10,2015-08-10 15:00:00,3842.0,3842.0,3842.0,3842.0,0.0,0.52,1997.84,0
2015-08-11,2015-08-11 11:00:00,3842.0,3842.0,3753.2,3829.67,-0.32,37.56,133850.56,-1
2015-08-11,2015-08-11 11:10:00,3829.67,3829.67,3817.33,3817.33,-0.32,37.56,133850.56,-1
2015-08-11,2015-08-11 11:20:00,3817.33,3817.33,3805.0,3805.0,-0.32,37.56,133850.56,-1
2015-08-11,2015-08-11 11:30:00,3805.0,3805.0,3792.67,3792.67,-0.32,37.56,133850.56,-1
2015-08-11,2015-08-11 11:40:00,3792.67,3792.67,3780.33,3780.33,-0.33,37.56,133850.56,-1
