published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-17,2023-09-17 11:00:00,486.6,501.18,486.6,486.64,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:01:00,486.64,486.67,486.64,486.67,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:02:00,486.67,486.71,486.67,486.71,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:03:00,486.71,486.74,486.71,486.74,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:04:00,486.74,486.78,486.74,486.78,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:05:00,486.78,486.81,486.78,486.81,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:06:00,486.81,486.85,486.81,486.85,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:07:00,486.85,486.88,486.85,486.88,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:08:00,486.88,486.92,486.88,486.92,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:09:00,486.92,486.95,486.92,486.95,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:10:00,486.95,486.99,486.95,486.99,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:11:00,486.99,487.02,486.99,487.02,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:12:00,487.02,487.06,487.02,487.06,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:13:00,487.06,487.09,487.06,487.09,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:14:00,487.09,487.12,487.09,487.12,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:15:00,487.12,487.16,487.12,487.16,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:16:00,487.16,487.19,487.16,487.19,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:17:00,487.19,487.23,487.19,487.23,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:18:00,487.23,487.27,487.23,487.27,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:19:00,487.27,487.3,487.27,487.3,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:20:00,487.3,487.34,487.3,487.34,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:21:00,487.34,487.37,487.34,487.37,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:22:00,487.37,487.41,487.37,487.41,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:23:00,487.41,487.44,487.41,487.44,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:24:00,487.44,487.48,487.44,487.48,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:25:00,487.48,487.51,487.48,487.51,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:26:00,487.51,487.55,487.51,487.55,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:27:00,487.55,487.58,487.55,487.58,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:28:00,487.58,487.62,487.58,487.62,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:29:00,487.62,487.65,487.62,487.65,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:30:00,487.65,487.69,487.65,487.69,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:31:00,487.69,487.72,487.69,487.72,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:32:00,487.72,487.75,487.72,487.75,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:33:00,487.75,487.79,487.75,487.79,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:34:00,487.79,487.83,487.79,487.83,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:35:00,487.83,487.86,487.83,487.86,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:36:00,487.86,487.9,487.86,487.9,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:37:00,487.9,487.93,487.9,487.93,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:38:00,487.93,487.97,487.93,487.97,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:39:00,487.97,488.0,487.97,488.0,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:40:00,488.0,488.04,488.0,488.04,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:41:00,488.04,488.07,488.04,488.07,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:42:00,488.07,488.11,488.07,488.11,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:43:00,488.11,488.14,488.11,488.14,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:44:00,488.14,488.18,488.14,488.18,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:45:00,488.18,488.21,488.18,488.21,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:46:00,488.21,488.25,488.21,488.25,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:47:00,488.25,488.28,488.25,488.28,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:48:00,488.28,488.31,488.28,488.31,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:49:00,488.31,488.35,488.31,488.35,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:50:00,488.35,488.38,488.35,488.38,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:51:00,488.38,488.42,488.38,488.42,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:52:00,488.42,488.46,488.42,488.46,0.01,2021.52,1017817.33,1
2023-09-17,2023-09-17 11:53:00,488.46,488.49,488.46,488.49,0.01,2021.52,1017817.33,1
