published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-08-28,2018-08-28 11:00:00,144.0,145.2,143.7,143.96,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 11:10:00,143.96,143.96,143.92,143.92,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 11:20:00,143.92,143.92,143.88,143.88,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 11:30:00,143.88,143.88,143.83,143.83,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 11:40:00,143.83,143.83,143.79,143.79,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 11:50:00,143.79,143.79,143.75,143.75,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 12:00:00,143.75,143.75,143.71,143.71,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 12:10:00,143.71,143.71,143.67,143.67,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 12:20:00,143.67,143.67,143.62,143.62,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 12:30:00,143.62,143.62,143.58,143.58,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 12:40:00,143.58,143.58,143.54,143.54,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 12:50:00,143.54,143.54,143.5,143.5,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 13:00:00,143.5,148.0,143.0,143.46,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 13:10:00,143.46,143.46,143.42,143.42,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 13:20:00,143.42,143.42,143.38,143.38,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 13:30:00,143.38,143.38,143.33,143.33,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 13:40:00,143.33,143.33,143.29,143.29,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 13:50:00,143.29,143.29,143.25,143.25,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 14:00:00,143.25,143.25,143.21,143.21,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 14:10:00,143.21,143.21,143.17,143.17,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 14:20:00,143.17,143.17,143.12,143.12,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 14:30:00,143.12,143.12,143.08,143.08,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 14:40:00,143.08,143.08,143.04,143.04,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 14:50:00,143.04,143.04,143.0,143.0,-0.03,109.6,15881.2,-1
2018-08-28,2018-08-28 15:00:00,143.0,148.0,143.0,143.0,0.0,109.6,15881.2,0
2018-08-29,2018-08-29 11:00:00,143.0,143.3,142.7,142.96,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 11:10:00,142.96,142.96,142.92,142.92,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 11:20:00,142.92,142.92,142.88,142.88,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 11:30:00,142.88,142.88,142.83,142.83,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 11:40:00,142.83,142.83,142.79,142.79,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 11:50:00,142.79,142.79,142.75,142.75,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 12:00:00,142.75,142.75,142.71,142.71,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 12:10:00,142.71,142.71,142.67,142.67,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 12:20:00,142.67,142.67,142.62,142.62,-0.04,75.6,10826.0,-1
2018-08-29,2018-08-29 12:30:00,142.62,142.62,142.58,142.58,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 12:40:00,142.58,142.58,142.54,142.54,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 12:50:00,142.54,142.54,142.5,142.5,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 13:00:00,142.5,144.0,142.0,142.46,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 13:10:00,142.46,142.46,142.42,142.42,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 13:20:00,142.42,142.42,142.38,142.38,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 13:30:00,142.38,142.38,142.33,142.33,-0.04,75.6,10826.0,-1
2018-08-29,2018-08-29 13:40:00,142.33,142.33,142.29,142.29,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 13:50:00,142.29,142.29,142.25,142.25,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 14:00:00,142.25,142.25,142.21,142.21,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 14:10:00,142.21,142.21,142.17,142.17,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 14:20:00,142.17,142.17,142.12,142.12,-0.04,75.6,10826.0,-1
2018-08-29,2018-08-29 14:30:00,142.12,142.12,142.08,142.08,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 14:40:00,142.08,142.08,142.04,142.04,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 14:50:00,142.04,142.04,142.0,142.0,-0.03,75.6,10826.0,-1
2018-08-29,2018-08-29 15:00:00,142.0,144.0,142.0,142.0,0.0,75.6,10826.0,0
