published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-02-16,2026-02-16 11:00:00,300.0,309.0,300.0,300.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:01:00,300.12,300.25,300.12,300.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:02:00,300.25,300.38,300.25,300.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:03:00,300.38,300.5,300.38,300.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:04:00,300.5,300.62,300.5,300.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:05:00,300.62,300.75,300.62,300.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:06:00,300.75,300.88,300.75,300.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:07:00,300.88,301.0,300.88,301.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:08:00,301.0,301.12,301.0,301.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:09:00,301.12,301.25,301.12,301.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:10:00,301.25,301.38,301.25,301.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:11:00,301.38,301.5,301.38,301.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:12:00,301.5,301.62,301.5,301.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:13:00,301.62,301.75,301.62,301.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:14:00,301.75,301.88,301.75,301.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:15:00,301.88,302.0,301.88,302.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:16:00,302.0,302.12,302.0,302.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:17:00,302.12,302.25,302.12,302.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:18:00,302.25,302.38,302.25,302.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:19:00,302.38,302.5,302.38,302.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:20:00,302.5,302.62,302.5,302.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:21:00,302.62,302.75,302.62,302.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:22:00,302.75,302.88,302.75,302.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:23:00,302.88,303.0,302.88,303.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:24:00,303.0,303.12,303.0,303.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:25:00,303.12,303.25,303.12,303.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:26:00,303.25,303.38,303.25,303.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:27:00,303.38,303.5,303.38,303.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:28:00,303.5,303.62,303.5,303.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:29:00,303.62,303.75,303.62,303.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:30:00,303.75,303.88,303.75,303.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:31:00,303.88,304.0,303.88,304.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:32:00,304.0,304.12,304.0,304.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:33:00,304.12,304.25,304.12,304.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:34:00,304.25,304.38,304.25,304.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:35:00,304.38,304.5,304.38,304.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:36:00,304.5,304.62,304.5,304.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:37:00,304.62,304.75,304.62,304.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:38:00,304.75,304.88,304.75,304.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:39:00,304.88,305.0,304.88,305.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:40:00,305.0,305.12,305.0,305.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:41:00,305.12,305.25,305.12,305.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:42:00,305.25,305.38,305.25,305.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:43:00,305.38,305.5,305.38,305.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:44:00,305.5,305.62,305.5,305.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:45:00,305.62,305.75,305.62,305.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:46:00,305.75,305.88,305.75,305.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:47:00,305.88,306.0,305.88,306.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:48:00,306.0,306.12,306.0,306.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:49:00,306.12,306.25,306.12,306.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:50:00,306.25,306.38,306.25,306.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:51:00,306.38,306.5,306.38,306.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:52:00,306.5,306.62,306.5,306.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:53:00,306.62,306.75,306.62,306.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:54:00,306.75,306.88,306.75,306.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:55:00,306.88,307.0,306.88,307.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:56:00,307.0,307.12,307.0,307.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:57:00,307.12,307.25,307.12,307.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:58:00,307.25,307.38,307.25,307.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 11:59:00,307.38,307.5,307.38,307.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:00:00,307.5,307.62,307.5,307.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:01:00,307.62,307.75,307.62,307.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:02:00,307.75,307.88,307.75,307.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:03:00,307.88,308.0,307.88,308.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:04:00,308.0,308.12,308.0,308.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:05:00,308.12,308.25,308.12,308.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:06:00,308.25,308.38,308.25,308.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:07:00,308.38,308.5,308.38,308.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:08:00,308.5,308.62,308.5,308.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:09:00,308.62,308.75,308.62,308.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:10:00,308.75,308.88,308.75,308.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:11:00,308.88,309.0,308.88,309.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:12:00,309.0,309.12,309.0,309.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:13:00,309.12,309.25,309.12,309.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:14:00,309.25,309.38,309.25,309.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:15:00,309.38,309.5,309.38,309.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:16:00,309.5,309.62,309.5,309.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:17:00,309.62,309.75,309.62,309.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:18:00,309.75,309.88,309.75,309.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:19:00,309.88,310.0,309.88,310.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:20:00,310.0,310.12,310.0,310.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:21:00,310.12,310.25,310.12,310.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:22:00,310.25,310.38,310.25,310.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:23:00,310.38,310.5,310.38,310.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:24:00,310.5,310.62,310.5,310.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:25:00,310.62,310.75,310.62,310.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:26:00,310.75,310.88,310.75,310.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:27:00,310.88,311.0,310.88,311.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:28:00,311.0,311.12,311.0,311.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:29:00,311.12,311.25,311.12,311.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:30:00,311.25,311.38,311.25,311.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:31:00,311.38,311.5,311.38,311.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:32:00,311.5,311.62,311.5,311.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:33:00,311.62,311.75,311.62,311.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:34:00,311.75,311.88,311.75,311.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:35:00,311.88,312.0,311.88,312.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:36:00,312.0,312.12,312.0,312.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:37:00,312.12,312.25,312.12,312.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:38:00,312.25,312.38,312.25,312.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:39:00,312.38,312.5,312.38,312.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:40:00,312.5,312.62,312.5,312.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:41:00,312.62,312.75,312.62,312.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:42:00,312.75,312.88,312.75,312.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:43:00,312.88,313.0,312.88,313.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:44:00,313.0,313.12,313.0,313.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:45:00,313.12,313.25,313.12,313.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:46:00,313.25,313.38,313.25,313.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:47:00,313.38,313.5,313.38,313.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:48:00,313.5,313.62,313.5,313.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:49:00,313.62,313.75,313.62,313.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:50:00,313.75,313.88,313.75,313.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:51:00,313.88,314.0,313.88,314.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:52:00,314.0,314.12,314.0,314.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:53:00,314.12,314.25,314.12,314.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:54:00,314.25,314.38,314.25,314.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:55:00,314.38,314.5,314.38,314.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:56:00,314.5,314.62,314.5,314.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:57:00,314.62,314.75,314.62,314.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:58:00,314.75,314.88,314.75,314.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 12:59:00,314.88,315.0,314.88,315.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:00:00,315.0,330.0,300.0,315.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:01:00,315.12,315.25,315.12,315.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:02:00,315.25,315.38,315.25,315.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:03:00,315.38,315.5,315.38,315.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:04:00,315.5,315.62,315.5,315.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:05:00,315.62,315.75,315.62,315.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:06:00,315.75,315.88,315.75,315.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:07:00,315.88,316.0,315.88,316.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:08:00,316.0,316.12,316.0,316.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:09:00,316.12,316.25,316.12,316.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:10:00,316.25,316.38,316.25,316.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:11:00,316.38,316.5,316.38,316.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:12:00,316.5,316.62,316.5,316.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:13:00,316.62,316.75,316.62,316.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:14:00,316.75,316.88,316.75,316.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:15:00,316.88,317.0,316.88,317.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:16:00,317.0,317.12,317.0,317.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:17:00,317.12,317.25,317.12,317.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:18:00,317.25,317.38,317.25,317.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:19:00,317.38,317.5,317.38,317.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:20:00,317.5,317.62,317.5,317.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:21:00,317.62,317.75,317.62,317.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:22:00,317.75,317.88,317.75,317.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:23:00,317.88,318.0,317.88,318.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:24:00,318.0,318.12,318.0,318.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:25:00,318.12,318.25,318.12,318.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:26:00,318.25,318.38,318.25,318.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:27:00,318.38,318.5,318.38,318.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:28:00,318.5,318.62,318.5,318.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:29:00,318.62,318.75,318.62,318.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:30:00,318.75,318.88,318.75,318.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:31:00,318.88,319.0,318.88,319.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:32:00,319.0,319.12,319.0,319.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:33:00,319.12,319.25,319.12,319.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:34:00,319.25,319.38,319.25,319.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:35:00,319.38,319.5,319.38,319.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:36:00,319.5,319.62,319.5,319.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:37:00,319.62,319.75,319.62,319.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:38:00,319.75,319.88,319.75,319.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:39:00,319.88,320.0,319.88,320.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:40:00,320.0,320.12,320.0,320.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:41:00,320.12,320.25,320.12,320.25,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:42:00,320.25,320.38,320.25,320.38,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:43:00,320.38,320.5,320.38,320.5,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:44:00,320.5,320.62,320.5,320.62,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:45:00,320.62,320.75,320.62,320.75,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:46:00,320.75,320.88,320.75,320.88,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:47:00,320.88,321.0,320.88,321.0,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:48:00,321.0,321.12,321.0,321.12,0.04,0.75,241.54,1
2026-02-16,2026-02-16 13:49:00,321.12,321.25,321.12,321.25,0.04,0.75,241.54,1
