published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-09,2025-11-09 11:00:00,319.5,329.07,319.5,319.63,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:01:00,319.63,319.77,319.63,319.77,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:02:00,319.77,319.9,319.77,319.9,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:03:00,319.9,320.03,319.9,320.03,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:04:00,320.03,320.16,320.03,320.16,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:05:00,320.16,320.3,320.16,320.3,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:06:00,320.3,320.43,320.3,320.43,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:07:00,320.43,320.56,320.43,320.56,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:08:00,320.56,320.7,320.56,320.7,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:09:00,320.7,320.83,320.7,320.83,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:10:00,320.83,320.96,320.83,320.96,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:11:00,320.96,321.1,320.96,321.1,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:12:00,321.1,321.23,321.1,321.23,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:13:00,321.23,321.36,321.23,321.36,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:14:00,321.36,321.49,321.36,321.49,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:15:00,321.49,321.63,321.49,321.63,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:16:00,321.63,321.76,321.63,321.76,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:17:00,321.76,321.89,321.76,321.89,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:18:00,321.89,322.03,321.89,322.03,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:19:00,322.03,322.16,322.03,322.16,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:20:00,322.16,322.29,322.16,322.29,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:21:00,322.29,322.42,322.29,322.42,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:22:00,322.42,322.56,322.42,322.56,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:23:00,322.56,322.69,322.56,322.69,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:24:00,322.69,322.82,322.69,322.82,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:25:00,322.82,322.96,322.82,322.96,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:26:00,322.96,323.09,322.96,323.09,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:27:00,323.09,323.22,323.09,323.22,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:28:00,323.22,323.35,323.22,323.35,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:29:00,323.35,323.49,323.35,323.49,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:30:00,323.49,323.62,323.49,323.62,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:31:00,323.62,323.75,323.62,323.75,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:32:00,323.75,323.89,323.75,323.89,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:33:00,323.89,324.02,323.89,324.02,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:34:00,324.02,324.15,324.02,324.15,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:35:00,324.15,324.28,324.15,324.28,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:36:00,324.28,324.42,324.28,324.42,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:37:00,324.42,324.55,324.42,324.55,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:38:00,324.55,324.68,324.55,324.68,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:39:00,324.68,324.82,324.68,324.82,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:40:00,324.82,324.95,324.82,324.95,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:41:00,324.95,325.08,324.95,325.08,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:42:00,325.08,325.22,325.08,325.22,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:43:00,325.22,325.35,325.22,325.35,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:44:00,325.35,325.48,325.35,325.48,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:45:00,325.48,325.61,325.48,325.61,0.04,0.41,139.22,1
2025-11-09,2025-11-09 11:46:00,325.61,325.75,325.61,325.75,0.04,0.41,139.22,1
