published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-08,2021-12-08 11:00:00,622.3,625.81,613.81,621.16,-0.18,1251.56,757165.84,-1
2021-12-08,2021-12-08 11:10:00,621.16,621.16,620.02,620.02,-0.18,1251.56,757165.84,-1
2021-12-08,2021-12-08 11:20:00,620.02,620.02,618.89,618.89,-0.18,1251.56,757165.84,-1
2021-12-08,2021-12-08 11:30:00,618.89,618.89,617.75,617.75,-0.18,1251.56,757165.84,-1
2021-12-08,2021-12-08 11:40:00,617.75,617.75,616.61,616.61,-0.18,1251.56,757165.84,-1
2021-12-08,2021-12-08 11:50:00,616.61,616.61,615.47,615.47,-0.18,1251.56,757165.84,-1
2021-12-08,2021-12-08 12:00:00,615.47,615.47,614.34,614.34,-0.18,1251.56,757165.84,-1
2021-12-08,2021-12-08 12:10:00,614.34,614.34,613.2,613.2,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 12:20:00,613.2,613.2,612.06,612.06,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 12:30:00,612.06,612.06,610.92,610.92,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 12:40:00,610.92,610.92,609.79,609.79,-0.18,1251.56,757165.84,-1
2021-12-08,2021-12-08 12:50:00,609.79,609.79,608.65,608.65,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 13:00:00,608.65,634.0,594.0,607.51,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 13:10:00,607.51,607.51,606.38,606.38,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 13:20:00,606.38,606.38,605.24,605.24,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 13:30:00,605.24,605.24,604.1,604.1,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 13:40:00,604.1,604.1,602.96,602.96,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 13:50:00,602.96,602.96,601.83,601.83,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 14:00:00,601.83,601.83,600.69,600.69,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 14:10:00,600.69,600.69,599.55,599.55,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 14:20:00,599.55,599.55,598.41,598.41,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 14:30:00,598.41,598.41,597.27,597.27,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 14:40:00,597.27,597.27,596.14,596.14,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 14:50:00,596.14,596.14,595.0,595.0,-0.19,1251.56,757165.84,-1
2021-12-08,2021-12-08 15:00:00,595.0,634.0,594.0,595.0,0.0,1251.56,757165.84,0
2021-12-09,2021-12-09 11:00:00,595.0,602.2,588.1,594.42,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 11:10:00,594.42,594.42,593.83,593.83,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 11:20:00,593.83,593.83,593.25,593.25,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 11:30:00,593.25,593.25,592.67,592.67,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 11:40:00,592.67,592.67,592.08,592.08,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 11:50:00,592.08,592.08,591.5,591.5,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 12:00:00,591.5,591.5,590.92,590.92,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 12:10:00,590.92,590.92,590.33,590.33,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 12:20:00,590.33,590.33,589.75,589.75,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 12:30:00,589.75,589.75,589.17,589.17,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 12:40:00,589.17,589.17,588.58,588.58,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 12:50:00,588.58,588.58,588.0,588.0,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 13:00:00,588.0,619.0,572.0,587.42,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 13:10:00,587.42,587.42,586.83,586.83,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 13:20:00,586.83,586.83,586.25,586.25,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 13:30:00,586.25,586.25,585.67,585.67,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 13:40:00,585.67,585.67,585.08,585.08,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 13:50:00,585.08,585.08,584.5,584.5,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 14:00:00,584.5,584.5,583.92,583.92,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 14:10:00,583.92,583.92,583.33,583.33,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 14:20:00,583.33,583.33,582.75,582.75,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 14:30:00,582.75,582.75,582.17,582.17,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 14:40:00,582.17,582.17,581.58,581.58,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 14:50:00,581.58,581.58,581.0,581.0,-0.1,1765.0,1028016.92,-1
2021-12-09,2021-12-09 15:00:00,581.0,619.0,572.0,581.0,0.0,1765.0,1028016.92,0
2021-12-12,2021-12-12 11:00:00,570.1,574.45,562.57,569.05,-0.18,1570.6,879924.49,-1
2021-12-12,2021-12-12 11:10:00,569.05,569.05,568.01,568.01,-0.18,1570.6,879924.49,-1
2021-12-12,2021-12-12 11:20:00,568.01,568.01,566.96,566.96,-0.18,1570.6,879924.49,-1
2021-12-12,2021-12-12 11:30:00,566.96,566.96,565.92,565.92,-0.18,1570.6,879924.49,-1
2021-12-12,2021-12-12 11:40:00,565.92,565.92,564.87,564.87,-0.19,1570.6,879924.49,-1
2021-12-12,2021-12-12 11:50:00,564.87,564.87,563.83,563.83,-0.18,1570.6,879924.49,-1
2021-12-12,2021-12-12 12:00:00,563.83,563.83,562.78,562.78,-0.19,1570.6,879924.49,-1
2021-12-12,2021-12-12 12:10:00,562.78,562.78,561.73,561.73,-0.19,1570.6,879924.49,-1
2021-12-12,2021-12-12 12:20:00,561.73,561.73,560.69,560.69,-0.19,1570.6,879924.49,-1
