published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-24,2025-11-24 11:00:00,301.7,310.73,301.7,302.95,0.41,10.0,3270.2,1
2025-11-24,2025-11-24 11:10:00,302.95,304.21,302.95,304.21,0.42,10.0,3270.2,1
2025-11-24,2025-11-24 11:20:00,304.21,305.46,304.21,305.46,0.41,10.0,3270.2,1
2025-11-24,2025-11-24 11:30:00,305.46,306.72,305.46,306.72,0.41,10.0,3270.2,1
2025-11-24,2025-11-24 11:40:00,306.72,307.97,306.72,307.97,0.41,10.0,3270.2,1
2025-11-24,2025-11-24 11:50:00,307.97,309.23,307.97,309.23,0.41,10.0,3270.2,1
2025-11-24,2025-11-24 12:00:00,309.23,310.48,309.23,310.48,0.4,10.0,3270.2,1
2025-11-24,2025-11-24 12:10:00,310.48,311.73,310.48,311.73,0.4,10.0,3270.2,1
2025-11-24,2025-11-24 12:20:00,311.73,312.99,311.73,312.99,0.4,10.0,3270.2,1
2025-11-24,2025-11-24 12:30:00,312.99,314.24,312.99,314.24,0.4,10.0,3270.2,1
2025-11-24,2025-11-24 12:40:00,314.24,315.5,314.24,315.5,0.4,10.0,3270.2,1
2025-11-24,2025-11-24 12:50:00,315.5,316.75,315.5,316.75,0.4,10.0,3270.2,1
2025-11-24,2025-11-24 13:00:00,316.75,331.8,301.7,318.0,0.39,10.0,3270.2,1
2025-11-24,2025-11-24 13:10:00,318.0,319.26,318.0,319.26,0.4,10.0,3270.2,1
2025-11-24,2025-11-24 13:20:00,319.26,320.51,319.26,320.51,0.39,10.0,3270.2,1
2025-11-24,2025-11-24 13:30:00,320.51,321.77,320.51,321.77,0.39,10.0,3270.2,1
2025-11-24,2025-11-24 13:40:00,321.77,323.02,321.77,323.02,0.39,10.0,3270.2,1
2025-11-24,2025-11-24 13:50:00,323.02,324.27,323.02,324.27,0.39,10.0,3270.2,1
2025-11-24,2025-11-24 14:00:00,324.27,325.53,324.27,325.53,0.39,10.0,3270.2,1
2025-11-24,2025-11-24 14:10:00,325.53,326.78,325.53,326.78,0.38,10.0,3270.2,1
2025-11-24,2025-11-24 14:20:00,326.78,328.04,326.78,328.04,0.39,10.0,3270.2,1
2025-11-24,2025-11-24 14:30:00,328.04,329.29,328.04,329.29,0.38,10.0,3270.2,1
2025-11-24,2025-11-24 14:40:00,329.29,330.55,329.29,330.55,0.38,10.0,3270.2,1
2025-11-24,2025-11-24 14:50:00,330.55,331.8,330.55,331.8,0.38,10.0,3270.2,1
2025-11-24,2025-11-24 15:00:00,331.8,331.8,301.7,331.8,0.0,10.0,3270.2,0
2025-11-25,2025-11-25 11:00:00,328.7,339.56,328.7,330.21,0.46,12.0,4332.16,1
2025-11-25,2025-11-25 11:10:00,330.21,331.72,330.21,331.72,0.46,12.0,4332.16,1
2025-11-25,2025-11-25 11:20:00,331.72,333.22,331.72,333.22,0.45,12.0,4332.16,1
2025-11-25,2025-11-25 11:30:00,333.22,334.73,333.22,334.73,0.45,12.0,4332.16,1
2025-11-25,2025-11-25 11:40:00,334.73,336.24,334.73,336.24,0.45,12.0,4332.16,1
2025-11-25,2025-11-25 11:50:00,336.24,337.75,336.24,337.75,0.45,12.0,4332.16,1
2025-11-25,2025-11-25 12:00:00,337.75,339.26,337.75,339.26,0.45,12.0,4332.16,1
2025-11-25,2025-11-25 12:10:00,339.26,340.77,339.26,340.77,0.45,12.0,4332.16,1
2025-11-25,2025-11-25 12:20:00,340.77,342.27,340.77,342.27,0.44,12.0,4332.16,1
2025-11-25,2025-11-25 12:30:00,342.27,343.78,342.27,343.78,0.44,12.0,4332.16,1
2025-11-25,2025-11-25 12:40:00,343.78,345.29,343.78,345.29,0.44,12.0,4332.16,1
2025-11-25,2025-11-25 12:50:00,345.29,346.8,345.29,346.8,0.44,12.0,4332.16,1
2025-11-25,2025-11-25 13:00:00,346.8,364.9,328.7,348.31,0.44,12.0,4332.16,1
2025-11-25,2025-11-25 13:10:00,348.31,349.82,348.31,349.82,0.43,12.0,4332.16,1
2025-11-25,2025-11-25 13:20:00,349.82,351.32,349.82,351.32,0.43,12.0,4332.16,1
2025-11-25,2025-11-25 13:30:00,351.32,352.83,351.32,352.83,0.43,12.0,4332.16,1
2025-11-25,2025-11-25 13:40:00,352.83,354.34,352.83,354.34,0.43,12.0,4332.16,1
2025-11-25,2025-11-25 13:50:00,354.34,355.85,354.34,355.85,0.43,12.0,4332.16,1
2025-11-25,2025-11-25 14:00:00,355.85,357.36,355.85,357.36,0.42,12.0,4332.16,1
2025-11-25,2025-11-25 14:10:00,357.36,358.87,357.36,358.87,0.42,12.0,4332.16,1
2025-11-25,2025-11-25 14:20:00,358.87,360.38,358.87,360.38,0.42,12.0,4332.16,1
2025-11-25,2025-11-25 14:30:00,360.38,361.88,360.38,361.88,0.42,12.0,4332.16,1
