published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-05-15,2023-05-15 11:00:00,611.1,611.1,593.97,608.99,-0.35,2136.68,1195022.06,-1
2023-05-15,2023-05-15 11:10:00,608.99,608.99,606.88,606.88,-0.35,2136.68,1195022.06,-1
2023-05-15,2023-05-15 11:20:00,606.88,606.88,604.77,604.77,-0.35,2136.68,1195022.06,-1
2023-05-15,2023-05-15 11:30:00,604.77,604.77,602.67,602.67,-0.35,2136.68,1195022.06,-1
2023-05-15,2023-05-15 11:40:00,602.67,602.67,600.56,600.56,-0.35,2136.68,1195022.06,-1
2023-05-15,2023-05-15 11:50:00,600.56,600.56,598.45,598.45,-0.35,2136.68,1195022.06,-1
2023-05-15,2023-05-15 12:00:00,598.45,598.45,596.34,596.34,-0.35,2136.68,1195022.06,-1
2023-05-15,2023-05-15 12:10:00,596.34,596.34,594.23,594.23,-0.35,2136.68,1195022.06,-1
2023-05-15,2023-05-15 12:20:00,594.23,594.23,592.12,592.12,-0.36,2136.68,1195022.06,-1
2023-05-15,2023-05-15 12:30:00,592.12,592.12,590.02,590.02,-0.35,2136.68,1195022.06,-1
2023-05-15,2023-05-15 12:40:00,590.02,590.02,587.91,587.91,-0.36,2136.68,1195022.06,-1
2023-05-15,2023-05-15 12:50:00,587.91,587.91,585.8,585.8,-0.36,2136.68,1195022.06,-1
2023-05-15,2023-05-15 13:00:00,585.8,611.1,554.0,583.69,-0.36,2136.68,1195022.06,-1
2023-05-15,2023-05-15 13:10:00,583.69,583.69,581.58,581.58,-0.36,2136.68,1195022.06,-1
2023-05-15,2023-05-15 13:20:00,581.58,581.58,579.48,579.48,-0.36,2136.68,1195022.06,-1
2023-05-15,2023-05-15 13:30:00,579.48,579.48,577.37,577.37,-0.36,2136.68,1195022.06,-1
2023-05-15,2023-05-15 13:40:00,577.37,577.37,575.26,575.26,-0.37,2136.68,1195022.06,-1
2023-05-15,2023-05-15 13:50:00,575.26,575.26,573.15,573.15,-0.37,2136.68,1195022.06,-1
2023-05-15,2023-05-15 14:00:00,573.15,573.15,571.04,571.04,-0.37,2136.68,1195022.06,-1
2023-05-15,2023-05-15 14:10:00,571.04,571.04,568.93,568.93,-0.37,2136.68,1195022.06,-1
2023-05-15,2023-05-15 14:20:00,568.93,568.93,566.83,566.83,-0.37,2136.68,1195022.06,-1
2023-05-15,2023-05-15 14:30:00,566.83,566.83,564.72,564.72,-0.37,2136.68,1195022.06,-1
2023-05-15,2023-05-15 14:40:00,564.72,564.72,562.61,562.61,-0.37,2136.68,1195022.06,-1
2023-05-15,2023-05-15 14:50:00,562.61,562.61,560.5,560.5,-0.38,2136.68,1195022.06,-1
2023-05-15,2023-05-15 15:00:00,560.5,611.1,554.0,560.5,0.0,2136.68,1195022.06,0
2023-05-16,2023-05-16 11:00:00,558.0,559.8,556.02,558.03,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 11:10:00,558.03,558.07,558.03,558.07,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 11:20:00,558.07,558.1,558.07,558.1,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 11:30:00,558.1,558.13,558.1,558.13,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 11:40:00,558.13,558.17,558.13,558.17,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 11:50:00,558.17,558.2,558.17,558.2,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 12:00:00,558.2,558.23,558.2,558.23,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 12:10:00,558.23,558.27,558.23,558.27,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 12:20:00,558.27,558.3,558.27,558.3,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 12:30:00,558.3,558.33,558.3,558.33,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 12:40:00,558.33,558.37,558.33,558.37,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 12:50:00,558.37,558.4,558.37,558.4,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 13:00:00,558.4,564.0,551.4,558.43,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 13:10:00,558.43,558.47,558.43,558.47,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 13:20:00,558.47,558.5,558.47,558.5,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 13:30:00,558.5,558.53,558.5,558.53,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 13:40:00,558.53,558.57,558.53,558.57,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 13:50:00,558.57,558.6,558.57,558.6,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 14:00:00,558.6,558.63,558.6,558.63,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 14:10:00,558.63,558.67,558.63,558.67,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 14:20:00,558.67,558.7,558.67,558.7,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 14:30:00,558.7,558.73,558.7,558.73,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 14:40:00,558.73,558.77,558.73,558.77,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 14:50:00,558.77,558.8,558.77,558.8,0.01,570.32,317899.46,1
2023-05-16,2023-05-16 15:00:00,558.8,564.0,551.4,558.8,0.0,570.32,317899.46,0
2023-05-17,2023-05-17 11:00:00,560.0,567.2,560.0,561.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 11:10:00,561.0,562.0,561.0,562.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 11:20:00,562.0,563.0,562.0,563.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 11:30:00,563.0,564.0,563.0,564.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 11:40:00,564.0,565.0,564.0,565.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 11:50:00,565.0,566.0,565.0,566.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 12:00:00,566.0,567.0,566.0,567.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 12:10:00,567.0,568.0,567.0,568.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 12:20:00,568.0,569.0,568.0,569.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 12:30:00,569.0,570.0,569.0,570.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 12:40:00,570.0,571.0,570.0,571.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 12:50:00,571.0,572.0,571.0,572.0,0.18,775.24,444089.66,1
2023-05-17,2023-05-17 13:00:00,572.0,584.0,560.0,573.0,0.17,775.24,444089.66,1
2023-05-17,2023-05-17 13:10:00,573.0,574.0,573.0,574.0,0.17,775.24,444089.66,1
2023-05-17,2023-05-17 13:20:00,574.0,575.0,574.0,575.0,0.17,775.24,444089.66,1
2023-05-17,2023-05-17 13:30:00,575.0,576.0,575.0,576.0,0.17,775.24,444089.66,1
2023-05-17,2023-05-17 13:40:00,576.0,577.0,576.0,577.0,0.17,775.24,444089.66,1
2023-05-17,2023-05-17 13:50:00,577.0,578.0,577.0,578.0,0.17,775.24,444089.66,1
2023-05-17,2023-05-17 14:00:00,578.0,579.0,578.0,579.0,0.17,775.24,444089.66,1
2023-05-17,2023-05-17 14:10:00,579.0,580.0,579.0,580.0,0.17,775.24,444089.66,1
