published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-04-12,2012-04-12 11:00:00,146.0,150.2,146.0,146.58,0.4,509.6,77756.6,1
2012-04-12,2012-04-12 11:10:00,146.58,147.17,146.58,147.17,0.4,509.6,77756.6,1
2012-04-12,2012-04-12 11:20:00,147.17,147.75,147.17,147.75,0.39,509.6,77756.6,1
2012-04-12,2012-04-12 11:30:00,147.75,148.33,147.75,148.33,0.39,509.6,77756.6,1
2012-04-12,2012-04-12 11:40:00,148.33,148.92,148.33,148.92,0.4,509.6,77756.6,1
2012-04-12,2012-04-12 11:50:00,148.92,149.5,148.92,149.5,0.39,509.6,77756.6,1
2012-04-12,2012-04-12 12:00:00,149.5,150.08,149.5,150.08,0.39,509.6,77756.6,1
2012-04-12,2012-04-12 12:10:00,150.08,150.67,150.08,150.67,0.39,509.6,77756.6,1
2012-04-12,2012-04-12 12:20:00,150.67,151.25,150.67,151.25,0.38,509.6,77756.6,1
2012-04-12,2012-04-12 12:30:00,151.25,151.83,151.25,151.83,0.38,509.6,77756.6,1
2012-04-12,2012-04-12 12:40:00,151.83,152.42,151.83,152.42,0.39,509.6,77756.6,1
2012-04-12,2012-04-12 12:50:00,152.42,153.0,152.42,153.0,0.38,509.6,77756.6,1
2012-04-12,2012-04-12 13:00:00,153.0,160.0,148.0,153.58,0.38,509.6,77756.6,1
2012-04-12,2012-04-12 13:10:00,153.58,154.17,153.58,154.17,0.38,509.6,77756.6,1
2012-04-12,2012-04-12 13:20:00,154.17,154.75,154.17,154.75,0.38,509.6,77756.6,1
2012-04-12,2012-04-12 13:30:00,154.75,155.33,154.75,155.33,0.37,509.6,77756.6,1
2012-04-12,2012-04-12 13:40:00,155.33,155.92,155.33,155.92,0.38,509.6,77756.6,1
2012-04-12,2012-04-12 13:50:00,155.92,156.5,155.92,156.5,0.37,509.6,77756.6,1
2012-04-12,2012-04-12 14:00:00,156.5,157.08,156.5,157.08,0.37,509.6,77756.6,1
2012-04-12,2012-04-12 14:10:00,157.08,157.67,157.08,157.67,0.38,509.6,77756.6,1
2012-04-12,2012-04-12 14:20:00,157.67,158.25,157.67,158.25,0.37,509.6,77756.6,1
2012-04-12,2012-04-12 14:30:00,158.25,158.83,158.25,158.83,0.37,509.6,77756.6,1
2012-04-12,2012-04-12 14:40:00,158.83,159.42,158.83,159.42,0.37,509.6,77756.6,1
2012-04-12,2012-04-12 14:50:00,159.42,160.0,159.42,160.0,0.36,509.6,77756.6,1
2012-04-12,2012-04-12 15:00:00,160.0,160.0,148.0,160.0,0.0,509.6,77756.6,0
2012-04-15,2012-04-15 11:00:00,160.0,164.8,160.0,160.67,0.42,262.96,46100.16,1
2012-04-15,2012-04-15 11:10:00,160.67,161.33,160.67,161.33,0.41,262.96,46100.16,1
2012-04-15,2012-04-15 11:20:00,161.33,162.0,161.33,162.0,0.42,262.96,46100.16,1
2012-04-15,2012-04-15 11:30:00,162.0,162.67,162.0,162.67,0.41,262.96,46100.16,1
2012-04-15,2012-04-15 11:40:00,162.67,163.33,162.67,163.33,0.41,262.96,46100.16,1
2012-04-15,2012-04-15 11:50:00,163.33,164.0,163.33,164.0,0.41,262.96,46100.16,1
2012-04-15,2012-04-15 12:00:00,164.0,164.67,164.0,164.67,0.41,262.96,46100.16,1
2012-04-15,2012-04-15 12:10:00,164.67,165.33,164.67,165.33,0.4,262.96,46100.16,1
2012-04-15,2012-04-15 12:20:00,165.33,166.0,165.33,166.0,0.41,262.96,46100.16,1
2012-04-15,2012-04-15 12:30:00,166.0,166.67,166.0,166.67,0.4,262.96,46100.16,1
2012-04-15,2012-04-15 12:40:00,166.67,167.33,166.67,167.33,0.4,262.96,46100.16,1
2012-04-15,2012-04-15 12:50:00,167.33,168.0,167.33,168.0,0.4,262.96,46100.16,1
2012-04-15,2012-04-15 13:00:00,168.0,176.0,163.0,168.67,0.4,262.96,46100.16,1
2012-04-15,2012-04-15 13:10:00,168.67,169.33,168.67,169.33,0.39,262.96,46100.16,1
2012-04-15,2012-04-15 13:20:00,169.33,170.0,169.33,170.0,0.4,262.96,46100.16,1
2012-04-15,2012-04-15 13:30:00,170.0,170.67,170.0,170.67,0.39,262.96,46100.16,1
2012-04-15,2012-04-15 13:40:00,170.67,171.33,170.67,171.33,0.39,262.96,46100.16,1
2012-04-15,2012-04-15 13:50:00,171.33,172.0,171.33,172.0,0.39,262.96,46100.16,1
2012-04-15,2012-04-15 14:00:00,172.0,172.67,172.0,172.67,0.39,262.96,46100.16,1
2012-04-15,2012-04-15 14:10:00,172.67,173.33,172.67,173.33,0.38,262.96,46100.16,1
2012-04-15,2012-04-15 14:20:00,173.33,174.0,173.33,174.0,0.39,262.96,46100.16,1
2012-04-15,2012-04-15 14:30:00,174.0,174.67,174.0,174.67,0.39,262.96,46100.16,1
2012-04-15,2012-04-15 14:40:00,174.67,175.33,174.67,175.33,0.38,262.96,46100.16,1
