published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-07-20,2025-07-20 11:00:00,359.0,369.77,359.0,360.5,0.42,14.0,5457.16,1
2025-07-20,2025-07-20 11:10:00,360.5,361.99,360.5,361.99,0.41,14.0,5457.16,1
2025-07-20,2025-07-20 11:20:00,361.99,363.49,361.99,363.49,0.41,14.0,5457.16,1
2025-07-20,2025-07-20 11:30:00,363.49,364.98,363.49,364.98,0.41,14.0,5457.16,1
2025-07-20,2025-07-20 11:40:00,364.98,366.48,364.98,366.48,0.41,14.0,5457.16,1
2025-07-20,2025-07-20 11:50:00,366.48,367.98,366.48,367.98,0.41,14.0,5457.16,1
2025-07-20,2025-07-20 12:00:00,367.98,369.47,367.98,369.47,0.4,14.0,5457.16,1
2025-07-20,2025-07-20 12:10:00,369.47,370.97,369.47,370.97,0.41,14.0,5457.16,1
2025-07-20,2025-07-20 12:20:00,370.97,372.46,370.97,372.46,0.4,14.0,5457.16,1
2025-07-20,2025-07-20 12:30:00,372.46,373.96,372.46,373.96,0.4,14.0,5457.16,1
2025-07-20,2025-07-20 12:40:00,373.96,375.45,373.96,375.45,0.4,14.0,5457.16,1
2025-07-20,2025-07-20 12:50:00,375.45,376.95,375.45,376.95,0.4,14.0,5457.16,1
2025-07-20,2025-07-20 13:00:00,376.95,394.9,359.0,378.45,0.4,14.0,5457.16,1
2025-07-20,2025-07-20 13:10:00,378.45,379.94,378.45,379.94,0.39,14.0,5457.16,1
2025-07-20,2025-07-20 13:20:00,379.94,381.44,379.94,381.44,0.39,14.0,5457.16,1
2025-07-20,2025-07-20 13:30:00,381.44,382.93,381.44,382.93,0.39,14.0,5457.16,1
2025-07-20,2025-07-20 13:40:00,382.93,384.43,382.93,384.43,0.39,14.0,5457.16,1
2025-07-20,2025-07-20 13:50:00,384.43,385.92,384.43,385.92,0.39,14.0,5457.16,1
2025-07-20,2025-07-20 14:00:00,385.92,387.42,385.92,387.42,0.39,14.0,5457.16,1
2025-07-20,2025-07-20 14:10:00,387.42,388.92,387.42,388.92,0.39,14.0,5457.16,1
2025-07-20,2025-07-20 14:20:00,388.92,390.41,388.92,390.41,0.38,14.0,5457.16,1
2025-07-20,2025-07-20 14:30:00,390.41,391.91,390.41,391.91,0.38,14.0,5457.16,1
2025-07-20,2025-07-20 14:40:00,391.91,393.4,391.91,393.4,0.38,14.0,5457.16,1
2025-07-20,2025-07-20 14:50:00,393.4,394.9,393.4,394.9,0.38,14.0,5457.16,1
2025-07-20,2025-07-20 15:00:00,394.9,394.9,359.0,394.9,0.0,14.0,5457.16,0
2025-07-21,2025-07-21 11:00:00,388.7,402.38,388.7,390.6,0.49,18.0,7740.32,1
2025-07-21,2025-07-21 11:10:00,390.6,392.5,390.6,392.5,0.49,18.0,7740.32,1
2025-07-21,2025-07-21 11:20:00,392.5,394.4,392.5,394.4,0.48,18.0,7740.32,1
2025-07-21,2025-07-21 11:30:00,394.4,396.3,394.4,396.3,0.48,18.0,7740.32,1
2025-07-21,2025-07-21 11:40:00,396.3,398.2,396.3,398.2,0.48,18.0,7740.32,1
2025-07-21,2025-07-21 11:50:00,398.2,400.1,398.2,400.1,0.48,18.0,7740.32,1
2025-07-21,2025-07-21 12:00:00,400.1,402.0,400.1,402.0,0.47,18.0,7740.32,1
2025-07-21,2025-07-21 12:10:00,402.0,403.9,402.0,403.9,0.47,18.0,7740.32,1
2025-07-21,2025-07-21 12:20:00,403.9,405.8,403.9,405.8,0.47,18.0,7740.32,1
2025-07-21,2025-07-21 12:30:00,405.8,407.7,405.8,407.7,0.47,18.0,7740.32,1
2025-07-21,2025-07-21 12:40:00,407.7,409.6,407.7,409.6,0.47,18.0,7740.32,1
2025-07-21,2025-07-21 12:50:00,409.6,411.5,409.6,411.5,0.46,18.0,7740.32,1
2025-07-21,2025-07-21 13:00:00,411.5,434.3,388.7,413.4,0.46,18.0,7740.32,1
2025-07-21,2025-07-21 13:10:00,413.4,415.3,413.4,415.3,0.46,18.0,7740.32,1
2025-07-21,2025-07-21 13:20:00,415.3,417.2,415.3,417.2,0.46,18.0,7740.32,1
2025-07-21,2025-07-21 13:30:00,417.2,419.1,417.2,419.1,0.46,18.0,7740.32,1
2025-07-21,2025-07-21 13:40:00,419.1,421.0,419.1,421.0,0.45,18.0,7740.32,1
2025-07-21,2025-07-21 13:50:00,421.0,422.9,421.0,422.9,0.45,18.0,7740.32,1
2025-07-21,2025-07-21 14:00:00,422.9,424.8,422.9,424.8,0.45,18.0,7740.32,1
2025-07-21,2025-07-21 14:10:00,424.8,426.7,424.8,426.7,0.45,18.0,7740.32,1
2025-07-21,2025-07-21 14:20:00,426.7,428.6,426.7,428.6,0.45,18.0,7740.32,1
2025-07-21,2025-07-21 14:30:00,428.6,430.5,428.6,430.5,0.44,18.0,7740.32,1
2025-07-21,2025-07-21 14:40:00,430.5,432.4,430.5,432.4,0.44,18.0,7740.32,1
2025-07-21,2025-07-21 14:50:00,432.4,434.3,432.4,434.3,0.44,18.0,7740.32,1
2025-07-21,2025-07-21 15:00:00,434.3,434.3,388.7,434.3,0.0,18.0,7740.32,0
2025-07-22,2025-07-22 11:00:00,442.9,453.34,442.9,444.35,0.33,20.0,9519.76,1
2025-07-22,2025-07-22 11:10:00,444.35,445.8,444.35,445.8,0.33,20.0,9519.76,1
2025-07-22,2025-07-22 11:20:00,445.8,447.25,445.8,447.25,0.33,20.0,9519.76,1
2025-07-22,2025-07-22 11:30:00,447.25,448.7,447.25,448.7,0.32,20.0,9519.76,1
