published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-13,2026-08-13 11:00:00,300.0,313.5,300.0,300.19,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:01:00,300.19,300.38,300.19,300.38,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:02:00,300.38,300.56,300.38,300.56,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:03:00,300.56,300.75,300.56,300.75,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:04:00,300.75,300.94,300.75,300.94,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:05:00,300.94,301.12,300.94,301.12,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:06:00,301.12,301.31,301.12,301.31,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:07:00,301.31,301.5,301.31,301.5,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:08:00,301.5,301.69,301.5,301.69,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:09:00,301.69,301.88,301.69,301.88,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:10:00,301.88,302.06,301.88,302.06,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:11:00,302.06,302.25,302.06,302.25,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:12:00,302.25,302.44,302.25,302.44,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:13:00,302.44,302.62,302.44,302.62,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:14:00,302.62,302.81,302.62,302.81,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:15:00,302.81,303.0,302.81,303.0,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:16:00,303.0,303.19,303.0,303.19,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:17:00,303.19,303.38,303.19,303.38,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:18:00,303.38,303.56,303.38,303.56,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:19:00,303.56,303.75,303.56,303.75,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:20:00,303.75,303.94,303.75,303.94,0.06,0.29,94.71,1
2026-08-13,2026-08-13 11:21:00,303.94,304.12,303.94,304.12,0.06,0.29,94.71,1
