published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-03-19,2024-03-19 11:00:00,556.0,572.68,556.0,558.32,0.42,97.68,59178.72,1
2024-03-19,2024-03-19 11:10:00,558.32,560.63,558.32,560.63,0.41,97.68,59178.72,1
2024-03-19,2024-03-19 11:20:00,560.63,562.95,560.63,562.95,0.41,97.68,59178.72,1
2024-03-19,2024-03-19 11:30:00,562.95,565.27,562.95,565.27,0.41,97.68,59178.72,1
2024-03-19,2024-03-19 11:40:00,565.27,567.58,565.27,567.58,0.41,97.68,59178.72,1
2024-03-19,2024-03-19 11:50:00,567.58,569.9,567.58,569.9,0.41,97.68,59178.72,1
2024-03-19,2024-03-19 12:00:00,569.9,572.22,569.9,572.22,0.41,97.68,59178.72,1
2024-03-19,2024-03-19 12:10:00,572.22,574.53,572.22,574.53,0.4,97.68,59178.72,1
2024-03-19,2024-03-19 12:20:00,574.53,576.85,574.53,576.85,0.4,97.68,59178.72,1
2024-03-19,2024-03-19 12:30:00,576.85,579.17,576.85,579.17,0.4,97.68,59178.72,1
2024-03-19,2024-03-19 12:40:00,579.17,581.48,579.17,581.48,0.4,97.68,59178.72,1
2024-03-19,2024-03-19 12:50:00,581.48,583.8,581.48,583.8,0.4,97.68,59178.72,1
2024-03-19,2024-03-19 13:00:00,583.8,611.6,556.0,586.12,0.4,97.68,59178.72,1
2024-03-19,2024-03-19 13:10:00,586.12,588.43,586.12,588.43,0.39,97.68,59178.72,1
2024-03-19,2024-03-19 13:20:00,588.43,590.75,588.43,590.75,0.39,97.68,59178.72,1
2024-03-19,2024-03-19 13:30:00,590.75,593.07,590.75,593.07,0.39,97.68,59178.72,1
2024-03-19,2024-03-19 13:40:00,593.07,595.38,593.07,595.38,0.39,97.68,59178.72,1
2024-03-19,2024-03-19 13:50:00,595.38,597.7,595.38,597.7,0.39,97.68,59178.72,1
2024-03-19,2024-03-19 14:00:00,597.7,600.02,597.7,600.02,0.39,97.68,59178.72,1
2024-03-19,2024-03-19 14:10:00,600.02,602.33,600.02,602.33,0.38,97.68,59178.72,1
2024-03-19,2024-03-19 14:20:00,602.33,604.65,602.33,604.65,0.39,97.68,59178.72,1
2024-03-19,2024-03-19 14:30:00,604.65,606.97,604.65,606.97,0.38,97.68,59178.72,1
2024-03-19,2024-03-19 14:40:00,606.97,609.28,606.97,609.28,0.38,97.68,59178.72,1
2024-03-19,2024-03-19 14:50:00,609.28,611.6,609.28,611.6,0.38,97.68,59178.72,1
2024-03-19,2024-03-19 15:00:00,611.6,611.6,556.0,611.6,0.0,97.68,59178.72,0
2024-03-20,2024-03-20 11:00:00,619.7,635.6,619.7,621.91,0.36,90.24,60503.07,1
2024-03-20,2024-03-20 11:10:00,621.91,624.12,621.91,624.12,0.36,90.24,60503.07,1
2024-03-20,2024-03-20 11:20:00,624.12,626.33,624.12,626.33,0.35,90.24,60503.07,1
2024-03-20,2024-03-20 11:30:00,626.33,628.53,626.33,628.53,0.35,90.24,60503.07,1
2024-03-20,2024-03-20 11:40:00,628.53,630.74,628.53,630.74,0.35,90.24,60503.07,1
2024-03-20,2024-03-20 11:50:00,630.74,632.95,630.74,632.95,0.35,90.24,60503.07,1
2024-03-20,2024-03-20 12:00:00,632.95,635.16,632.95,635.16,0.35,90.24,60503.07,1
2024-03-20,2024-03-20 12:10:00,635.16,637.37,635.16,637.37,0.35,90.24,60503.07,1
2024-03-20,2024-03-20 12:20:00,637.37,639.58,637.37,639.58,0.35,90.24,60503.07,1
2024-03-20,2024-03-20 12:30:00,639.58,641.78,639.58,641.78,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 12:40:00,641.78,643.99,641.78,643.99,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 12:50:00,643.99,646.2,643.99,646.2,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 13:00:00,646.2,672.7,619.7,648.41,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 13:10:00,648.41,650.62,648.41,650.62,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 13:20:00,650.62,652.83,650.62,652.83,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 13:30:00,652.83,655.03,652.83,655.03,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 13:40:00,655.03,657.24,655.03,657.24,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 13:50:00,657.24,659.45,657.24,659.45,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 14:00:00,659.45,661.66,659.45,661.66,0.34,90.24,60503.07,1
2024-03-20,2024-03-20 14:10:00,661.66,663.87,661.66,663.87,0.33,90.24,60503.07,1
2024-03-20,2024-03-20 14:20:00,663.87,666.08,663.87,666.08,0.33,90.24,60503.07,1
2024-03-20,2024-03-20 14:30:00,666.08,668.28,666.08,668.28,0.33,90.24,60503.07,1
2024-03-20,2024-03-20 14:40:00,668.28,670.49,668.28,670.49,0.33,90.24,60503.07,1
2024-03-20,2024-03-20 14:50:00,670.49,672.7,670.49,672.7,0.33,90.24,60503.07,1
2024-03-20,2024-03-20 15:00:00,672.7,672.7,619.7,672.7,0.0,90.24,60503.07,0
2024-03-21,2024-03-21 11:00:00,686.1,702.24,686.1,688.34,0.33,295.8,218676.1,1
2024-03-21,2024-03-21 11:10:00,688.34,690.58,688.34,690.58,0.33,295.8,218676.1,1
2024-03-21,2024-03-21 11:20:00,690.58,692.83,690.58,692.83,0.33,295.8,218676.1,1
2024-03-21,2024-03-21 11:30:00,692.83,695.07,692.83,695.07,0.32,295.8,218676.1,1
2024-03-21,2024-03-21 11:40:00,695.07,697.31,695.07,697.31,0.32,295.8,218676.1,1
2024-03-21,2024-03-21 11:50:00,697.31,699.55,697.31,699.55,0.32,295.8,218676.1,1
2024-03-21,2024-03-21 12:00:00,699.55,701.79,699.55,701.79,0.32,295.8,218676.1,1
2024-03-21,2024-03-21 12:10:00,701.79,704.03,701.79,704.03,0.32,295.8,218676.1,1
2024-03-21,2024-03-21 12:20:00,704.03,706.27,704.03,706.27,0.32,295.8,218676.1,1
2024-03-21,2024-03-21 12:30:00,706.27,708.52,706.27,708.52,0.32,295.8,218676.1,1
2024-03-21,2024-03-21 12:40:00,708.52,710.76,708.52,710.76,0.32,295.8,218676.1,1
2024-03-21,2024-03-21 12:50:00,710.76,713.0,710.76,713.0,0.32,295.8,218676.1,1
2024-03-21,2024-03-21 13:00:00,713.0,739.9,686.1,715.24,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 13:10:00,715.24,717.48,715.24,717.48,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 13:20:00,717.48,719.73,717.48,719.73,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 13:30:00,719.73,721.97,719.73,721.97,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 13:40:00,721.97,724.21,721.97,724.21,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 13:50:00,724.21,726.45,724.21,726.45,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 14:00:00,726.45,728.69,726.45,728.69,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 14:10:00,728.69,730.93,728.69,730.93,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 14:20:00,730.93,733.17,730.93,733.17,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 14:30:00,733.17,735.42,733.17,735.42,0.31,295.8,218676.1,1
2024-03-21,2024-03-21 14:40:00,735.42,737.66,735.42,737.66,0.3,295.8,218676.1,1
2024-03-21,2024-03-21 14:50:00,737.66,739.9,737.66,739.9,0.3,295.8,218676.1,1
2024-03-21,2024-03-21 15:00:00,739.9,739.9,686.1,739.9,0.0,295.8,218676.1,0
2024-03-25,2024-03-25 11:00:00,754.6,772.36,754.6,757.07,0.33,1075.4,874834.65,1
2024-03-25,2024-03-25 11:10:00,757.07,759.53,757.07,759.53,0.32,1075.4,874834.65,1
2024-03-25,2024-03-25 11:20:00,759.53,762.0,759.53,762.0,0.33,1075.4,874834.65,1
2024-03-25,2024-03-25 11:30:00,762.0,764.47,762.0,764.47,0.32,1075.4,874834.65,1
2024-03-25,2024-03-25 11:40:00,764.47,766.93,764.47,766.93,0.32,1075.4,874834.65,1
