published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-09,2021-06-09 11:00:00,10.0,10.05,9.93,10.01,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 11:10:00,10.01,10.01,10.01,10.01,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 11:20:00,10.01,10.02,10.01,10.02,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 11:30:00,10.02,10.02,10.02,10.02,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 11:40:00,10.02,10.03,10.02,10.03,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 11:50:00,10.03,10.03,10.03,10.03,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 12:00:00,10.03,10.04,10.03,10.04,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 12:10:00,10.04,10.04,10.04,10.04,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 12:20:00,10.04,10.04,10.04,10.04,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 12:30:00,10.04,10.05,10.04,10.05,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 12:40:00,10.05,10.05,10.05,10.05,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 12:50:00,10.05,10.06,10.05,10.06,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 13:00:00,10.06,10.16,9.75,10.06,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 13:10:00,10.06,10.07,10.06,10.07,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 13:20:00,10.07,10.07,10.07,10.07,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 13:30:00,10.07,10.08,10.07,10.08,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 13:40:00,10.08,10.08,10.08,10.08,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 13:50:00,10.08,10.09,10.08,10.09,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 14:00:00,10.09,10.09,10.09,10.09,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 14:10:00,10.09,10.1,10.09,10.1,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 14:20:00,10.1,10.1,10.1,10.1,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 14:30:00,10.1,10.11,10.1,10.11,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 14:40:00,10.11,10.11,10.11,10.11,0.0,4999.48,49804.83,0
2021-06-09,2021-06-09 14:50:00,10.11,10.12,10.11,10.12,0.1,4999.48,49804.83,1
2021-06-09,2021-06-09 15:00:00,10.12,10.16,9.75,10.12,0.0,4999.48,49804.83,0
2021-06-10,2021-06-10 11:00:00,10.0,10.3,9.98,10.03,0.3,8555.32,91932.22,1
2021-06-10,2021-06-10 11:10:00,10.03,10.05,10.03,10.05,0.2,8555.32,91932.22,1
2021-06-10,2021-06-10 11:20:00,10.05,10.07,10.05,10.07,0.2,8555.32,91932.22,1
2021-06-10,2021-06-10 11:30:00,10.07,10.1,10.07,10.1,0.3,8555.32,91932.22,1
2021-06-10,2021-06-10 11:40:00,10.1,10.12,10.1,10.12,0.2,8555.32,91932.22,1
2021-06-10,2021-06-10 11:50:00,10.12,10.15,10.12,10.15,0.3,8555.32,91932.22,1
2021-06-10,2021-06-10 12:00:00,10.15,10.18,10.15,10.18,0.3,8555.32,91932.22,1
2021-06-10,2021-06-10 12:10:00,10.18,10.2,10.18,10.2,0.2,8555.32,91932.22,1
