published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-17,2022-08-17 11:00:00,269.0,277.07,269.0,269.11,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:01:00,269.11,269.22,269.11,269.22,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:02:00,269.22,269.34,269.22,269.34,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:03:00,269.34,269.45,269.34,269.45,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:04:00,269.45,269.56,269.45,269.56,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:05:00,269.56,269.67,269.56,269.67,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:06:00,269.67,269.78,269.67,269.78,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:07:00,269.78,269.9,269.78,269.9,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:08:00,269.9,270.01,269.9,270.01,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:09:00,270.01,270.12,270.01,270.12,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:10:00,270.12,270.23,270.12,270.23,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:11:00,270.23,270.35,270.23,270.35,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:12:00,270.35,270.46,270.35,270.46,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:13:00,270.46,270.57,270.46,270.57,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:14:00,270.57,270.68,270.57,270.68,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:15:00,270.68,270.79,270.68,270.79,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:16:00,270.79,270.91,270.79,270.91,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:17:00,270.91,271.02,270.91,271.02,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:18:00,271.02,271.13,271.02,271.13,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:19:00,271.13,271.24,271.13,271.24,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:20:00,271.24,271.35,271.24,271.35,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:21:00,271.35,271.47,271.35,271.47,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:22:00,271.47,271.58,271.47,271.58,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:23:00,271.58,271.69,271.58,271.69,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:24:00,271.69,271.8,271.69,271.8,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:25:00,271.8,271.91,271.8,271.91,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:26:00,271.91,272.03,271.91,272.03,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:27:00,272.03,272.14,272.03,272.14,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:28:00,272.14,272.25,272.14,272.25,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:29:00,272.25,272.36,272.25,272.36,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:30:00,272.36,272.47,272.36,272.47,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:31:00,272.47,272.59,272.47,272.59,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:32:00,272.59,272.7,272.59,272.7,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:33:00,272.7,272.81,272.7,272.81,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:34:00,272.81,272.92,272.81,272.92,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:35:00,272.92,273.03,272.92,273.03,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:36:00,273.03,273.15,273.03,273.15,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:37:00,273.15,273.26,273.15,273.26,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:38:00,273.26,273.37,273.26,273.37,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:39:00,273.37,273.48,273.37,273.48,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:40:00,273.48,273.6,273.48,273.6,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:41:00,273.6,273.71,273.6,273.71,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:42:00,273.71,273.82,273.71,273.82,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:43:00,273.82,273.93,273.82,273.93,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:44:00,273.93,274.04,273.93,274.04,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:45:00,274.04,274.16,274.04,274.16,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:46:00,274.16,274.27,274.16,274.27,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:47:00,274.27,274.38,274.27,274.38,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:48:00,274.38,274.49,274.38,274.49,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:49:00,274.49,274.6,274.49,274.6,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:50:00,274.6,274.72,274.6,274.72,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:51:00,274.72,274.83,274.72,274.83,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:52:00,274.83,274.94,274.83,274.94,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:53:00,274.94,275.05,274.94,275.05,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:54:00,275.05,275.16,275.05,275.16,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:55:00,275.16,275.28,275.16,275.28,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:56:00,275.28,275.39,275.28,275.39,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:57:00,275.39,275.5,275.39,275.5,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:58:00,275.5,275.61,275.5,275.61,0.04,2.33,675.0,1
2022-08-17,2022-08-17 11:59:00,275.61,275.73,275.61,275.73,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:00:00,275.73,275.84,275.73,275.84,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:01:00,275.84,275.95,275.84,275.95,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:02:00,275.95,276.06,275.95,276.06,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:03:00,276.06,276.17,276.06,276.17,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:04:00,276.17,276.29,276.17,276.29,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:05:00,276.29,276.4,276.29,276.4,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:06:00,276.4,276.51,276.4,276.51,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:07:00,276.51,276.62,276.51,276.62,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:08:00,276.62,276.73,276.62,276.73,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:09:00,276.73,276.85,276.73,276.85,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:10:00,276.85,276.96,276.85,276.96,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:11:00,276.96,277.07,276.96,277.07,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:12:00,277.07,277.18,277.07,277.18,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:13:00,277.18,277.29,277.18,277.29,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:14:00,277.29,277.41,277.29,277.41,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:15:00,277.41,277.52,277.41,277.52,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:16:00,277.52,277.63,277.52,277.63,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:17:00,277.63,277.74,277.63,277.74,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:18:00,277.74,277.85,277.74,277.85,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:19:00,277.85,277.97,277.85,277.97,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:20:00,277.97,278.08,277.97,278.08,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:21:00,278.08,278.19,278.08,278.19,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:22:00,278.19,278.3,278.19,278.3,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:23:00,278.3,278.41,278.3,278.41,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:24:00,278.41,278.53,278.41,278.53,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:25:00,278.53,278.64,278.53,278.64,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:26:00,278.64,278.75,278.64,278.75,0.04,2.33,675.0,1
2022-08-17,2022-08-17 12:27:00,278.75,278.86,278.75,278.86,0.04,2.33,675.0,1
