published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-12-05,2013-12-05 11:00:00,197.0,197.9,197.0,197.12,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 11:10:00,197.12,197.25,197.12,197.25,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 11:20:00,197.25,197.38,197.25,197.38,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 11:30:00,197.38,197.5,197.38,197.5,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 11:40:00,197.5,197.62,197.5,197.62,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 11:50:00,197.62,197.75,197.62,197.75,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 12:00:00,197.75,197.88,197.75,197.88,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 12:10:00,197.88,198.0,197.88,198.0,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 12:20:00,198.0,198.12,198.0,198.12,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 12:30:00,198.12,198.25,198.12,198.25,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 12:40:00,198.25,198.38,198.25,198.38,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 12:50:00,198.38,198.5,198.38,198.5,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 13:00:00,198.5,200.0,198.5,198.62,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 13:10:00,198.62,198.75,198.62,198.75,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 13:20:00,198.75,198.88,198.75,198.88,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 13:30:00,198.88,199.0,198.88,199.0,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 13:40:00,199.0,199.12,199.0,199.12,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 13:50:00,199.12,199.25,199.12,199.25,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 14:00:00,199.25,199.38,199.25,199.38,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 14:10:00,199.38,199.5,199.38,199.5,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 14:20:00,199.5,199.62,199.5,199.62,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 14:30:00,199.62,199.75,199.62,199.75,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 14:40:00,199.75,199.88,199.75,199.88,0.07,11.6,2320.0,1
2013-12-05,2013-12-05 14:50:00,199.88,200.0,199.88,200.0,0.06,11.6,2320.0,1
2013-12-05,2013-12-05 15:00:00,200.0,200.0,200.0,200.0,0.0,11.6,2320.0,0
2013-12-08,2013-12-08 11:00:00,200.0,201.2,200.0,200.17,0.08,2.12,432.48,1
2013-12-08,2013-12-08 11:10:00,200.17,200.33,200.17,200.33,0.08,2.12,432.48,1
2013-12-08,2013-12-08 11:20:00,200.33,200.5,200.33,200.5,0.08,2.12,432.48,1
2013-12-08,2013-12-08 11:30:00,200.5,200.67,200.5,200.67,0.08,2.12,432.48,1
2013-12-08,2013-12-08 11:40:00,200.67,200.83,200.67,200.83,0.08,2.12,432.48,1
2013-12-08,2013-12-08 11:50:00,200.83,201.0,200.83,201.0,0.08,2.12,432.48,1
2013-12-08,2013-12-08 12:00:00,201.0,201.17,201.0,201.17,0.08,2.12,432.48,1
2013-12-08,2013-12-08 12:10:00,201.17,201.33,201.17,201.33,0.08,2.12,432.48,1
2013-12-08,2013-12-08 12:20:00,201.33,201.5,201.33,201.5,0.08,2.12,432.48,1
2013-12-08,2013-12-08 12:30:00,201.5,201.67,201.5,201.67,0.08,2.12,432.48,1
2013-12-08,2013-12-08 12:40:00,201.67,201.83,201.67,201.83,0.08,2.12,432.48,1
2013-12-08,2013-12-08 12:50:00,201.83,202.0,201.83,202.0,0.08,2.12,432.48,1
2013-12-08,2013-12-08 13:00:00,202.0,204.0,202.0,202.17,0.08,2.12,432.48,1
2013-12-08,2013-12-08 13:10:00,202.17,202.33,202.17,202.33,0.08,2.12,432.48,1
2013-12-08,2013-12-08 13:20:00,202.33,202.5,202.33,202.5,0.08,2.12,432.48,1
2013-12-08,2013-12-08 13:30:00,202.5,202.67,202.5,202.67,0.08,2.12,432.48,1
2013-12-08,2013-12-08 13:40:00,202.67,202.83,202.67,202.83,0.08,2.12,432.48,1
2013-12-08,2013-12-08 13:50:00,202.83,203.0,202.83,203.0,0.08,2.12,432.48,1
2013-12-08,2013-12-08 14:00:00,203.0,203.17,203.0,203.17,0.08,2.12,432.48,1
2013-12-08,2013-12-08 14:10:00,203.17,203.33,203.17,203.33,0.08,2.12,432.48,1
2013-12-08,2013-12-08 14:20:00,203.33,203.5,203.33,203.5,0.08,2.12,432.48,1
2013-12-08,2013-12-08 14:30:00,203.5,203.67,203.5,203.67,0.08,2.12,432.48,1
2013-12-08,2013-12-08 14:40:00,203.67,203.83,203.67,203.83,0.08,2.12,432.48,1
2013-12-08,2013-12-08 14:50:00,203.83,204.0,203.83,204.0,0.08,2.12,432.48,1
2013-12-08,2013-12-08 15:00:00,204.0,204.0,204.0,204.0,0.0,2.12,432.48,0
2013-12-10,2013-12-10 11:00:00,204.0,205.2,204.0,204.17,0.08,0.48,99.84,1
2013-12-10,2013-12-10 11:10:00,204.17,204.33,204.17,204.33,0.08,0.48,99.84,1
2013-12-10,2013-12-10 11:20:00,204.33,204.5,204.33,204.5,0.08,0.48,99.84,1
2013-12-10,2013-12-10 11:30:00,204.5,204.67,204.5,204.67,0.08,0.48,99.84,1
2013-12-10,2013-12-10 11:40:00,204.67,204.83,204.67,204.83,0.08,0.48,99.84,1
2013-12-10,2013-12-10 11:50:00,204.83,205.0,204.83,205.0,0.08,0.48,99.84,1
2013-12-10,2013-12-10 12:00:00,205.0,205.17,205.0,205.17,0.08,0.48,99.84,1
2013-12-10,2013-12-10 12:10:00,205.17,205.33,205.17,205.33,0.08,0.48,99.84,1
2013-12-10,2013-12-10 12:20:00,205.33,205.5,205.33,205.5,0.08,0.48,99.84,1
2013-12-10,2013-12-10 12:30:00,205.5,205.67,205.5,205.67,0.08,0.48,99.84,1
2013-12-10,2013-12-10 12:40:00,205.67,205.83,205.67,205.83,0.08,0.48,99.84,1
2013-12-10,2013-12-10 12:50:00,205.83,206.0,205.83,206.0,0.08,0.48,99.84,1
2013-12-10,2013-12-10 13:00:00,206.0,208.0,206.0,206.17,0.08,0.48,99.84,1
2013-12-10,2013-12-10 13:10:00,206.17,206.33,206.17,206.33,0.08,0.48,99.84,1
2013-12-10,2013-12-10 13:20:00,206.33,206.5,206.33,206.5,0.08,0.48,99.84,1
2013-12-10,2013-12-10 13:30:00,206.5,206.67,206.5,206.67,0.08,0.48,99.84,1
2013-12-10,2013-12-10 13:40:00,206.67,206.83,206.67,206.83,0.08,0.48,99.84,1
2013-12-10,2013-12-10 13:50:00,206.83,207.0,206.83,207.0,0.08,0.48,99.84,1
2013-12-10,2013-12-10 14:00:00,207.0,207.17,207.0,207.17,0.08,0.48,99.84,1
2013-12-10,2013-12-10 14:10:00,207.17,207.33,207.17,207.33,0.08,0.48,99.84,1
2013-12-10,2013-12-10 14:20:00,207.33,207.5,207.33,207.5,0.08,0.48,99.84,1
2013-12-10,2013-12-10 14:30:00,207.5,207.67,207.5,207.67,0.08,0.48,99.84,1
2013-12-10,2013-12-10 14:40:00,207.67,207.83,207.67,207.83,0.08,0.48,99.84,1
2013-12-10,2013-12-10 14:50:00,207.83,208.0,207.83,208.0,0.08,0.48,99.84,1
2013-12-10,2013-12-10 15:00:00,208.0,208.0,208.0,208.0,0.0,0.48,99.84,0
2013-12-11,2013-12-11 11:00:00,208.0,209.2,208.0,208.0,0.0,1.12,235.2,0
