published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-12-20,2022-12-20 11:00:00,906.0,933.18,906.0,909.77,0.42,6.8,6546.51,1
2022-12-20,2022-12-20 11:10:00,909.77,913.55,909.77,913.55,0.42,6.8,6546.51,1
2022-12-20,2022-12-20 11:20:00,913.55,917.33,913.55,917.33,0.41,6.8,6546.51,1
2022-12-20,2022-12-20 11:30:00,917.33,921.1,917.33,921.1,0.41,6.8,6546.51,1
2022-12-20,2022-12-20 11:40:00,921.1,924.88,921.1,924.88,0.41,6.8,6546.51,1
2022-12-20,2022-12-20 11:50:00,924.88,928.65,924.88,928.65,0.41,6.8,6546.51,1
2022-12-20,2022-12-20 12:00:00,928.65,932.42,928.65,932.42,0.41,6.8,6546.51,1
2022-12-20,2022-12-20 12:10:00,932.42,936.2,932.42,936.2,0.41,6.8,6546.51,1
2022-12-20,2022-12-20 12:20:00,936.2,939.98,936.2,939.98,0.4,6.8,6546.51,1
2022-12-20,2022-12-20 12:30:00,939.98,943.75,939.98,943.75,0.4,6.8,6546.51,1
2022-12-20,2022-12-20 12:40:00,943.75,947.52,943.75,947.52,0.4,6.8,6546.51,1
2022-12-20,2022-12-20 12:50:00,947.52,951.3,947.52,951.3,0.4,6.8,6546.51,1
2022-12-20,2022-12-20 13:00:00,951.3,996.6,906.0,955.08,0.4,6.8,6546.51,1
2022-12-20,2022-12-20 13:10:00,955.08,958.85,955.08,958.85,0.39,6.8,6546.51,1
2022-12-20,2022-12-20 13:20:00,958.85,962.62,958.85,962.62,0.39,6.8,6546.51,1
2022-12-20,2022-12-20 13:30:00,962.62,966.4,962.62,966.4,0.39,6.8,6546.51,1
2022-12-20,2022-12-20 13:40:00,966.4,970.18,966.4,970.18,0.39,6.8,6546.51,1
2022-12-20,2022-12-20 13:50:00,970.18,973.95,970.18,973.95,0.39,6.8,6546.51,1
2022-12-20,2022-12-20 14:00:00,973.95,977.73,973.95,977.73,0.39,6.8,6546.51,1
2022-12-20,2022-12-20 14:10:00,977.73,981.5,977.73,981.5,0.39,6.8,6546.51,1
2022-12-20,2022-12-20 14:20:00,981.5,985.27,981.5,985.27,0.38,6.8,6546.51,1
2022-12-20,2022-12-20 14:30:00,985.27,989.05,985.27,989.05,0.38,6.8,6546.51,1
2022-12-20,2022-12-20 14:40:00,989.05,992.83,989.05,992.83,0.38,6.8,6546.51,1
2022-12-20,2022-12-20 14:50:00,992.83,996.6,992.83,996.6,0.38,6.8,6546.51,1
2022-12-20,2022-12-20 15:00:00,996.6,996.6,906.0,996.6,0.0,6.8,6546.51,0
2022-12-21,2022-12-21 11:00:00,978.3,1013.67,978.3,983.21,0.5,5.2,5500.4,1
2022-12-21,2022-12-21 11:10:00,983.21,988.12,983.21,988.12,0.5,5.2,5500.4,1
2022-12-21,2022-12-21 11:20:00,988.12,993.04,988.12,993.04,0.5,5.2,5500.4,1
2022-12-21,2022-12-21 11:30:00,993.04,997.95,993.04,997.95,0.49,5.2,5500.4,1
2022-12-21,2022-12-21 11:40:00,997.95,1002.86,997.95,1002.86,0.49,5.2,5500.4,1
2022-12-21,2022-12-21 11:50:00,1002.86,1007.77,1002.86,1007.77,0.49,5.2,5500.4,1
2022-12-21,2022-12-21 12:00:00,1007.77,1012.69,1007.77,1012.69,0.49,5.2,5500.4,1
2022-12-21,2022-12-21 12:10:00,1012.69,1017.6,1012.69,1017.6,0.48,5.2,5500.4,1
2022-12-21,2022-12-21 12:20:00,1017.6,1022.51,1017.6,1022.51,0.48,5.2,5500.4,1
2022-12-21,2022-12-21 12:30:00,1022.51,1027.42,1022.51,1027.42,0.48,5.2,5500.4,1
2022-12-21,2022-12-21 12:40:00,1027.42,1032.34,1027.42,1032.34,0.48,5.2,5500.4,1
2022-12-21,2022-12-21 12:50:00,1032.34,1037.25,1032.34,1037.25,0.48,5.2,5500.4,1
2022-12-21,2022-12-21 13:00:00,1037.25,1096.2,978.3,1042.16,0.47,5.2,5500.4,1
2022-12-21,2022-12-21 13:10:00,1042.16,1047.08,1042.16,1047.08,0.47,5.2,5500.4,1
2022-12-21,2022-12-21 13:20:00,1047.08,1051.99,1047.08,1051.99,0.47,5.2,5500.4,1
2022-12-21,2022-12-21 13:30:00,1051.99,1056.9,1051.99,1056.9,0.47,5.2,5500.4,1
2022-12-21,2022-12-21 13:40:00,1056.9,1061.81,1056.9,1061.81,0.46,5.2,5500.4,1
2022-12-21,2022-12-21 13:50:00,1061.81,1066.72,1061.81,1066.72,0.46,5.2,5500.4,1
2022-12-21,2022-12-21 14:00:00,1066.72,1071.64,1066.72,1071.64,0.46,5.2,5500.4,1
2022-12-21,2022-12-21 14:10:00,1071.64,1076.55,1071.64,1076.55,0.46,5.2,5500.4,1
2022-12-21,2022-12-21 14:20:00,1076.55,1081.46,1076.55,1081.46,0.46,5.2,5500.4,1
2022-12-21,2022-12-21 14:30:00,1081.46,1086.38,1081.46,1086.38,0.45,5.2,5500.4,1
2022-12-21,2022-12-21 14:40:00,1086.38,1091.29,1086.38,1091.29,0.45,5.2,5500.4,1
2022-12-21,2022-12-21 14:50:00,1091.29,1096.2,1091.29,1096.2,0.45,5.2,5500.4,1
2022-12-21,2022-12-21 15:00:00,1096.2,1096.2,978.3,1096.2,0.0,5.2,5500.4,0
2022-12-22,2022-12-22 11:00:00,1075.0,1114.24,1075.0,1080.45,0.51,8.8,10420.02,1
2022-12-22,2022-12-22 11:10:00,1080.45,1085.9,1080.45,1085.9,0.5,8.8,10420.02,1
2022-12-22,2022-12-22 11:20:00,1085.9,1091.35,1085.9,1091.35,0.5,8.8,10420.02,1
2022-12-22,2022-12-22 11:30:00,1091.35,1096.8,1091.35,1096.8,0.5,8.8,10420.02,1
2022-12-22,2022-12-22 11:40:00,1096.8,1102.25,1096.8,1102.25,0.5,8.8,10420.02,1
2022-12-22,2022-12-22 11:50:00,1102.25,1107.7,1102.25,1107.7,0.49,8.8,10420.02,1
2022-12-22,2022-12-22 12:00:00,1107.7,1113.15,1107.7,1113.15,0.49,8.8,10420.02,1
2022-12-22,2022-12-22 12:10:00,1113.15,1118.6,1113.15,1118.6,0.49,8.8,10420.02,1
2022-12-22,2022-12-22 12:20:00,1118.6,1124.05,1118.6,1124.05,0.49,8.8,10420.02,1
2022-12-22,2022-12-22 12:30:00,1124.05,1129.5,1124.05,1129.5,0.48,8.8,10420.02,1
