published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-04-10,2026-04-10 11:00:00,284.3,292.82,284.3,284.42,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:01:00,284.42,284.54,284.42,284.54,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:02:00,284.54,284.66,284.54,284.66,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:03:00,284.66,284.77,284.66,284.77,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:04:00,284.77,284.89,284.77,284.89,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:05:00,284.89,285.01,284.89,285.01,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:06:00,285.01,285.13,285.01,285.13,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:07:00,285.13,285.25,285.13,285.25,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:08:00,285.25,285.37,285.25,285.37,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:09:00,285.37,285.48,285.37,285.48,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:10:00,285.48,285.6,285.48,285.6,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:11:00,285.6,285.72,285.6,285.72,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:12:00,285.72,285.84,285.72,285.84,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:13:00,285.84,285.96,285.84,285.96,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:14:00,285.96,286.07,285.96,286.07,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:15:00,286.07,286.19,286.07,286.19,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:16:00,286.19,286.31,286.19,286.31,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:17:00,286.31,286.43,286.31,286.43,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:18:00,286.43,286.55,286.43,286.55,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:19:00,286.55,286.67,286.55,286.67,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:20:00,286.67,286.79,286.67,286.79,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:21:00,286.79,286.9,286.79,286.9,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:22:00,286.9,287.02,286.9,287.02,0.04,0.58,176.96,1
2026-04-10,2026-04-10 11:23:00,287.02,287.14,287.02,287.14,0.04,0.58,176.96,1
