published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-29,2026-03-29 11:00:00,284.3,292.82,284.3,284.42,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:01:00,284.42,284.54,284.42,284.54,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:02:00,284.54,284.66,284.54,284.66,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:03:00,284.66,284.77,284.66,284.77,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:04:00,284.77,284.89,284.77,284.89,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:05:00,284.89,285.01,284.89,285.01,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:06:00,285.01,285.13,285.01,285.13,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:07:00,285.13,285.25,285.13,285.25,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:08:00,285.25,285.37,285.25,285.37,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:09:00,285.37,285.48,285.37,285.48,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:10:00,285.48,285.6,285.48,285.6,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:11:00,285.6,285.72,285.6,285.72,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:12:00,285.72,285.84,285.72,285.84,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:13:00,285.84,285.96,285.84,285.96,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:14:00,285.96,286.07,285.96,286.07,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:15:00,286.07,286.19,286.07,286.19,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:16:00,286.19,286.31,286.19,286.31,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:17:00,286.31,286.43,286.31,286.43,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:18:00,286.43,286.55,286.43,286.55,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:19:00,286.55,286.67,286.55,286.67,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:20:00,286.67,286.79,286.67,286.79,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:21:00,286.79,286.9,286.79,286.9,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:22:00,286.9,287.02,286.9,287.02,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:23:00,287.02,287.14,287.02,287.14,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:24:00,287.14,287.26,287.14,287.26,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:25:00,287.26,287.38,287.26,287.38,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:26:00,287.38,287.5,287.38,287.5,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:27:00,287.5,287.61,287.5,287.61,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:28:00,287.61,287.73,287.61,287.73,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:29:00,287.73,287.85,287.73,287.85,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:30:00,287.85,287.97,287.85,287.97,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:31:00,287.97,288.09,287.97,288.09,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:32:00,288.09,288.2,288.09,288.2,0.04,0.33,97.93,1
2026-03-29,2026-03-29 11:33:00,288.2,288.32,288.2,288.32,0.04,0.33,97.93,1
