published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-06-19,2013-06-19 11:00:00,0.0,45.9,0.0,6.38,0.0,2.0,306.0,1
2013-06-19,2013-06-19 11:10:00,6.38,12.75,6.38,12.75,99.84,2.0,306.0,1
2013-06-19,2013-06-19 11:20:00,12.75,19.12,12.75,19.12,49.96,2.0,306.0,1
2013-06-19,2013-06-19 11:30:00,19.12,25.5,19.12,25.5,33.37,2.0,306.0,1
2013-06-19,2013-06-19 11:40:00,25.5,31.88,25.5,31.88,25.02,2.0,306.0,1
2013-06-19,2013-06-19 11:50:00,31.88,38.25,31.88,38.25,19.98,2.0,306.0,1
2013-06-19,2013-06-19 12:00:00,38.25,44.62,38.25,44.62,16.65,2.0,306.0,1
2013-06-19,2013-06-19 12:10:00,44.62,51.0,44.62,51.0,14.3,2.0,306.0,1
2013-06-19,2013-06-19 12:20:00,51.0,57.38,51.0,57.38,12.51,2.0,306.0,1
2013-06-19,2013-06-19 12:30:00,57.38,63.75,57.38,63.75,11.1,2.0,306.0,1
2013-06-19,2013-06-19 12:40:00,63.75,70.12,63.75,70.12,9.99,2.0,306.0,1
2013-06-19,2013-06-19 12:50:00,70.12,76.5,70.12,76.5,9.1,2.0,306.0,1
2013-06-19,2013-06-19 13:00:00,76.5,153.0,76.5,82.88,8.34,2.0,306.0,1
2013-06-19,2013-06-19 13:10:00,82.88,89.25,82.88,89.25,7.69,2.0,306.0,1
2013-06-19,2013-06-19 13:20:00,89.25,95.62,89.25,95.62,7.14,2.0,306.0,1
2013-06-19,2013-06-19 13:30:00,95.62,102.0,95.62,102.0,6.67,2.0,306.0,1
2013-06-19,2013-06-19 13:40:00,102.0,108.38,102.0,108.38,6.25,2.0,306.0,1
2013-06-19,2013-06-19 13:50:00,108.38,114.75,108.38,114.75,5.88,2.0,306.0,1
2013-06-19,2013-06-19 14:00:00,114.75,121.12,114.75,121.12,5.55,2.0,306.0,1
2013-06-19,2013-06-19 14:10:00,121.12,127.5,121.12,127.5,5.27,2.0,306.0,1
2013-06-19,2013-06-19 14:20:00,127.5,133.88,127.5,133.88,5.0,2.0,306.0,1
2013-06-19,2013-06-19 14:30:00,133.88,140.25,133.88,140.25,4.76,2.0,306.0,1
2013-06-19,2013-06-19 14:40:00,140.25,146.62,140.25,146.62,4.54,2.0,306.0,1
2013-06-19,2013-06-19 14:50:00,146.62,153.0,146.62,153.0,4.35,2.0,306.0,1
2013-06-19,2013-06-19 15:00:00,153.0,153.0,153.0,153.0,0.0,2.0,306.0,0
2013-06-20,2013-06-20 11:00:00,153.0,157.5,153.0,153.62,0.41,12.56,2098.08,1
2013-06-20,2013-06-20 11:10:00,153.62,154.25,153.62,154.25,0.41,12.56,2098.08,1
2013-06-20,2013-06-20 11:20:00,154.25,154.88,154.25,154.88,0.41,12.56,2098.08,1
2013-06-20,2013-06-20 11:30:00,154.88,155.5,154.88,155.5,0.4,12.56,2098.08,1
2013-06-20,2013-06-20 11:40:00,155.5,156.12,155.5,156.12,0.4,12.56,2098.08,1
2013-06-20,2013-06-20 11:50:00,156.12,156.75,156.12,156.75,0.4,12.56,2098.08,1
2013-06-20,2013-06-20 12:00:00,156.75,157.38,156.75,157.38,0.4,12.56,2098.08,1
2013-06-20,2013-06-20 12:10:00,157.38,158.0,157.38,158.0,0.39,12.56,2098.08,1
2013-06-20,2013-06-20 12:20:00,158.0,158.62,158.0,158.62,0.39,12.56,2098.08,1
2013-06-20,2013-06-20 12:30:00,158.62,159.25,158.62,159.25,0.4,12.56,2098.08,1
2013-06-20,2013-06-20 12:40:00,159.25,159.88,159.25,159.88,0.4,12.56,2098.08,1
2013-06-20,2013-06-20 12:50:00,159.88,160.5,159.88,160.5,0.39,12.56,2098.08,1
2013-06-20,2013-06-20 13:00:00,160.5,168.0,156.0,161.12,0.39,12.56,2098.08,1
2013-06-20,2013-06-20 13:10:00,161.12,161.75,161.12,161.75,0.39,12.56,2098.08,1
2013-06-20,2013-06-20 13:20:00,161.75,162.38,161.75,162.38,0.39,12.56,2098.08,1
2013-06-20,2013-06-20 13:30:00,162.38,163.0,162.38,163.0,0.38,12.56,2098.08,1
2013-06-20,2013-06-20 13:40:00,163.0,163.62,163.0,163.62,0.38,12.56,2098.08,1
2013-06-20,2013-06-20 13:50:00,163.62,164.25,163.62,164.25,0.39,12.56,2098.08,1
2013-06-20,2013-06-20 14:00:00,164.25,164.88,164.25,164.88,0.38,12.56,2098.08,1
2013-06-20,2013-06-20 14:10:00,164.88,165.5,164.88,165.5,0.38,12.56,2098.08,1
2013-06-20,2013-06-20 14:20:00,165.5,166.12,165.5,166.12,0.37,12.56,2098.08,1
2013-06-20,2013-06-20 14:30:00,166.12,166.75,166.12,166.75,0.38,12.56,2098.08,1
2013-06-20,2013-06-20 14:40:00,166.75,167.38,166.75,167.38,0.38,12.56,2098.08,1
2013-06-20,2013-06-20 14:50:00,167.38,168.0,167.38,168.0,0.37,12.56,2098.08,1
2013-06-20,2013-06-20 15:00:00,168.0,168.0,156.0,168.0,0.0,12.56,2098.08,0
2013-06-23,2013-06-23 11:00:00,168.0,172.8,168.0,168.67,0.4,75.44,13858.48,1
2013-06-23,2013-06-23 11:10:00,168.67,169.33,168.67,169.33,0.39,75.44,13858.48,1
2013-06-23,2013-06-23 11:20:00,169.33,170.0,169.33,170.0,0.4,75.44,13858.48,1
2013-06-23,2013-06-23 11:30:00,170.0,170.67,170.0,170.67,0.39,75.44,13858.48,1
2013-06-23,2013-06-23 11:40:00,170.67,171.33,170.67,171.33,0.39,75.44,13858.48,1
2013-06-23,2013-06-23 11:50:00,171.33,172.0,171.33,172.0,0.39,75.44,13858.48,1
2013-06-23,2013-06-23 12:00:00,172.0,172.67,172.0,172.67,0.39,75.44,13858.48,1
2013-06-23,2013-06-23 12:10:00,172.67,173.33,172.67,173.33,0.38,75.44,13858.48,1
2013-06-23,2013-06-23 12:20:00,173.33,174.0,173.33,174.0,0.39,75.44,13858.48,1
2013-06-23,2013-06-23 12:30:00,174.0,174.67,174.0,174.67,0.39,75.44,13858.48,1
2013-06-23,2013-06-23 12:40:00,174.67,175.33,174.67,175.33,0.38,75.44,13858.48,1
2013-06-23,2013-06-23 12:50:00,175.33,176.0,175.33,176.0,0.38,75.44,13858.48,1
2013-06-23,2013-06-23 13:00:00,176.0,184.0,171.0,176.67,0.38,75.44,13858.48,1
2013-06-23,2013-06-23 13:10:00,176.67,177.33,176.67,177.33,0.37,75.44,13858.48,1
2013-06-23,2013-06-23 13:20:00,177.33,178.0,177.33,178.0,0.38,75.44,13858.48,1
2013-06-23,2013-06-23 13:30:00,178.0,178.67,178.0,178.67,0.38,75.44,13858.48,1
2013-06-23,2013-06-23 13:40:00,178.67,179.33,178.67,179.33,0.37,75.44,13858.48,1
2013-06-23,2013-06-23 13:50:00,179.33,180.0,179.33,180.0,0.37,75.44,13858.48,1
2013-06-23,2013-06-23 14:00:00,180.0,180.67,180.0,180.67,0.37,75.44,13858.48,1
2013-06-23,2013-06-23 14:10:00,180.67,181.33,180.67,181.33,0.37,75.44,13858.48,1
2013-06-23,2013-06-23 14:20:00,181.33,182.0,181.33,182.0,0.37,75.44,13858.48,1
2013-06-23,2013-06-23 14:30:00,182.0,182.67,182.0,182.67,0.37,75.44,13858.48,1
2013-06-23,2013-06-23 14:40:00,182.67,183.33,182.67,183.33,0.36,75.44,13858.48,1
2013-06-23,2013-06-23 14:50:00,183.33,184.0,183.33,184.0,0.37,75.44,13858.48,1
2013-06-23,2013-06-23 15:00:00,184.0,184.0,171.0,184.0,0.0,75.44,13858.48,0
2013-06-24,2013-06-24 11:00:00,184.0,189.4,184.0,184.75,0.41,62.08,12498.0,1
2013-06-24,2013-06-24 11:10:00,184.75,185.5,184.75,185.5,0.41,62.08,12498.0,1
2013-06-24,2013-06-24 11:20:00,185.5,186.25,185.5,186.25,0.4,62.08,12498.0,1
2013-06-24,2013-06-24 11:30:00,186.25,187.0,186.25,187.0,0.4,62.08,12498.0,1
2013-06-24,2013-06-24 11:40:00,187.0,187.75,187.0,187.75,0.4,62.08,12498.0,1
2013-06-24,2013-06-24 11:50:00,187.75,188.5,187.75,188.5,0.4,62.08,12498.0,1
2013-06-24,2013-06-24 12:00:00,188.5,189.25,188.5,189.25,0.4,62.08,12498.0,1
2013-06-24,2013-06-24 12:10:00,189.25,190.0,189.25,190.0,0.4,62.08,12498.0,1
2013-06-24,2013-06-24 12:20:00,190.0,190.75,190.0,190.75,0.39,62.08,12498.0,1
2013-06-24,2013-06-24 12:30:00,190.75,191.5,190.75,191.5,0.39,62.08,12498.0,1
2013-06-24,2013-06-24 12:40:00,191.5,192.25,191.5,192.25,0.39,62.08,12498.0,1
2013-06-24,2013-06-24 12:50:00,192.25,193.0,192.25,193.0,0.39,62.08,12498.0,1
2013-06-24,2013-06-24 13:00:00,193.0,202.0,187.0,193.75,0.39,62.08,12498.0,1
2013-06-24,2013-06-24 13:10:00,193.75,194.5,193.75,194.5,0.39,62.08,12498.0,1
2013-06-24,2013-06-24 13:20:00,194.5,195.25,194.5,195.25,0.39,62.08,12498.0,1
2013-06-24,2013-06-24 13:30:00,195.25,196.0,195.25,196.0,0.38,62.08,12498.0,1
2013-06-24,2013-06-24 13:40:00,196.0,196.75,196.0,196.75,0.38,62.08,12498.0,1
2013-06-24,2013-06-24 13:50:00,196.75,197.5,196.75,197.5,0.38,62.08,12498.0,1
2013-06-24,2013-06-24 14:00:00,197.5,198.25,197.5,198.25,0.38,62.08,12498.0,1
2013-06-24,2013-06-24 14:10:00,198.25,199.0,198.25,199.0,0.38,62.08,12498.0,1
2013-06-24,2013-06-24 14:20:00,199.0,199.75,199.0,199.75,0.38,62.08,12498.0,1
2013-06-24,2013-06-24 14:30:00,199.75,200.5,199.75,200.5,0.38,62.08,12498.0,1
2013-06-24,2013-06-24 14:40:00,200.5,201.25,200.5,201.25,0.37,62.08,12498.0,1
2013-06-24,2013-06-24 14:50:00,201.25,202.0,201.25,202.0,0.37,62.08,12498.0,1
2013-06-24,2013-06-24 15:00:00,202.0,202.0,187.0,202.0,0.0,62.08,12498.0,0
2013-06-25,2013-06-25 11:00:00,202.0,208.0,199.0,202.42,0.21,95.0,20014.2,1
2013-06-25,2013-06-25 11:10:00,202.42,202.83,202.42,202.83,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 11:20:00,202.83,203.25,202.83,203.25,0.21,95.0,20014.2,1
2013-06-25,2013-06-25 11:30:00,203.25,203.67,203.25,203.67,0.21,95.0,20014.2,1
2013-06-25,2013-06-25 11:40:00,203.67,204.08,203.67,204.08,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 11:50:00,204.08,204.5,204.08,204.5,0.21,95.0,20014.2,1
2013-06-25,2013-06-25 12:00:00,204.5,204.92,204.5,204.92,0.21,95.0,20014.2,1
2013-06-25,2013-06-25 12:10:00,204.92,205.33,204.92,205.33,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 12:20:00,205.33,205.75,205.33,205.75,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 12:30:00,205.75,206.17,205.75,206.17,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 12:40:00,206.17,206.58,206.17,206.58,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 12:50:00,206.58,207.0,206.58,207.0,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 13:00:00,207.0,222.0,192.0,207.42,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 13:10:00,207.42,207.83,207.42,207.83,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 13:20:00,207.83,208.25,207.83,208.25,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 13:30:00,208.25,208.67,208.25,208.67,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 13:40:00,208.67,209.08,208.67,209.08,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 13:50:00,209.08,209.5,209.08,209.5,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 14:00:00,209.5,209.92,209.5,209.92,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 14:10:00,209.92,210.33,209.92,210.33,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 14:20:00,210.33,210.75,210.33,210.75,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 14:30:00,210.75,211.17,210.75,211.17,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 14:40:00,211.17,211.58,211.17,211.58,0.19,95.0,20014.2,1
2013-06-25,2013-06-25 14:50:00,211.58,212.0,211.58,212.0,0.2,95.0,20014.2,1
2013-06-25,2013-06-25 15:00:00,212.0,222.0,192.0,212.0,0.0,95.0,20014.2,0
2013-06-26,2013-06-26 11:00:00,212.0,215.0,212.0,212.42,0.2,0.4,88.8,1
2013-06-26,2013-06-26 11:10:00,212.42,212.83,212.42,212.83,0.19,0.4,88.8,1
2013-06-26,2013-06-26 11:20:00,212.83,213.25,212.83,213.25,0.2,0.4,88.8,1
2013-06-26,2013-06-26 11:30:00,213.25,213.67,213.25,213.67,0.2,0.4,88.8,1
2013-06-26,2013-06-26 11:40:00,213.67,214.08,213.67,214.08,0.19,0.4,88.8,1
2013-06-26,2013-06-26 11:50:00,214.08,214.5,214.08,214.5,0.2,0.4,88.8,1
2013-06-26,2013-06-26 12:00:00,214.5,214.92,214.5,214.92,0.2,0.4,88.8,1
2013-06-26,2013-06-26 12:10:00,214.92,215.33,214.92,215.33,0.19,0.4,88.8,1
2013-06-26,2013-06-26 12:20:00,215.33,215.75,215.33,215.75,0.2,0.4,88.8,1
2013-06-26,2013-06-26 12:30:00,215.75,216.17,215.75,216.17,0.19,0.4,88.8,1
2013-06-26,2013-06-26 12:40:00,216.17,216.58,216.17,216.58,0.19,0.4,88.8,1
2013-06-26,2013-06-26 12:50:00,216.58,217.0,216.58,217.0,0.19,0.4,88.8,1
2013-06-26,2013-06-26 13:00:00,217.0,222.0,217.0,217.42,0.19,0.4,88.8,1
2013-06-26,2013-06-26 13:10:00,217.42,217.83,217.42,217.83,0.19,0.4,88.8,1
2013-06-26,2013-06-26 13:20:00,217.83,218.25,217.83,218.25,0.19,0.4,88.8,1
2013-06-26,2013-06-26 13:30:00,218.25,218.67,218.25,218.67,0.19,0.4,88.8,1
2013-06-26,2013-06-26 13:40:00,218.67,219.08,218.67,219.08,0.19,0.4,88.8,1
2013-06-26,2013-06-26 13:50:00,219.08,219.5,219.08,219.5,0.19,0.4,88.8,1
2013-06-26,2013-06-26 14:00:00,219.5,219.92,219.5,219.92,0.19,0.4,88.8,1
2013-06-26,2013-06-26 14:10:00,219.92,220.33,219.92,220.33,0.19,0.4,88.8,1
2013-06-26,2013-06-26 14:20:00,220.33,220.75,220.33,220.75,0.19,0.4,88.8,1
2013-06-26,2013-06-26 14:30:00,220.75,221.17,220.75,221.17,0.19,0.4,88.8,1
