published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-05,2023-03-05 11:00:00,299.0,307.97,299.0,300.25,0.42,266.0,87303.16,1
2023-03-05,2023-03-05 11:10:00,300.25,301.49,300.25,301.49,0.41,266.0,87303.16,1
2023-03-05,2023-03-05 11:20:00,301.49,302.74,301.49,302.74,0.41,266.0,87303.16,1
2023-03-05,2023-03-05 11:30:00,302.74,303.98,302.74,303.98,0.41,266.0,87303.16,1
2023-03-05,2023-03-05 11:40:00,303.98,305.23,303.98,305.23,0.41,266.0,87303.16,1
2023-03-05,2023-03-05 11:50:00,305.23,306.48,305.23,306.48,0.41,266.0,87303.16,1
2023-03-05,2023-03-05 12:00:00,306.48,307.72,306.48,307.72,0.4,266.0,87303.16,1
2023-03-05,2023-03-05 12:10:00,307.72,308.97,307.72,308.97,0.41,266.0,87303.16,1
2023-03-05,2023-03-05 12:20:00,308.97,310.21,308.97,310.21,0.4,266.0,87303.16,1
2023-03-05,2023-03-05 12:30:00,310.21,311.46,310.21,311.46,0.4,266.0,87303.16,1
2023-03-05,2023-03-05 12:40:00,311.46,312.7,311.46,312.7,0.4,266.0,87303.16,1
2023-03-05,2023-03-05 12:50:00,312.7,313.95,312.7,313.95,0.4,266.0,87303.16,1
2023-03-05,2023-03-05 13:00:00,313.95,328.9,299.0,315.2,0.4,266.0,87303.16,1
2023-03-05,2023-03-05 13:10:00,315.2,316.44,315.2,316.44,0.39,266.0,87303.16,1
2023-03-05,2023-03-05 13:20:00,316.44,317.69,316.44,317.69,0.4,266.0,87303.16,1
2023-03-05,2023-03-05 13:30:00,317.69,318.93,317.69,318.93,0.39,266.0,87303.16,1
2023-03-05,2023-03-05 13:40:00,318.93,320.18,318.93,320.18,0.39,266.0,87303.16,1
2023-03-05,2023-03-05 13:50:00,320.18,321.42,320.18,321.42,0.39,266.0,87303.16,1
2023-03-05,2023-03-05 14:00:00,321.42,322.67,321.42,322.67,0.39,266.0,87303.16,1
2023-03-05,2023-03-05 14:10:00,322.67,323.92,322.67,323.92,0.39,266.0,87303.16,1
2023-03-05,2023-03-05 14:20:00,323.92,325.16,323.92,325.16,0.38,266.0,87303.16,1
2023-03-05,2023-03-05 14:30:00,325.16,326.41,325.16,326.41,0.38,266.0,87303.16,1
2023-03-05,2023-03-05 14:40:00,326.41,327.65,326.41,327.65,0.38,266.0,87303.16,1
2023-03-05,2023-03-05 14:50:00,327.65,328.9,327.65,328.9,0.38,266.0,87303.16,1
2023-03-05,2023-03-05 15:00:00,328.9,328.9,299.0,328.9,0.0,266.0,87303.16,0
2023-03-07,2023-03-07 11:00:00,335.4,343.29,335.4,336.5,0.33,594.0,214614.96,1
2023-03-07,2023-03-07 11:10:00,336.5,337.59,336.5,337.59,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 11:20:00,337.59,338.69,337.59,338.69,0.33,594.0,214614.96,1
2023-03-07,2023-03-07 11:30:00,338.69,339.78,338.69,339.78,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 11:40:00,339.78,340.88,339.78,340.88,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 11:50:00,340.88,341.97,340.88,341.97,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 12:00:00,341.97,343.07,341.97,343.07,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 12:10:00,343.07,344.17,343.07,344.17,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 12:20:00,344.17,345.26,344.17,345.26,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 12:30:00,345.26,346.36,345.26,346.36,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 12:40:00,346.36,347.45,346.36,347.45,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 12:50:00,347.45,348.55,347.45,348.55,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 13:00:00,348.55,361.7,335.4,349.65,0.32,594.0,214614.96,1
2023-03-07,2023-03-07 13:10:00,349.65,350.74,349.65,350.74,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 13:20:00,350.74,351.84,350.74,351.84,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 13:30:00,351.84,352.93,351.84,352.93,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 13:40:00,352.93,354.03,352.93,354.03,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 13:50:00,354.03,355.12,354.03,355.12,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 14:00:00,355.12,356.22,355.12,356.22,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 14:10:00,356.22,357.32,356.22,357.32,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 14:20:00,357.32,358.41,357.32,358.41,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 14:30:00,358.41,359.51,358.41,359.51,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 14:40:00,359.51,360.6,359.51,360.6,0.3,594.0,214614.96,1
2023-03-07,2023-03-07 14:50:00,360.6,361.7,360.6,361.7,0.31,594.0,214614.96,1
2023-03-07,2023-03-07 15:00:00,361.7,361.7,335.4,361.7,0.0,594.0,214614.96,0
2023-03-09,2023-03-09 11:00:00,368.9,375.53,364.73,369.4,0.14,2752.68,1027043.44,1
