published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-13,2023-04-13 11:00:00,334.0,344.02,332.8,334.25,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 11:10:00,334.25,334.5,334.25,334.5,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 11:20:00,334.5,334.75,334.5,334.75,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 11:30:00,334.75,335.0,334.75,335.0,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 11:40:00,335.0,335.25,335.0,335.25,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 11:50:00,335.25,335.5,335.25,335.5,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 12:00:00,335.5,335.75,335.5,335.75,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 12:10:00,335.75,336.0,335.75,336.0,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 12:20:00,336.0,336.25,336.0,336.25,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 12:30:00,336.25,336.5,336.25,336.5,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 12:40:00,336.5,336.75,336.5,336.75,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 12:50:00,336.75,337.0,336.75,337.0,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 13:00:00,337.0,367.4,330.0,337.25,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 13:10:00,337.25,337.5,337.25,337.5,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 13:20:00,337.5,337.75,337.5,337.75,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 13:30:00,337.75,338.0,337.75,338.0,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 13:40:00,338.0,338.25,338.0,338.25,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 13:50:00,338.25,338.5,338.25,338.5,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 14:00:00,338.5,338.75,338.5,338.75,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 14:10:00,338.75,339.0,338.75,339.0,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 14:20:00,339.0,339.25,339.0,339.25,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 14:30:00,339.25,339.5,339.25,339.5,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 14:40:00,339.5,339.75,339.5,339.75,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 14:50:00,339.75,340.0,339.75,340.0,0.07,3715.96,1316302.41,1
2023-04-13,2023-04-13 15:00:00,340.0,367.4,330.0,340.0,0.0,3715.96,1316302.41,0
2023-04-16,2023-04-16 11:00:00,345.0,345.3,335.58,343.83,-0.34,3394.8,1089326.64,-1
2023-04-16,2023-04-16 11:10:00,343.83,343.83,342.67,342.67,-0.34,3394.8,1089326.64,-1
2023-04-16,2023-04-16 11:20:00,342.67,342.67,341.5,341.5,-0.34,3394.8,1089326.64,-1
2023-04-16,2023-04-16 11:30:00,341.5,341.5,340.33,340.33,-0.34,3394.8,1089326.64,-1
2023-04-16,2023-04-16 11:40:00,340.33,340.33,339.17,339.17,-0.34,3394.8,1089326.64,-1
2023-04-16,2023-04-16 11:50:00,339.17,339.17,338.0,338.0,-0.34,3394.8,1089326.64,-1
2023-04-16,2023-04-16 12:00:00,338.0,338.0,336.83,336.83,-0.35,3394.8,1089326.64,-1
2023-04-16,2023-04-16 12:10:00,336.83,336.83,335.67,335.67,-0.34,3394.8,1089326.64,-1
2023-04-16,2023-04-16 12:20:00,335.67,335.67,334.5,334.5,-0.35,3394.8,1089326.64,-1
2023-04-16,2023-04-16 12:30:00,334.5,334.5,333.33,333.33,-0.35,3394.8,1089326.64,-1
2023-04-16,2023-04-16 12:40:00,333.33,333.33,332.17,332.17,-0.35,3394.8,1089326.64,-1
2023-04-16,2023-04-16 12:50:00,332.17,332.17,331.0,331.0,-0.35,3394.8,1089326.64,-1
2023-04-16,2023-04-16 13:00:00,331.0,346.0,313.6,329.83,-0.35,3394.8,1089326.64,-1
2023-04-16,2023-04-16 13:10:00,329.83,329.83,328.67,328.67,-0.35,3394.8,1089326.64,-1
2023-04-16,2023-04-16 13:20:00,328.67,328.67,327.5,327.5,-0.36,3394.8,1089326.64,-1
2023-04-16,2023-04-16 13:30:00,327.5,327.5,326.33,326.33,-0.36,3394.8,1089326.64,-1
2023-04-16,2023-04-16 13:40:00,326.33,326.33,325.17,325.17,-0.36,3394.8,1089326.64,-1
2023-04-16,2023-04-16 13:50:00,325.17,325.17,324.0,324.0,-0.36,3394.8,1089326.64,-1
2023-04-16,2023-04-16 14:00:00,324.0,324.0,322.83,322.83,-0.36,3394.8,1089326.64,-1
2023-04-16,2023-04-16 14:10:00,322.83,322.83,321.67,321.67,-0.36,3394.8,1089326.64,-1
2023-04-16,2023-04-16 14:20:00,321.67,321.67,320.5,320.5,-0.36,3394.8,1089326.64,-1
2023-04-16,2023-04-16 14:30:00,320.5,320.5,319.33,319.33,-0.37,3394.8,1089326.64,-1
2023-04-16,2023-04-16 14:40:00,319.33,319.33,318.17,318.17,-0.36,3394.8,1089326.64,-1
2023-04-16,2023-04-16 14:50:00,318.17,318.17,317.0,317.0,-0.37,3394.8,1089326.64,-1
2023-04-16,2023-04-16 15:00:00,317.0,346.0,313.6,317.0,0.0,3394.8,1089326.64,0
2023-04-17,2023-04-17 11:00:00,320.0,323.87,315.5,319.51,-0.15,1409.92,435147.02,-1
2023-04-17,2023-04-17 11:10:00,319.51,319.51,319.02,319.02,-0.15,1409.92,435147.02,-1
2023-04-17,2023-04-17 11:20:00,319.02,319.02,318.52,318.52,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 11:30:00,318.52,318.52,318.03,318.03,-0.15,1409.92,435147.02,-1
2023-04-17,2023-04-17 11:40:00,318.03,318.03,317.54,317.54,-0.15,1409.92,435147.02,-1
2023-04-17,2023-04-17 11:50:00,317.54,317.54,317.05,317.05,-0.15,1409.92,435147.02,-1
2023-04-17,2023-04-17 12:00:00,317.05,317.05,316.56,316.56,-0.15,1409.92,435147.02,-1
2023-04-17,2023-04-17 12:10:00,316.56,316.56,316.07,316.07,-0.15,1409.92,435147.02,-1
2023-04-17,2023-04-17 12:20:00,316.07,316.07,315.57,315.57,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 12:30:00,315.57,315.57,315.08,315.08,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 12:40:00,315.08,315.08,314.59,314.59,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 12:50:00,314.59,314.59,314.1,314.1,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 13:00:00,314.1,332.9,305.0,313.61,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 13:10:00,313.61,313.61,313.12,313.12,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 13:20:00,313.12,313.12,312.62,312.62,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 13:30:00,312.62,312.62,312.13,312.13,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 13:40:00,312.13,312.13,311.64,311.64,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 13:50:00,311.64,311.64,311.15,311.15,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 14:00:00,311.15,311.15,310.66,310.66,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 14:10:00,310.66,310.66,310.17,310.17,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 14:20:00,310.17,310.17,309.68,309.68,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 14:30:00,309.68,309.68,309.18,309.18,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 14:40:00,309.18,309.18,308.69,308.69,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 14:50:00,308.69,308.69,308.2,308.2,-0.16,1409.92,435147.02,-1
2023-04-17,2023-04-17 15:00:00,308.2,332.9,305.0,308.2,0.0,1409.92,435147.02,0
2023-04-18,2023-04-18 11:00:00,305.0,306.8,303.2,305.09,0.03,1801.84,549971.58,1
2023-04-18,2023-04-18 11:10:00,305.09,305.18,305.09,305.18,0.03,1801.84,549971.58,1
2023-04-18,2023-04-18 11:20:00,305.18,305.27,305.18,305.27,0.03,1801.84,549971.58,1
2023-04-18,2023-04-18 11:30:00,305.27,305.37,305.27,305.37,0.03,1801.84,549971.58,1
2023-04-18,2023-04-18 11:40:00,305.37,305.46,305.37,305.46,0.03,1801.84,549971.58,1
2023-04-18,2023-04-18 11:50:00,305.46,305.55,305.46,305.55,0.03,1801.84,549971.58,1
2023-04-18,2023-04-18 12:00:00,305.55,305.64,305.55,305.64,0.03,1801.84,549971.58,1
