published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-21,2023-09-21 11:00:00,475.2,489.45,469.14,474.98,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 11:10:00,474.98,474.98,474.77,474.77,-0.04,17274.0,8073459.34,-1
2023-09-21,2023-09-21 11:20:00,474.77,474.77,474.55,474.55,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 11:30:00,474.55,474.55,474.33,474.33,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 11:40:00,474.33,474.33,474.12,474.12,-0.04,17274.0,8073459.34,-1
2023-09-21,2023-09-21 11:50:00,474.12,474.12,473.9,473.9,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 12:00:00,473.9,473.9,473.68,473.68,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 12:10:00,473.68,473.68,473.47,473.47,-0.04,17274.0,8073459.34,-1
2023-09-21,2023-09-21 12:20:00,473.47,473.47,473.25,473.25,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 12:30:00,473.25,473.25,473.03,473.03,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 12:40:00,473.03,473.03,472.82,472.82,-0.04,17274.0,8073459.34,-1
2023-09-21,2023-09-21 12:50:00,472.82,472.82,472.6,472.6,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 13:00:00,472.6,522.7,455.0,472.38,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 13:10:00,472.38,472.38,472.17,472.17,-0.04,17274.0,8073459.34,-1
2023-09-21,2023-09-21 13:20:00,472.17,472.17,471.95,471.95,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 13:30:00,471.95,471.95,471.73,471.73,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 13:40:00,471.73,471.73,471.52,471.52,-0.04,17274.0,8073459.34,-1
2023-09-21,2023-09-21 13:50:00,471.52,471.52,471.3,471.3,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 14:00:00,471.3,471.3,471.08,471.08,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 14:10:00,471.08,471.08,470.87,470.87,-0.04,17274.0,8073459.34,-1
2023-09-21,2023-09-21 14:20:00,470.87,470.87,470.65,470.65,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 14:30:00,470.65,470.65,470.43,470.43,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 14:40:00,470.43,470.43,470.22,470.22,-0.04,17274.0,8073459.34,-1
2023-09-21,2023-09-21 14:50:00,470.22,470.22,470.0,470.0,-0.05,17274.0,8073459.34,-1
2023-09-21,2023-09-21 15:00:00,470.0,522.7,455.0,470.0,0.0,17274.0,8073459.34,0
2023-09-24,2023-09-24 11:00:00,470.0,470.0,465.53,469.41,-0.13,8467.56,3894470.1,-1
2023-09-24,2023-09-24 11:10:00,469.41,469.41,468.82,468.82,-0.13,8467.56,3894470.1,-1
2023-09-24,2023-09-24 11:20:00,468.82,468.82,468.24,468.24,-0.12,8467.56,3894470.1,-1
2023-09-24,2023-09-24 11:30:00,468.24,468.24,467.65,467.65,-0.13,8467.56,3894470.1,-1
2023-09-24,2023-09-24 11:40:00,467.65,467.65,467.06,467.06,-0.13,8467.56,3894470.1,-1
2023-09-24,2023-09-24 11:50:00,467.06,467.06,466.48,466.48,-0.12,8467.56,3894470.1,-1
2023-09-24,2023-09-24 12:00:00,466.48,466.48,465.89,465.89,-0.13,8467.56,3894470.1,-1
2023-09-24,2023-09-24 12:10:00,465.89,465.89,465.3,465.3,-0.13,8467.56,3894470.1,-1
2023-09-24,2023-09-24 12:20:00,465.3,465.3,464.71,464.71,-0.13,8467.56,3894470.1,-1
2023-09-24,2023-09-24 12:30:00,464.71,464.71,464.12,464.12,-0.13,8467.56,3894470.1,-1
