published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-26,2026-06-26 11:00:00,298.7,312.14,298.7,300.57,0.63,2.8,891.04,1
2026-06-26,2026-06-26 11:10:00,300.57,302.43,300.57,302.43,0.62,2.8,891.04,1
2026-06-26,2026-06-26 11:20:00,302.43,304.3,302.43,304.3,0.62,2.8,891.04,1
2026-06-26,2026-06-26 11:30:00,304.3,306.17,304.3,306.17,0.61,2.8,891.04,1
2026-06-26,2026-06-26 11:40:00,306.17,308.03,306.17,308.03,0.61,2.8,891.04,1
2026-06-26,2026-06-26 11:50:00,308.03,309.9,308.03,309.9,0.61,2.8,891.04,1
2026-06-26,2026-06-26 12:00:00,309.9,311.77,309.9,311.77,0.6,2.8,891.04,1
2026-06-26,2026-06-26 12:10:00,311.77,313.63,311.77,313.63,0.6,2.8,891.04,1
2026-06-26,2026-06-26 12:20:00,313.63,315.5,313.63,315.5,0.6,2.8,891.04,1
2026-06-26,2026-06-26 12:30:00,315.5,317.37,315.5,317.37,0.59,2.8,891.04,1
2026-06-26,2026-06-26 12:40:00,317.37,319.23,317.37,319.23,0.59,2.8,891.04,1
2026-06-26,2026-06-26 12:50:00,319.23,321.1,319.23,321.1,0.59,2.8,891.04,1
2026-06-26,2026-06-26 13:00:00,321.1,343.5,298.7,322.97,0.58,2.8,891.04,1
2026-06-26,2026-06-26 13:10:00,322.97,324.83,322.97,324.83,0.58,2.8,891.04,1
2026-06-26,2026-06-26 13:20:00,324.83,326.7,324.83,326.7,0.58,2.8,891.04,1
2026-06-26,2026-06-26 13:30:00,326.7,328.57,326.7,328.57,0.57,2.8,891.04,1
2026-06-26,2026-06-26 13:40:00,328.57,330.43,328.57,330.43,0.57,2.8,891.04,1
2026-06-26,2026-06-26 13:50:00,330.43,332.3,330.43,332.3,0.57,2.8,891.04,1
2026-06-26,2026-06-26 14:00:00,332.3,334.17,332.3,334.17,0.56,2.8,891.04,1
2026-06-26,2026-06-26 14:10:00,334.17,336.03,334.17,336.03,0.56,2.8,891.04,1
2026-06-26,2026-06-26 14:20:00,336.03,337.9,336.03,337.9,0.56,2.8,891.04,1
2026-06-26,2026-06-26 14:30:00,337.9,339.77,337.9,339.77,0.55,2.8,891.04,1
2026-06-26,2026-06-26 14:40:00,339.77,341.63,339.77,341.63,0.55,2.8,891.04,1
2026-06-26,2026-06-26 14:50:00,341.63,343.5,341.63,343.5,0.55,2.8,891.04,1
2026-06-26,2026-06-26 15:00:00,343.5,343.5,298.7,343.5,0.0,2.8,891.04,0
2026-06-29,2026-06-29 11:00:00,353.8,366.16,353.8,355.52,0.49,2.4,908.0,1
2026-06-29,2026-06-29 11:10:00,355.52,357.23,355.52,357.23,0.48,2.4,908.0,1
2026-06-29,2026-06-29 11:20:00,357.23,358.95,357.23,358.95,0.48,2.4,908.0,1
2026-06-29,2026-06-29 11:30:00,358.95,360.67,358.95,360.67,0.48,2.4,908.0,1
2026-06-29,2026-06-29 11:40:00,360.67,362.38,360.67,362.38,0.47,2.4,908.0,1
2026-06-29,2026-06-29 11:50:00,362.38,364.1,362.38,364.1,0.47,2.4,908.0,1
2026-06-29,2026-06-29 12:00:00,364.1,365.82,364.1,365.82,0.47,2.4,908.0,1
2026-06-29,2026-06-29 12:10:00,365.82,367.53,365.82,367.53,0.47,2.4,908.0,1
2026-06-29,2026-06-29 12:20:00,367.53,369.25,367.53,369.25,0.47,2.4,908.0,1
2026-06-29,2026-06-29 12:30:00,369.25,370.97,369.25,370.97,0.47,2.4,908.0,1
2026-06-29,2026-06-29 12:40:00,370.97,372.68,370.97,372.68,0.46,2.4,908.0,1
2026-06-29,2026-06-29 12:50:00,372.68,374.4,372.68,374.4,0.46,2.4,908.0,1
2026-06-29,2026-06-29 13:00:00,374.4,395.0,353.8,376.12,0.46,2.4,908.0,1
2026-06-29,2026-06-29 13:10:00,376.12,377.83,376.12,377.83,0.45,2.4,908.0,1
2026-06-29,2026-06-29 13:20:00,377.83,379.55,377.83,379.55,0.46,2.4,908.0,1
2026-06-29,2026-06-29 13:30:00,379.55,381.27,379.55,381.27,0.45,2.4,908.0,1
2026-06-29,2026-06-29 13:40:00,381.27,382.98,381.27,382.98,0.45,2.4,908.0,1
2026-06-29,2026-06-29 13:50:00,382.98,384.7,382.98,384.7,0.45,2.4,908.0,1
2026-06-29,2026-06-29 14:00:00,384.7,386.42,384.7,386.42,0.45,2.4,908.0,1
2026-06-29,2026-06-29 14:10:00,386.42,388.13,386.42,388.13,0.44,2.4,908.0,1
2026-06-29,2026-06-29 14:20:00,388.13,389.85,388.13,389.85,0.44,2.4,908.0,1
2026-06-29,2026-06-29 14:30:00,389.85,391.57,389.85,391.57,0.44,2.4,908.0,1
2026-06-29,2026-06-29 14:40:00,391.57,393.28,391.57,393.28,0.44,2.4,908.0,1
2026-06-29,2026-06-29 14:50:00,393.28,395.0,393.28,395.0,0.44,2.4,908.0,1
2026-06-29,2026-06-29 15:00:00,395.0,395.0,353.8,395.0,0.0,2.4,908.0,0
2026-06-30,2026-06-30 11:00:00,411.9,424.59,411.9,413.66,0.43,3.6,1597.6,1
2026-06-30,2026-06-30 11:10:00,413.66,415.42,413.66,415.42,0.43,3.6,1597.6,1
2026-06-30,2026-06-30 11:20:00,415.42,417.19,415.42,417.19,0.43,3.6,1597.6,1
2026-06-30,2026-06-30 11:30:00,417.19,418.95,417.19,418.95,0.42,3.6,1597.6,1
2026-06-30,2026-06-30 11:40:00,418.95,420.71,418.95,420.71,0.42,3.6,1597.6,1
2026-06-30,2026-06-30 11:50:00,420.71,422.47,420.71,422.47,0.42,3.6,1597.6,1
2026-06-30,2026-06-30 12:00:00,422.47,424.24,422.47,424.24,0.42,3.6,1597.6,1
2026-06-30,2026-06-30 12:10:00,424.24,426.0,424.24,426.0,0.41,3.6,1597.6,1
2026-06-30,2026-06-30 12:20:00,426.0,427.76,426.0,427.76,0.41,3.6,1597.6,1
2026-06-30,2026-06-30 12:30:00,427.76,429.52,427.76,429.52,0.41,3.6,1597.6,1
2026-06-30,2026-06-30 12:40:00,429.52,431.29,429.52,431.29,0.41,3.6,1597.6,1
2026-06-30,2026-06-30 12:50:00,431.29,433.05,431.29,433.05,0.41,3.6,1597.6,1
2026-06-30,2026-06-30 13:00:00,433.05,454.2,411.9,434.81,0.41,3.6,1597.6,1
2026-06-30,2026-06-30 13:10:00,434.81,436.57,434.81,436.57,0.4,3.6,1597.6,1
2026-06-30,2026-06-30 13:20:00,436.57,438.34,436.57,438.34,0.41,3.6,1597.6,1
2026-06-30,2026-06-30 13:30:00,438.34,440.1,438.34,440.1,0.4,3.6,1597.6,1
2026-06-30,2026-06-30 13:40:00,440.1,441.86,440.1,441.86,0.4,3.6,1597.6,1
2026-06-30,2026-06-30 13:50:00,441.86,443.62,441.86,443.62,0.4,3.6,1597.6,1
2026-06-30,2026-06-30 14:00:00,443.62,445.39,443.62,445.39,0.4,3.6,1597.6,1
