published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-10-29,2023-10-29 11:00:00,350.0,350.0,339.5,349.85,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:01:00,349.85,349.85,349.71,349.71,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:02:00,349.71,349.71,349.56,349.56,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:03:00,349.56,349.56,349.42,349.42,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:04:00,349.42,349.42,349.27,349.27,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:05:00,349.27,349.27,349.12,349.12,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:06:00,349.12,349.12,348.98,348.98,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:07:00,348.98,348.98,348.83,348.83,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:08:00,348.83,348.83,348.69,348.69,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:09:00,348.69,348.69,348.54,348.54,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:10:00,348.54,348.54,348.4,348.4,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:11:00,348.4,348.4,348.25,348.25,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:12:00,348.25,348.25,348.1,348.1,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:13:00,348.1,348.1,347.96,347.96,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:14:00,347.96,347.96,347.81,347.81,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:15:00,347.81,347.81,347.67,347.67,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:16:00,347.67,347.67,347.52,347.52,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:17:00,347.52,347.52,347.38,347.38,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:18:00,347.38,347.38,347.23,347.23,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:19:00,347.23,347.23,347.08,347.08,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:20:00,347.08,347.08,346.94,346.94,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:21:00,346.94,346.94,346.79,346.79,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:22:00,346.79,346.79,346.65,346.65,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:23:00,346.65,346.65,346.5,346.5,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:24:00,346.5,346.5,346.35,346.35,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:25:00,346.35,346.35,346.21,346.21,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:26:00,346.21,346.21,346.06,346.06,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:27:00,346.06,346.06,345.92,345.92,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:28:00,345.92,345.92,345.77,345.77,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:29:00,345.77,345.77,345.62,345.62,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:30:00,345.62,345.62,345.48,345.48,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:31:00,345.48,345.48,345.33,345.33,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:32:00,345.33,345.33,345.19,345.19,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:33:00,345.19,345.19,345.04,345.04,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:34:00,345.04,345.04,344.9,344.9,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:35:00,344.9,344.9,344.75,344.75,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:36:00,344.75,344.75,344.6,344.6,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:37:00,344.6,344.6,344.46,344.46,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:38:00,344.46,344.46,344.31,344.31,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:39:00,344.31,344.31,344.17,344.17,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:40:00,344.17,344.17,344.02,344.02,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:41:00,344.02,344.02,343.88,343.88,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:42:00,343.88,343.88,343.73,343.73,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:43:00,343.73,343.73,343.58,343.58,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:44:00,343.58,343.58,343.44,343.44,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:45:00,343.44,343.44,343.29,343.29,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:46:00,343.29,343.29,343.15,343.15,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:47:00,343.15,343.15,343.0,343.0,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:48:00,343.0,343.0,342.85,342.85,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:49:00,342.85,342.85,342.71,342.71,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:50:00,342.71,342.71,342.56,342.56,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:51:00,342.56,342.56,342.42,342.42,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:52:00,342.42,342.42,342.27,342.27,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:53:00,342.27,342.27,342.12,342.12,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:54:00,342.12,342.12,341.98,341.98,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:55:00,341.98,341.98,341.83,341.83,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:56:00,341.83,341.83,341.69,341.69,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:57:00,341.69,341.69,341.54,341.54,-0.04,26.8,8501.72,-1
2023-10-29,2023-10-29 11:58:00,341.54,341.54,341.4,341.4,-0.04,26.8,8501.72,-1
