published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-08,2026-06-08 11:00:00,276.5,284.78,276.5,277.65,0.42,15.6,4675.76,1
2026-06-08,2026-06-08 11:10:00,277.65,278.8,277.65,278.8,0.41,15.6,4675.76,1
2026-06-08,2026-06-08 11:20:00,278.8,279.95,278.8,279.95,0.41,15.6,4675.76,1
2026-06-08,2026-06-08 11:30:00,279.95,281.1,279.95,281.1,0.41,15.6,4675.76,1
2026-06-08,2026-06-08 11:40:00,281.1,282.25,281.1,282.25,0.41,15.6,4675.76,1
2026-06-08,2026-06-08 11:50:00,282.25,283.4,282.25,283.4,0.41,15.6,4675.76,1
2026-06-08,2026-06-08 12:00:00,283.4,284.55,283.4,284.55,0.41,15.6,4675.76,1
2026-06-08,2026-06-08 12:10:00,284.55,285.7,284.55,285.7,0.4,15.6,4675.76,1
2026-06-08,2026-06-08 12:20:00,285.7,286.85,285.7,286.85,0.4,15.6,4675.76,1
2026-06-08,2026-06-08 12:30:00,286.85,288.0,286.85,288.0,0.4,15.6,4675.76,1
2026-06-08,2026-06-08 12:40:00,288.0,289.15,288.0,289.15,0.4,15.6,4675.76,1
2026-06-08,2026-06-08 12:50:00,289.15,290.3,289.15,290.3,0.4,15.6,4675.76,1
2026-06-08,2026-06-08 13:00:00,290.3,304.1,276.5,291.45,0.4,15.6,4675.76,1
2026-06-08,2026-06-08 13:10:00,291.45,292.6,291.45,292.6,0.39,15.6,4675.76,1
2026-06-08,2026-06-08 13:20:00,292.6,293.75,292.6,293.75,0.39,15.6,4675.76,1
2026-06-08,2026-06-08 13:30:00,293.75,294.9,293.75,294.9,0.39,15.6,4675.76,1
2026-06-08,2026-06-08 13:40:00,294.9,296.05,294.9,296.05,0.39,15.6,4675.76,1
2026-06-08,2026-06-08 13:50:00,296.05,297.2,296.05,297.2,0.39,15.6,4675.76,1
2026-06-08,2026-06-08 14:00:00,297.2,298.35,297.2,298.35,0.39,15.6,4675.76,1
2026-06-08,2026-06-08 14:10:00,298.35,299.5,298.35,299.5,0.39,15.6,4675.76,1
2026-06-08,2026-06-08 14:20:00,299.5,300.65,299.5,300.65,0.38,15.6,4675.76,1
2026-06-08,2026-06-08 14:30:00,300.65,301.8,300.65,301.8,0.38,15.6,4675.76,1
