published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-04,2023-04-04 11:00:00,638.0,638.0,618.77,635.33,-0.42,1987.16,1147715.12,-1
2023-04-04,2023-04-04 11:10:00,635.33,635.33,632.66,632.66,-0.42,1987.16,1147715.12,-1
2023-04-04,2023-04-04 11:20:00,632.66,632.66,629.99,629.99,-0.42,1987.16,1147715.12,-1
2023-04-04,2023-04-04 11:30:00,629.99,629.99,627.32,627.32,-0.42,1987.16,1147715.12,-1
2023-04-04,2023-04-04 11:40:00,627.32,627.32,624.65,624.65,-0.43,1987.16,1147715.12,-1
2023-04-04,2023-04-04 11:50:00,624.65,624.65,621.98,621.98,-0.43,1987.16,1147715.12,-1
2023-04-04,2023-04-04 12:00:00,621.98,621.98,619.3,619.3,-0.43,1987.16,1147715.12,-1
2023-04-04,2023-04-04 12:10:00,619.3,619.3,616.63,616.63,-0.43,1987.16,1147715.12,-1
2023-04-04,2023-04-04 12:20:00,616.63,616.63,613.96,613.96,-0.43,1987.16,1147715.12,-1
2023-04-04,2023-04-04 12:30:00,613.96,613.96,611.29,611.29,-0.43,1987.16,1147715.12,-1
2023-04-04,2023-04-04 12:40:00,611.29,611.29,608.62,608.62,-0.44,1987.16,1147715.12,-1
2023-04-04,2023-04-04 12:50:00,608.62,608.62,605.95,605.95,-0.44,1987.16,1147715.12,-1
2023-04-04,2023-04-04 13:00:00,605.95,638.0,573.9,603.28,-0.44,1987.16,1147715.12,-1
2023-04-04,2023-04-04 13:10:00,603.28,603.28,600.61,600.61,-0.44,1987.16,1147715.12,-1
2023-04-04,2023-04-04 13:20:00,600.61,600.61,597.94,597.94,-0.44,1987.16,1147715.12,-1
2023-04-04,2023-04-04 13:30:00,597.94,597.94,595.27,595.27,-0.45,1987.16,1147715.12,-1
2023-04-04,2023-04-04 13:40:00,595.27,595.27,592.6,592.6,-0.45,1987.16,1147715.12,-1
2023-04-04,2023-04-04 13:50:00,592.6,592.6,589.92,589.92,-0.45,1987.16,1147715.12,-1
2023-04-04,2023-04-04 14:00:00,589.92,589.92,587.25,587.25,-0.45,1987.16,1147715.12,-1
2023-04-04,2023-04-04 14:10:00,587.25,587.25,584.58,584.58,-0.45,1987.16,1147715.12,-1
2023-04-04,2023-04-04 14:20:00,584.58,584.58,581.91,581.91,-0.46,1987.16,1147715.12,-1
2023-04-04,2023-04-04 14:30:00,581.91,581.91,579.24,579.24,-0.46,1987.16,1147715.12,-1
2023-04-04,2023-04-04 14:40:00,579.24,579.24,576.57,576.57,-0.46,1987.16,1147715.12,-1
2023-04-04,2023-04-04 14:50:00,576.57,576.57,573.9,573.9,-0.46,1987.16,1147715.12,-1
2023-04-04,2023-04-04 15:00:00,573.9,638.0,573.9,573.9,0.0,1987.16,1147715.12,0
2023-04-05,2023-04-05 11:00:00,573.9,573.9,567.03,573.28,-0.11,928.76,516173.56,-1
2023-04-05,2023-04-05 11:10:00,573.28,573.28,572.66,572.66,-0.11,928.76,516173.56,-1
2023-04-05,2023-04-05 11:20:00,572.66,572.66,572.04,572.04,-0.11,928.76,516173.56,-1
2023-04-05,2023-04-05 11:30:00,572.04,572.04,571.42,571.42,-0.11,928.76,516173.56,-1
2023-04-05,2023-04-05 11:40:00,571.42,571.42,570.8,570.8,-0.11,928.76,516173.56,-1
2023-04-05,2023-04-05 11:50:00,570.8,570.8,570.17,570.17,-0.11,928.76,516173.56,-1
2023-04-05,2023-04-05 12:00:00,570.17,570.17,569.55,569.55,-0.11,928.76,516173.56,-1
