published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-05-21,2023-05-21 11:00:00,399.7,403.99,399.7,399.91,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 11:10:00,399.91,400.12,399.91,400.12,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 11:20:00,400.12,400.34,400.12,400.34,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 11:30:00,400.34,400.55,400.34,400.55,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 11:40:00,400.55,400.76,400.55,400.76,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 11:50:00,400.76,400.98,400.76,400.98,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 12:00:00,400.98,401.19,400.98,401.19,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 12:10:00,401.19,401.4,401.19,401.4,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 12:20:00,401.4,401.61,401.4,401.61,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 12:30:00,401.61,401.82,401.61,401.82,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 12:40:00,401.82,402.04,401.82,402.04,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 12:50:00,402.04,402.25,402.04,402.25,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 13:00:00,402.25,414.0,399.7,402.46,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 13:10:00,402.46,402.68,402.46,402.68,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 13:20:00,402.68,402.89,402.68,402.89,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 13:30:00,402.89,403.1,402.89,403.1,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 13:40:00,403.1,403.31,403.1,403.31,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 13:50:00,403.31,403.52,403.31,403.52,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 14:00:00,403.52,403.74,403.52,403.74,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 14:10:00,403.74,403.95,403.74,403.95,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 14:20:00,403.95,404.16,403.95,404.16,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 14:30:00,404.16,404.38,404.16,404.38,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 14:40:00,404.38,404.59,404.38,404.59,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 14:50:00,404.59,404.8,404.59,404.8,0.05,1742.92,710354.94,1
2023-05-21,2023-05-21 15:00:00,404.8,414.0,399.7,404.8,0.0,1742.92,710354.94,0
2023-05-22,2023-05-22 11:00:00,397.0,401.65,396.97,397.62,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 11:10:00,397.62,398.25,397.62,398.25,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 11:20:00,398.25,398.88,398.25,398.88,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 11:30:00,398.88,399.5,398.88,399.5,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 11:40:00,399.5,400.12,399.5,400.12,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 11:50:00,400.12,400.75,400.12,400.75,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 12:00:00,400.75,401.38,400.75,401.38,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 12:10:00,401.38,402.0,401.38,402.0,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 12:20:00,402.0,402.62,402.0,402.62,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 12:30:00,402.62,403.25,402.62,403.25,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 12:40:00,403.25,403.88,403.25,403.88,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 12:50:00,403.88,404.5,403.88,404.5,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 13:00:00,404.5,412.5,396.9,405.12,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 13:10:00,405.12,405.75,405.12,405.75,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 13:20:00,405.75,406.38,405.75,406.38,0.16,804.64,325994.93,1
2023-05-22,2023-05-22 13:30:00,406.38,407.0,406.38,407.0,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 13:40:00,407.0,407.62,407.0,407.62,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 13:50:00,407.62,408.25,407.62,408.25,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 14:00:00,408.25,408.88,408.25,408.88,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 14:10:00,408.88,409.5,408.88,409.5,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 14:20:00,409.5,410.12,409.5,410.12,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 14:30:00,410.12,410.75,410.12,410.75,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 14:40:00,410.75,411.38,410.75,411.38,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 14:50:00,411.38,412.0,411.38,412.0,0.15,804.64,325994.93,1
2023-05-22,2023-05-22 15:00:00,412.0,412.5,396.9,412.0,0.0,804.64,325994.93,0
2023-05-23,2023-05-23 11:00:00,404.0,412.37,404.0,405.08,0.27,990.64,420668.33,1
2023-05-23,2023-05-23 11:10:00,405.08,406.17,405.08,406.17,0.27,990.64,420668.33,1
