published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-11,2025-11-11 11:00:00,391.7,396.41,391.7,391.77,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:01:00,391.77,391.83,391.77,391.83,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:02:00,391.83,391.9,391.83,391.9,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:03:00,391.9,391.96,391.9,391.96,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:04:00,391.96,392.03,391.96,392.03,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:05:00,392.03,392.09,392.03,392.09,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:06:00,392.09,392.16,392.09,392.16,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:07:00,392.16,392.22,392.16,392.22,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:08:00,392.22,392.29,392.22,392.29,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:09:00,392.29,392.35,392.29,392.35,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:10:00,392.35,392.42,392.35,392.42,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:11:00,392.42,392.49,392.42,392.49,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:12:00,392.49,392.55,392.49,392.55,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:13:00,392.55,392.62,392.55,392.62,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:14:00,392.62,392.68,392.62,392.68,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:15:00,392.68,392.75,392.68,392.75,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:16:00,392.75,392.81,392.75,392.81,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:17:00,392.81,392.88,392.81,392.88,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:18:00,392.88,392.94,392.88,392.94,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:19:00,392.94,393.01,392.94,393.01,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:20:00,393.01,393.07,393.01,393.07,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:21:00,393.07,393.14,393.07,393.14,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:22:00,393.14,393.2,393.14,393.2,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:23:00,393.2,393.27,393.2,393.27,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:24:00,393.27,393.34,393.27,393.34,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:25:00,393.34,393.4,393.34,393.4,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:26:00,393.4,393.47,393.4,393.47,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:27:00,393.47,393.53,393.47,393.53,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:28:00,393.53,393.6,393.53,393.6,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:29:00,393.6,393.66,393.6,393.66,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:30:00,393.66,393.73,393.66,393.73,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:31:00,393.73,393.79,393.73,393.79,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:32:00,393.79,393.86,393.79,393.86,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:33:00,393.86,393.92,393.86,393.92,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:34:00,393.92,393.99,393.92,393.99,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:35:00,393.99,394.06,393.99,394.06,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:36:00,394.06,394.12,394.06,394.12,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:37:00,394.12,394.19,394.12,394.19,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:38:00,394.19,394.25,394.19,394.25,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:39:00,394.25,394.32,394.25,394.32,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:40:00,394.32,394.38,394.32,394.38,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:41:00,394.38,394.45,394.38,394.45,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:42:00,394.45,394.51,394.45,394.51,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:43:00,394.51,394.58,394.51,394.58,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:44:00,394.58,394.64,394.58,394.64,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:45:00,394.64,394.71,394.64,394.71,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:46:00,394.71,394.77,394.71,394.77,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:47:00,394.77,394.84,394.77,394.84,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:48:00,394.84,394.91,394.84,394.91,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:49:00,394.91,394.97,394.91,394.97,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:50:00,394.97,395.04,394.97,395.04,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:51:00,395.04,395.1,395.04,395.1,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:52:00,395.1,395.17,395.1,395.17,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:53:00,395.17,395.23,395.17,395.23,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:54:00,395.23,395.3,395.23,395.3,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:55:00,395.3,395.36,395.3,395.36,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:56:00,395.36,395.43,395.36,395.43,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:57:00,395.43,395.49,395.43,395.49,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:58:00,395.49,395.56,395.49,395.56,0.02,0.12,49.73,1
2025-11-11,2025-11-11 11:59:00,395.56,395.62,395.56,395.62,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:00:00,395.62,395.69,395.62,395.69,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:01:00,395.69,395.76,395.69,395.76,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:02:00,395.76,395.82,395.76,395.82,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:03:00,395.82,395.89,395.82,395.89,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:04:00,395.89,395.95,395.89,395.95,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:05:00,395.95,396.02,395.95,396.02,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:06:00,396.02,396.08,396.02,396.08,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:07:00,396.08,396.15,396.08,396.15,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:08:00,396.15,396.21,396.15,396.21,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:09:00,396.21,396.28,396.21,396.28,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:10:00,396.28,396.34,396.28,396.34,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:11:00,396.34,396.41,396.34,396.41,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:12:00,396.41,396.48,396.41,396.48,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:13:00,396.48,396.54,396.48,396.54,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:14:00,396.54,396.61,396.54,396.61,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:15:00,396.61,396.67,396.61,396.67,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:16:00,396.67,396.74,396.67,396.74,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:17:00,396.74,396.8,396.74,396.8,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:18:00,396.8,396.87,396.8,396.87,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:19:00,396.87,396.93,396.87,396.93,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:20:00,396.93,397.0,396.93,397.0,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:21:00,397.0,397.06,397.0,397.06,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:22:00,397.06,397.13,397.06,397.13,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:23:00,397.13,397.19,397.13,397.19,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:24:00,397.19,397.26,397.19,397.26,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:25:00,397.26,397.33,397.26,397.33,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:26:00,397.33,397.39,397.33,397.39,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:27:00,397.39,397.46,397.39,397.46,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:28:00,397.46,397.52,397.46,397.52,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:29:00,397.52,397.59,397.52,397.59,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:30:00,397.59,397.65,397.59,397.65,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:31:00,397.65,397.72,397.65,397.72,0.02,0.12,49.73,1
2025-11-11,2025-11-11 12:32:00,397.72,397.78,397.72,397.78,0.02,0.12,49.73,1
