published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-24,2011-03-24 11:00:00,185.0,185.9,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 11:10:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 11:20:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 11:30:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 11:40:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 11:50:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 12:00:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 12:10:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 12:20:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 12:30:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 12:40:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 12:50:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 13:00:00,185.0,188.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 13:10:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 13:20:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 13:30:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 13:40:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 13:50:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 14:00:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 14:10:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 14:20:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 14:30:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 14:40:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 14:50:00,185.0,185.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-24,2011-03-24 15:00:00,185.0,188.0,185.0,185.0,0.0,5.72,1062.4,0
2011-03-28,2011-03-28 11:00:00,185.0,185.9,185.0,185.12,0.06,36.0,6768.0,1
2011-03-28,2011-03-28 11:10:00,185.12,185.25,185.12,185.25,0.07,36.0,6768.0,1
2011-03-28,2011-03-28 11:20:00,185.25,185.38,185.25,185.38,0.07,36.0,6768.0,1
2011-03-28,2011-03-28 11:30:00,185.38,185.5,185.38,185.5,0.06,36.0,6768.0,1
