published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-10,2023-04-10 11:00:00,295.0,303.85,295.0,296.23,0.42,8249.88,2662743.22,1
2023-04-10,2023-04-10 11:10:00,296.23,297.46,296.23,297.46,0.42,8249.88,2662743.22,1
2023-04-10,2023-04-10 11:20:00,297.46,298.69,297.46,298.69,0.41,8249.88,2662743.22,1
2023-04-10,2023-04-10 11:30:00,298.69,299.92,298.69,299.92,0.41,8249.88,2662743.22,1
2023-04-10,2023-04-10 11:40:00,299.92,301.15,299.92,301.15,0.41,8249.88,2662743.22,1
2023-04-10,2023-04-10 11:50:00,301.15,302.38,301.15,302.38,0.41,8249.88,2662743.22,1
2023-04-10,2023-04-10 12:00:00,302.38,303.6,302.38,303.6,0.4,8249.88,2662743.22,1
2023-04-10,2023-04-10 12:10:00,303.6,304.83,303.6,304.83,0.41,8249.88,2662743.22,1
2023-04-10,2023-04-10 12:20:00,304.83,306.06,304.83,306.06,0.4,8249.88,2662743.22,1
2023-04-10,2023-04-10 12:30:00,306.06,307.29,306.06,307.29,0.4,8249.88,2662743.22,1
2023-04-10,2023-04-10 12:40:00,307.29,308.52,307.29,308.52,0.4,8249.88,2662743.22,1
2023-04-10,2023-04-10 12:50:00,308.52,309.75,308.52,309.75,0.4,8249.88,2662743.22,1
2023-04-10,2023-04-10 13:00:00,309.75,324.5,295.0,310.98,0.4,8249.88,2662743.22,1
2023-04-10,2023-04-10 13:10:00,310.98,312.21,310.98,312.21,0.4,8249.88,2662743.22,1
2023-04-10,2023-04-10 13:20:00,312.21,313.44,312.21,313.44,0.39,8249.88,2662743.22,1
2023-04-10,2023-04-10 13:30:00,313.44,314.67,313.44,314.67,0.39,8249.88,2662743.22,1
2023-04-10,2023-04-10 13:40:00,314.67,315.9,314.67,315.9,0.39,8249.88,2662743.22,1
2023-04-10,2023-04-10 13:50:00,315.9,317.12,315.9,317.12,0.39,8249.88,2662743.22,1
2023-04-10,2023-04-10 14:00:00,317.12,318.35,317.12,318.35,0.39,8249.88,2662743.22,1
2023-04-10,2023-04-10 14:10:00,318.35,319.58,318.35,319.58,0.39,8249.88,2662743.22,1
2023-04-10,2023-04-10 14:20:00,319.58,320.81,319.58,320.81,0.38,8249.88,2662743.22,1
2023-04-10,2023-04-10 14:30:00,320.81,322.04,320.81,322.04,0.38,8249.88,2662743.22,1
2023-04-10,2023-04-10 14:40:00,322.04,323.27,322.04,323.27,0.38,8249.88,2662743.22,1
2023-04-10,2023-04-10 14:50:00,323.27,324.5,323.27,324.5,0.38,8249.88,2662743.22,1
2023-04-10,2023-04-10 15:00:00,324.5,324.5,295.0,324.5,0.0,8249.88,2662743.22,0
2023-04-11,2023-04-11 11:00:00,330.9,334.23,322.83,330.15,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 11:10:00,330.15,330.15,329.41,329.41,-0.22,6353.8,2012731.88,-1
2023-04-11,2023-04-11 11:20:00,329.41,329.41,328.66,328.66,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 11:30:00,328.66,328.66,327.92,327.92,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 11:40:00,327.92,327.92,327.17,327.17,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 11:50:00,327.17,327.17,326.42,326.42,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 12:00:00,326.42,326.42,325.68,325.68,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 12:10:00,325.68,325.68,324.93,324.93,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 12:20:00,324.93,324.93,324.19,324.19,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 12:30:00,324.19,324.19,323.44,323.44,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 12:40:00,323.44,323.44,322.7,322.7,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 12:50:00,322.7,322.7,321.95,321.95,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 13:00:00,321.95,342.0,304.0,321.2,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 13:10:00,321.2,321.2,320.46,320.46,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 13:20:00,320.46,320.46,319.71,319.71,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 13:30:00,319.71,319.71,318.97,318.97,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 13:40:00,318.97,318.97,318.22,318.22,-0.24,6353.8,2012731.88,-1
2023-04-11,2023-04-11 13:50:00,318.22,318.22,317.48,317.48,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 14:00:00,317.48,317.48,316.73,316.73,-0.24,6353.8,2012731.88,-1
2023-04-11,2023-04-11 14:10:00,316.73,316.73,315.98,315.98,-0.24,6353.8,2012731.88,-1
2023-04-11,2023-04-11 14:20:00,315.98,315.98,315.24,315.24,-0.23,6353.8,2012731.88,-1
2023-04-11,2023-04-11 14:30:00,315.24,315.24,314.49,314.49,-0.24,6353.8,2012731.88,-1
2023-04-11,2023-04-11 14:40:00,314.49,314.49,313.75,313.75,-0.24,6353.8,2012731.88,-1
2023-04-11,2023-04-11 14:50:00,313.75,313.75,313.0,313.0,-0.24,6353.8,2012731.88,-1
2023-04-11,2023-04-11 15:00:00,313.0,342.0,304.0,313.0,0.0,6353.8,2012731.88,0
2023-04-12,2023-04-12 11:00:00,306.8,314.96,306.8,307.83,0.34,3291.24,1064847.8,1
2023-04-12,2023-04-12 11:10:00,307.83,308.86,307.83,308.86,0.33,3291.24,1064847.8,1
2023-04-12,2023-04-12 11:20:00,308.86,309.89,308.86,309.89,0.33,3291.24,1064847.8,1
2023-04-12,2023-04-12 11:30:00,309.89,310.92,309.89,310.92,0.33,3291.24,1064847.8,1
2023-04-12,2023-04-12 11:40:00,310.92,311.95,310.92,311.95,0.33,3291.24,1064847.8,1
