published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-11,2022-08-11 11:00:00,130.2,134.1,130.2,130.74,0.41,7.76,1042.32,1
2022-08-11,2022-08-11 11:10:00,130.74,131.28,130.74,131.28,0.41,7.76,1042.32,1
2022-08-11,2022-08-11 11:20:00,131.28,131.82,131.28,131.82,0.41,7.76,1042.32,1
2022-08-11,2022-08-11 11:30:00,131.82,132.37,131.82,132.37,0.42,7.76,1042.32,1
2022-08-11,2022-08-11 11:40:00,132.37,132.91,132.37,132.91,0.41,7.76,1042.32,1
2022-08-11,2022-08-11 11:50:00,132.91,133.45,132.91,133.45,0.41,7.76,1042.32,1
2022-08-11,2022-08-11 12:00:00,133.45,133.99,133.45,133.99,0.4,7.76,1042.32,1
2022-08-11,2022-08-11 12:10:00,133.99,134.53,133.99,134.53,0.4,7.76,1042.32,1
2022-08-11,2022-08-11 12:20:00,134.53,135.07,134.53,135.07,0.4,7.76,1042.32,1
2022-08-11,2022-08-11 12:30:00,135.07,135.62,135.07,135.62,0.41,7.76,1042.32,1
2022-08-11,2022-08-11 12:40:00,135.62,136.16,135.62,136.16,0.4,7.76,1042.32,1
2022-08-11,2022-08-11 12:50:00,136.16,136.7,136.16,136.7,0.4,7.76,1042.32,1
2022-08-11,2022-08-11 13:00:00,136.7,143.2,130.2,137.24,0.4,7.76,1042.32,1
2022-08-11,2022-08-11 13:10:00,137.24,137.78,137.24,137.78,0.39,7.76,1042.32,1
2022-08-11,2022-08-11 13:20:00,137.78,138.32,137.78,138.32,0.39,7.76,1042.32,1
2022-08-11,2022-08-11 13:30:00,138.32,138.87,138.32,138.87,0.4,7.76,1042.32,1
2022-08-11,2022-08-11 13:40:00,138.87,139.41,138.87,139.41,0.39,7.76,1042.32,1
2022-08-11,2022-08-11 13:50:00,139.41,139.95,139.41,139.95,0.39,7.76,1042.32,1
2022-08-11,2022-08-11 14:00:00,139.95,140.49,139.95,140.49,0.39,7.76,1042.32,1
2022-08-11,2022-08-11 14:10:00,140.49,141.03,140.49,141.03,0.38,7.76,1042.32,1
2022-08-11,2022-08-11 14:20:00,141.03,141.57,141.03,141.57,0.38,7.76,1042.32,1
2022-08-11,2022-08-11 14:30:00,141.57,142.12,141.57,142.12,0.39,7.76,1042.32,1
2022-08-11,2022-08-11 14:40:00,142.12,142.66,142.12,142.66,0.38,7.76,1042.32,1
2022-08-11,2022-08-11 14:50:00,142.66,143.2,142.66,143.2,0.38,7.76,1042.32,1
2022-08-11,2022-08-11 15:00:00,143.2,143.2,130.2,143.2,0.0,7.76,1042.32,0
2022-08-14,2022-08-14 11:00:00,146.0,148.64,146.0,146.37,0.25,1.6,240.6,1
2022-08-14,2022-08-14 11:10:00,146.37,146.73,146.37,146.73,0.25,1.6,240.6,1
2022-08-14,2022-08-14 11:20:00,146.73,147.1,146.73,147.1,0.25,1.6,240.6,1
2022-08-14,2022-08-14 11:30:00,147.1,147.47,147.1,147.47,0.25,1.6,240.6,1
2022-08-14,2022-08-14 11:40:00,147.47,147.83,147.47,147.83,0.24,1.6,240.6,1
2022-08-14,2022-08-14 11:50:00,147.83,148.2,147.83,148.2,0.25,1.6,240.6,1
2022-08-14,2022-08-14 12:00:00,148.2,148.57,148.2,148.57,0.25,1.6,240.6,1
2022-08-14,2022-08-14 12:10:00,148.57,148.93,148.57,148.93,0.24,1.6,240.6,1
2022-08-14,2022-08-14 12:20:00,148.93,149.3,148.93,149.3,0.25,1.6,240.6,1
2022-08-14,2022-08-14 12:30:00,149.3,149.67,149.3,149.67,0.25,1.6,240.6,1
2022-08-14,2022-08-14 12:40:00,149.67,150.03,149.67,150.03,0.24,1.6,240.6,1
2022-08-14,2022-08-14 12:50:00,150.03,150.4,150.03,150.4,0.25,1.6,240.6,1
2022-08-14,2022-08-14 13:00:00,150.4,154.8,146.0,150.77,0.25,1.6,240.6,1
2022-08-14,2022-08-14 13:10:00,150.77,151.13,150.77,151.13,0.24,1.6,240.6,1
2022-08-14,2022-08-14 13:20:00,151.13,151.5,151.13,151.5,0.24,1.6,240.6,1
2022-08-14,2022-08-14 13:30:00,151.5,151.87,151.5,151.87,0.24,1.6,240.6,1
2022-08-14,2022-08-14 13:40:00,151.87,152.23,151.87,152.23,0.24,1.6,240.6,1
2022-08-14,2022-08-14 13:50:00,152.23,152.6,152.23,152.6,0.24,1.6,240.6,1
2022-08-14,2022-08-14 14:00:00,152.6,152.97,152.6,152.97,0.24,1.6,240.6,1
2022-08-14,2022-08-14 14:10:00,152.97,153.33,152.97,153.33,0.24,1.6,240.6,1
2022-08-14,2022-08-14 14:20:00,153.33,153.7,153.33,153.7,0.24,1.6,240.6,1
2022-08-14,2022-08-14 14:30:00,153.7,154.07,153.7,154.07,0.24,1.6,240.6,1
2022-08-14,2022-08-14 14:40:00,154.07,154.43,154.07,154.43,0.23,1.6,240.6,1
2022-08-14,2022-08-14 14:50:00,154.43,154.8,154.43,154.8,0.24,1.6,240.6,1
2022-08-14,2022-08-14 15:00:00,154.8,154.8,146.0,154.8,0.0,1.6,240.6,0
2022-08-15,2022-08-15 11:00:00,157.8,161.52,157.8,158.32,0.33,3.64,603.52,1
2022-08-15,2022-08-15 11:10:00,158.32,158.83,158.32,158.83,0.32,3.64,603.52,1
2022-08-15,2022-08-15 11:20:00,158.83,159.35,158.83,159.35,0.33,3.64,603.52,1
2022-08-15,2022-08-15 11:30:00,159.35,159.87,159.35,159.87,0.33,3.64,603.52,1
2022-08-15,2022-08-15 11:40:00,159.87,160.38,159.87,160.38,0.32,3.64,603.52,1
2022-08-15,2022-08-15 11:50:00,160.38,160.9,160.38,160.9,0.32,3.64,603.52,1
2022-08-15,2022-08-15 12:00:00,160.9,161.42,160.9,161.42,0.32,3.64,603.52,1
2022-08-15,2022-08-15 12:10:00,161.42,161.93,161.42,161.93,0.32,3.64,603.52,1
2022-08-15,2022-08-15 12:20:00,161.93,162.45,161.93,162.45,0.32,3.64,603.52,1
2022-08-15,2022-08-15 12:30:00,162.45,162.97,162.45,162.97,0.32,3.64,603.52,1
2022-08-15,2022-08-15 12:40:00,162.97,163.48,162.97,163.48,0.31,3.64,603.52,1
2022-08-15,2022-08-15 12:50:00,163.48,164.0,163.48,164.0,0.32,3.64,603.52,1
2022-08-15,2022-08-15 13:00:00,164.0,170.2,157.8,164.52,0.32,3.64,603.52,1
2022-08-15,2022-08-15 13:10:00,164.52,165.03,164.52,165.03,0.31,3.64,603.52,1
2022-08-15,2022-08-15 13:20:00,165.03,165.55,165.03,165.55,0.32,3.64,603.52,1
2022-08-15,2022-08-15 13:30:00,165.55,166.07,165.55,166.07,0.31,3.64,603.52,1
2022-08-15,2022-08-15 13:40:00,166.07,166.58,166.07,166.58,0.31,3.64,603.52,1
2022-08-15,2022-08-15 13:50:00,166.58,167.1,166.58,167.1,0.31,3.64,603.52,1
2022-08-15,2022-08-15 14:00:00,167.1,167.62,167.1,167.62,0.31,3.64,603.52,1
