published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-25,2023-09-25 11:00:00,293.0,293.0,284.21,292.88,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:01:00,292.88,292.88,292.76,292.76,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:02:00,292.76,292.76,292.64,292.64,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:03:00,292.64,292.64,292.52,292.52,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:04:00,292.52,292.52,292.4,292.4,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:05:00,292.4,292.4,292.27,292.27,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:06:00,292.27,292.27,292.15,292.15,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:07:00,292.15,292.15,292.03,292.03,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:08:00,292.03,292.03,291.91,291.91,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:09:00,291.91,291.91,291.79,291.79,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:10:00,291.79,291.79,291.67,291.67,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:11:00,291.67,291.67,291.55,291.55,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:12:00,291.55,291.55,291.43,291.43,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:13:00,291.43,291.43,291.31,291.31,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:14:00,291.31,291.31,291.19,291.19,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:15:00,291.19,291.19,291.07,291.07,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:16:00,291.07,291.07,290.95,290.95,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:17:00,290.95,290.95,290.82,290.82,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:18:00,290.82,290.82,290.7,290.7,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:19:00,290.7,290.7,290.58,290.58,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:20:00,290.58,290.58,290.46,290.46,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:21:00,290.46,290.46,290.34,290.34,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:22:00,290.34,290.34,290.22,290.22,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:23:00,290.22,290.22,290.1,290.1,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:24:00,290.1,290.1,289.98,289.98,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:25:00,289.98,289.98,289.86,289.86,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:26:00,289.86,289.86,289.74,289.74,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:27:00,289.74,289.74,289.62,289.62,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:28:00,289.62,289.62,289.5,289.5,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:29:00,289.5,289.5,289.38,289.38,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:30:00,289.38,289.38,289.25,289.25,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:31:00,289.25,289.25,289.13,289.13,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:32:00,289.13,289.13,289.01,289.01,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:33:00,289.01,289.01,288.89,288.89,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:34:00,288.89,288.89,288.77,288.77,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:35:00,288.77,288.77,288.65,288.65,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:36:00,288.65,288.65,288.53,288.53,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:37:00,288.53,288.53,288.41,288.41,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:38:00,288.41,288.41,288.29,288.29,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:39:00,288.29,288.29,288.17,288.17,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:40:00,288.17,288.17,288.05,288.05,-0.04,493.18,131225.39,-1
2023-09-25,2023-09-25 11:41:00,288.05,288.05,287.93,287.93,-0.04,493.18,131225.39,-1
