published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-09-20,2021-09-20 11:00:00,661.0,663.7,649.9,659.75,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 11:10:00,659.75,659.75,658.5,658.5,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 11:20:00,658.5,658.5,657.25,657.25,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 11:30:00,657.25,657.25,656.0,656.0,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 11:40:00,656.0,656.0,654.75,654.75,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 11:50:00,654.75,654.75,653.5,653.5,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 12:00:00,653.5,653.5,652.25,652.25,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 12:10:00,652.25,652.25,651.0,651.0,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 12:20:00,651.0,651.0,649.75,649.75,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 12:30:00,649.75,649.75,648.5,648.5,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 12:40:00,648.5,648.5,647.25,647.25,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 12:50:00,647.25,647.25,646.0,646.0,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 13:00:00,646.0,670.0,624.0,644.75,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 13:10:00,644.75,644.75,643.5,643.5,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 13:20:00,643.5,643.5,642.25,642.25,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 13:30:00,642.25,642.25,641.0,641.0,-0.19,1144.56,740023.08,-1
2021-09-20,2021-09-20 13:40:00,641.0,641.0,639.75,639.75,-0.2,1144.56,740023.08,-1
2021-09-20,2021-09-20 13:50:00,639.75,639.75,638.5,638.5,-0.2,1144.56,740023.08,-1
2021-09-20,2021-09-20 14:00:00,638.5,638.5,637.25,637.25,-0.2,1144.56,740023.08,-1
2021-09-20,2021-09-20 14:10:00,637.25,637.25,636.0,636.0,-0.2,1144.56,740023.08,-1
2021-09-20,2021-09-20 14:20:00,636.0,636.0,634.75,634.75,-0.2,1144.56,740023.08,-1
2021-09-20,2021-09-20 14:30:00,634.75,634.75,633.5,633.5,-0.2,1144.56,740023.08,-1
