published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-07-24,2019-07-24 11:00:00,95.0,95.0,94.7,94.96,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 11:10:00,94.96,94.96,94.92,94.92,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 11:20:00,94.92,94.92,94.88,94.88,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 11:30:00,94.88,94.88,94.83,94.83,-0.05,4.0,378.0,-1
2019-07-24,2019-07-24 11:40:00,94.83,94.83,94.79,94.79,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 11:50:00,94.79,94.79,94.75,94.75,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 12:00:00,94.75,94.75,94.71,94.71,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 12:10:00,94.71,94.71,94.67,94.67,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 12:20:00,94.67,94.67,94.62,94.62,-0.05,4.0,378.0,-1
2019-07-24,2019-07-24 12:30:00,94.62,94.62,94.58,94.58,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 12:40:00,94.58,94.58,94.54,94.54,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 12:50:00,94.54,94.54,94.5,94.5,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 13:00:00,94.5,95.0,94.0,94.46,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 13:10:00,94.46,94.46,94.42,94.42,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 13:20:00,94.42,94.42,94.38,94.38,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 13:30:00,94.38,94.38,94.33,94.33,-0.05,4.0,378.0,-1
2019-07-24,2019-07-24 13:40:00,94.33,94.33,94.29,94.29,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 13:50:00,94.29,94.29,94.25,94.25,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 14:00:00,94.25,94.25,94.21,94.21,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 14:10:00,94.21,94.21,94.17,94.17,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 14:20:00,94.17,94.17,94.12,94.12,-0.05,4.0,378.0,-1
2019-07-24,2019-07-24 14:30:00,94.12,94.12,94.08,94.08,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 14:40:00,94.08,94.08,94.04,94.04,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 14:50:00,94.04,94.04,94.0,94.0,-0.04,4.0,378.0,-1
2019-07-24,2019-07-24 15:00:00,94.0,95.0,94.0,94.0,0.0,4.0,378.0,0
2019-07-25,2019-07-25 11:00:00,90.0,90.0,88.5,89.79,-0.23,140.0,11923.48,-1
2019-07-25,2019-07-25 11:10:00,89.79,89.79,89.58,89.58,-0.23,140.0,11923.48,-1
2019-07-25,2019-07-25 11:20:00,89.58,89.58,89.38,89.38,-0.22,140.0,11923.48,-1
2019-07-25,2019-07-25 11:30:00,89.38,89.38,89.17,89.17,-0.23,140.0,11923.48,-1
2019-07-25,2019-07-25 11:40:00,89.17,89.17,88.96,88.96,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 11:50:00,88.96,88.96,88.75,88.75,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 12:00:00,88.75,88.75,88.54,88.54,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 12:10:00,88.54,88.54,88.33,88.33,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 12:20:00,88.33,88.33,88.12,88.12,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 12:30:00,88.12,88.12,87.92,87.92,-0.23,140.0,11923.48,-1
2019-07-25,2019-07-25 12:40:00,87.92,87.92,87.71,87.71,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 12:50:00,87.71,87.71,87.5,87.5,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 13:00:00,87.5,90.0,85.0,87.29,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 13:10:00,87.29,87.29,87.08,87.08,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 13:20:00,87.08,87.08,86.88,86.88,-0.23,140.0,11923.48,-1
2019-07-25,2019-07-25 13:30:00,86.88,86.88,86.67,86.67,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 13:40:00,86.67,86.67,86.46,86.46,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 13:50:00,86.46,86.46,86.25,86.25,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 14:00:00,86.25,86.25,86.04,86.04,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 14:10:00,86.04,86.04,85.83,85.83,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 14:20:00,85.83,85.83,85.62,85.62,-0.24,140.0,11923.48,-1
2019-07-25,2019-07-25 14:30:00,85.62,85.62,85.42,85.42,-0.23,140.0,11923.48,-1
2019-07-25,2019-07-25 14:40:00,85.42,85.42,85.21,85.21,-0.25,140.0,11923.48,-1
