published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-22,2026-06-22 11:00:00,300.0,313.5,300.0,301.88,0.63,5.6,1878.96,1
2026-06-22,2026-06-22 11:10:00,301.88,303.75,301.88,303.75,0.62,5.6,1878.96,1
2026-06-22,2026-06-22 11:20:00,303.75,305.62,303.75,305.62,0.62,5.6,1878.96,1
2026-06-22,2026-06-22 11:30:00,305.62,307.5,305.62,307.5,0.62,5.6,1878.96,1
2026-06-22,2026-06-22 11:40:00,307.5,309.38,307.5,309.38,0.61,5.6,1878.96,1
2026-06-22,2026-06-22 11:50:00,309.38,311.25,309.38,311.25,0.6,5.6,1878.96,1
2026-06-22,2026-06-22 12:00:00,311.25,313.12,311.25,313.12,0.6,5.6,1878.96,1
2026-06-22,2026-06-22 12:10:00,313.12,315.0,313.12,315.0,0.6,5.6,1878.96,1
2026-06-22,2026-06-22 12:20:00,315.0,316.88,315.0,316.88,0.6,5.6,1878.96,1
2026-06-22,2026-06-22 12:30:00,316.88,318.75,316.88,318.75,0.59,5.6,1878.96,1
2026-06-22,2026-06-22 12:40:00,318.75,320.62,318.75,320.62,0.59,5.6,1878.96,1
2026-06-22,2026-06-22 12:50:00,320.62,322.5,320.62,322.5,0.59,5.6,1878.96,1
2026-06-22,2026-06-22 13:00:00,322.5,345.0,300.0,324.38,0.58,5.6,1878.96,1
2026-06-22,2026-06-22 13:10:00,324.38,326.25,324.38,326.25,0.58,5.6,1878.96,1
2026-06-22,2026-06-22 13:20:00,326.25,328.12,326.25,328.12,0.57,5.6,1878.96,1
2026-06-22,2026-06-22 13:30:00,328.12,330.0,328.12,330.0,0.57,5.6,1878.96,1
2026-06-22,2026-06-22 13:40:00,330.0,331.88,330.0,331.88,0.57,5.6,1878.96,1
2026-06-22,2026-06-22 13:50:00,331.88,333.75,331.88,333.75,0.56,5.6,1878.96,1
2026-06-22,2026-06-22 14:00:00,333.75,335.62,333.75,335.62,0.56,5.6,1878.96,1
2026-06-22,2026-06-22 14:10:00,335.62,337.5,335.62,337.5,0.56,5.6,1878.96,1
2026-06-22,2026-06-22 14:20:00,337.5,339.38,337.5,339.38,0.56,5.6,1878.96,1
2026-06-22,2026-06-22 14:30:00,339.38,341.25,339.38,341.25,0.55,5.6,1878.96,1
2026-06-22,2026-06-22 14:40:00,341.25,343.12,341.25,343.12,0.55,5.6,1878.96,1
2026-06-22,2026-06-22 14:50:00,343.12,345.0,343.12,345.0,0.55,5.6,1878.96,1
2026-06-22,2026-06-22 15:00:00,345.0,345.0,300.0,345.0,0.0,5.6,1878.96,0
2026-06-23,2026-06-23 11:00:00,355.3,367.72,355.3,357.03,0.49,4.8,1863.88,1
2026-06-23,2026-06-23 11:10:00,357.03,358.75,357.03,358.75,0.48,4.8,1863.88,1
2026-06-23,2026-06-23 11:20:00,358.75,360.48,358.75,360.48,0.48,4.8,1863.88,1
2026-06-23,2026-06-23 11:30:00,360.48,362.2,360.48,362.2,0.48,4.8,1863.88,1
2026-06-23,2026-06-23 11:40:00,362.2,363.93,362.2,363.93,0.48,4.8,1863.88,1
2026-06-23,2026-06-23 11:50:00,363.93,365.65,363.93,365.65,0.47,4.8,1863.88,1
2026-06-23,2026-06-23 12:00:00,365.65,367.38,365.65,367.38,0.47,4.8,1863.88,1
2026-06-23,2026-06-23 12:10:00,367.38,369.1,367.38,369.1,0.47,4.8,1863.88,1
2026-06-23,2026-06-23 12:20:00,369.1,370.82,369.1,370.82,0.47,4.8,1863.88,1
2026-06-23,2026-06-23 12:30:00,370.82,372.55,370.82,372.55,0.47,4.8,1863.88,1
2026-06-23,2026-06-23 12:40:00,372.55,374.27,372.55,374.27,0.46,4.8,1863.88,1
2026-06-23,2026-06-23 12:50:00,374.27,376.0,374.27,376.0,0.46,4.8,1863.88,1
2026-06-23,2026-06-23 13:00:00,376.0,396.7,355.3,377.73,0.46,4.8,1863.88,1
2026-06-23,2026-06-23 13:10:00,377.73,379.45,377.73,379.45,0.46,4.8,1863.88,1
2026-06-23,2026-06-23 13:20:00,379.45,381.18,379.45,381.18,0.46,4.8,1863.88,1
2026-06-23,2026-06-23 13:30:00,381.18,382.9,381.18,382.9,0.45,4.8,1863.88,1
2026-06-23,2026-06-23 13:40:00,382.9,384.62,382.9,384.62,0.45,4.8,1863.88,1
2026-06-23,2026-06-23 13:50:00,384.62,386.35,384.62,386.35,0.45,4.8,1863.88,1
2026-06-23,2026-06-23 14:00:00,386.35,388.07,386.35,388.07,0.45,4.8,1863.88,1
2026-06-23,2026-06-23 14:10:00,388.07,389.8,388.07,389.8,0.45,4.8,1863.88,1
2026-06-23,2026-06-23 14:20:00,389.8,391.52,389.8,391.52,0.44,4.8,1863.88,1
