published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-19,1122.0,1122.0,1122.0,1122.0,2.0,77.0,86394.0,1
2025-11-23,1137.0,1137.0,1137.0,1137.0,1.34,323.0,367251.0,1
2025-11-27,1115.0,1115.0,1115.0,1115.0,-1.93,25.0,27875.0,-1
2025-12-02,1115.0,1115.0,1115.0,1115.0,0.0,25.0,27875.0,0
2025-12-08,1100.1,1100.1,1100.1,1100.1,-1.34,25.0,27502.5,-1
2025-12-09,1101.0,1101.1,1101.0,1101.1,0.09,75.0,82577.5,1
2025-12-10,1101.1,1101.1,1101.1,1101.1,0.0,25.0,27527.5,0
2025-12-11,1100.0,1100.0,1100.0,1100.0,-0.1,25.0,27500.0,-1
2025-12-15,1100.0,1100.0,1100.0,1100.0,0.0,25.0,27500.0,0
2025-12-17,1102.0,1102.0,1102.0,1102.0,0.18,25.0,27550.0,1
2025-12-21,1095.1,1139.3,1095.1,1139.3,3.38,175.0,198250.2,1
2026-01-05,1117.0,1117.0,1117.0,1117.0,-1.96,50.0,55850.0,-1
2026-01-13,1117.0,1117.0,1117.0,1117.0,0.0,25.0,27925.0,0
2026-01-18,1095.0,1095.0,1095.0,1095.0,-1.97,25.0,27375.0,-1
2026-01-20,1073.1,1073.1,1073.1,1073.1,-2.0,50.0,53655.0,-1
2026-01-26,1074.0,1075.0,1054.6,1075.0,0.18,302.0,322462.5,1
2026-01-27,1077.0,1090.0,1077.0,1090.0,1.4,80.0,86815.0,1
2026-02-02,1108.0,1108.0,1108.0,1108.0,1.65,467.0,517436.0,1
2026-02-12,1086.0,1086.0,1086.0,1086.0,-1.99,25.0,27150.0,-1
2026-02-17,1086.0,1086.0,1086.0,1086.0,0.0,79.0,85794.0,0
2026-02-23,1078.0,1100.0,1078.0,1100.0,1.29,550.0,603950.0,1
2026-02-25,1100.0,1100.0,1100.0,1100.0,0.0,100.0,110000.0,0
2026-02-26,1100.0,1100.0,1100.0,1100.0,0.0,25.0,27500.0,0
2026-03-01,1113.0,1113.0,1113.0,1113.0,1.18,754.0,839202.0,1
2026-03-23,1090.8,1090.8,1090.8,1090.8,-1.99,25.0,27270.0,-1
2026-03-24,1072.1,1072.1,1072.1,1072.1,-1.71,25.0,26802.5,-1
2026-03-30,1071.1,1092.4,1071.0,1092.4,1.89,75.0,80862.6,1
2026-04-09,1090.0,1090.0,1090.0,1090.0,-0.22,25.0,27250.0,-1
2026-04-20,1068.6,1089.0,1068.6,1089.0,-0.09,50.0,53940.0,-1
2026-04-24,1089.0,1089.0,1089.0,1089.0,0.0,25.0,27225.0,0
2026-04-30,1081.0,1081.0,1081.0,1081.0,-0.73,100.0,108100.0,-1
2026-05-05,1071.3,1071.3,1071.3,1071.3,-0.9,25.0,26782.5,-1
2026-05-08,1070.8,1070.8,1070.8,1070.8,-0.05,25.0,26770.0,-1
2026-05-18,1080.0,1080.0,1080.0,1080.0,0.86,55.0,59400.0,1
2026-05-27,1086.0,1086.0,1086.0,1086.0,0.56,175.0,190050.0,1
2026-06-01,1086.0,1086.0,1086.0,1086.0,0.0,25.0,27150.0,0
2026-06-02,1085.0,1085.0,1085.0,1085.0,-0.09,25.0,27125.0,-1
2026-06-04,1085.0,1130.6,1085.0,1130.6,4.2,470.0,531342.7,1
2026-06-09,1130.6,1130.6,1130.6,1130.6,0.0,3.0,3391.8,0
2026-06-15,1098.0,1098.0,1098.0,1098.0,-2.88,25.0,27450.0,-1
2026-06-16,1090.0,1090.0,1090.0,1090.0,-0.73,30.0,32700.0,-1
2026-06-26,1136.4,1136.4,1105.0,1105.0,1.38,98799.0,112274555.6,1
2026-06-30,1080.0,1085.0,1080.0,1085.0,-1.81,60.0,65050.0,-1
2026-07-03,1088.1,1088.1,1086.1,1086.5,0.14,9600.0,10428741.0,1
2026-07-07,1072.3,1095.0,1065.0,1095.0,0.78,91.0,97713.1,1
2026-07-08,1095.0,1095.0,1087.0,1119.0,2.19,15027.0,16454413.0,1
2026-07-09,1126.0,1126.0,1103.0,1103.0,-1.43,185318.0,208606635.0,-1
2026-07-13,1103.0,1136.0,1103.0,1136.0,2.99,49614.0,56360309.0,1
2026-07-14,1139.0,1145.0,1139.0,1145.0,0.79,22458.0,25712952.0,1
2026-08-13,1111.0,1111.0,1111.0,1111.0,-2.97,355.0,394405.0,0
