published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-18,1106.7,1106.7,1106.7,1106.7,-1.63,25.0,27667.5,-1
2025-05-21,1106.7,1106.7,1106.7,1107.0,0.03,4.0,4428.0,1
2025-06-03,1104.9,1104.9,1104.8,1104.8,-0.2,50.0,55242.5,-1
2025-06-11,1104.8,1104.8,1104.8,1126.8,1.99,1.0,1126.8,1
2025-07-06,1105.4,1105.4,1105.4,1105.4,-1.9,40.0,44216.0,-1
2025-07-09,1105.4,1105.4,1105.4,1089.0,-1.48,4.0,4356.0,-1
2025-07-14,1110.69,1128.8,1110.69,1120.48,2.89,45.0,50421.8,1
2025-07-15,1120.0,1120.0,1120.0,1120.0,-0.04,50.0,56000.0,-1
2025-07-16,1122.0,1130.0,1122.0,1140.0,1.79,170.0,192011.0,1
2025-07-24,1120.0,1120.0,1120.0,1120.0,-1.75,50.0,56000.0,-1
2025-08-04,1100.0,1100.0,1100.0,1100.0,-1.79,20.0,22000.0,-1
2025-09-08,1120.0,1120.0,1120.0,1120.0,1.82,25.0,28000.0,1
2025-09-21,1120.0,1120.0,1120.0,1142.4,2.0,5.0,5712.0,1
2025-09-25,1142.4,1142.4,1142.4,1098.0,-3.89,2.0,2218.0,-1
2025-10-12,1107.0,1107.0,1107.0,1107.0,0.82,25.0,27675.0,1
2025-11-19,1129.1,1129.1,1129.1,1129.1,2.0,200.0,225820.0,1
2025-11-30,1129.1,1129.1,1129.1,1136.0,0.61,2.0,2272.0,1
2025-12-01,1150.0,1160.0,1146.0,1160.0,2.11,30.0,34560.0,1
2025-12-02,1170.0,1172.1,1149.0,1149.0,-0.95,153.0,178317.0,-1
2025-12-03,1149.0,1149.0,1149.0,1131.0,-1.57,1.0,1131.0,-1
2025-12-09,1131.0,1205.0,1131.0,1200.0,6.1,307.0,369375.2,1
2025-12-11,1200.0,1200.0,1200.0,1176.0,-2.0,1.0,1176.0,-1
2025-12-16,1176.0,1176.0,1176.0,1135.0,-3.49,2.0,2289.0,-1
2025-12-17,1135.0,1135.0,1135.0,1157.7,2.0,1.0,1157.7,1
2025-12-24,1157.7,1157.7,1157.7,1165.2,0.65,1.0,1165.2,1
2025-12-29,1175.1,1175.1,1175.1,1175.1,0.85,25.0,29377.5,1
2026-01-01,1175.1,1175.1,1175.1,1155.0,-1.71,2.0,2310.0,-1
2026-01-06,1155.0,1155.0,1132.0,1132.0,-1.99,30.0,33964.5,-1
2026-03-22,1154.6,1154.6,1154.6,1154.6,2.0,10.0,11546.0,1
2026-03-25,1132.0,1132.0,1132.0,1132.0,-1.96,15.0,16980.0,-1
2026-03-31,1123.0,1123.0,1123.0,1123.0,-0.8,25.0,28075.0,-1
2026-04-05,1124.0,1124.0,1124.0,1124.0,0.09,10.0,11240.0,1
2026-04-20,1128.0,1128.0,1128.0,1128.0,0.36,25.0,28200.0,1
2026-05-19,1129.0,1129.0,1111.0,1111.0,-1.51,25000.0,27775877.5,-1
2026-05-21,1144.3,1175.0,1144.3,1175.0,5.76,24950.0,29315943.0,1
2026-05-27,1144.0,1144.0,1144.0,1208.0,2.81,16.0,18368.0,1
2026-06-09,1198.5,1198.5,1198.5,1198.5,-0.79,173004.0,207345294.0,-1
2026-06-10,1200.0,1200.0,1200.0,1200.0,0.13,10.0,12000.0,1
2026-07-01,1227.0,1227.0,1227.0,1227.0,2.25,20.0,24540.0,1
2026-07-02,1225.0,1225.0,1225.0,1240.0,1.06,15.0,18450.0,1
2026-07-09,1240.0,1240.0,1240.0,1202.8,-3.0,1.0,1202.8,-1
2026-07-10,1202.8,1228.0,1118.0,1228.0,2.1,49862.0,56651589.9,1
2026-07-13,1228.0,1228.0,1156.3,1156.3,-5.84,199.0,230282.2,-1
2026-07-14,1173.0,1200.0,1120.0,1180.0,2.05,50101.0,58466097.0,1
2026-07-15,1180.0,1188.7,1151.0,1151.0,-2.46,20010.0,23032602.0,-1
2026-07-16,1151.0,1211.0,1151.0,1229.0,6.78,216.0,261354.0,1
2026-07-27,1229.0,1229.0,1229.0,1200.0,-2.36,5.0,6000.0,-1
2026-08-10,1208.0,1210.0,1208.0,1210.0,0.83,20.0,24180.0,1
2026-08-12,1210.0,1210.0,1210.0,1139.0,-5.87,3.0,3487.0,-1
2026-08-13,1139.0,1139.0,1139.0,1083.0,-4.92,2.0,2166.0,-1
